,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Mishra,4,1,0,0,0,0,0,5,1,1,1,20.0
TM Dilshan,1,2,0,0,0,0,0,3,0,1,2,66.67
JA Morkel,1,2,0,0,1,0,0,4,0,1,6,150.0
CH Morris,1,1,1,0,0,0,0,3,0,1,3,100.0
R Vinay Kumar,3,1,0,0,0,0,0,4,1,3,1,25.0
MG Johnson,2,0,0,0,0,0,0,2,0,1,0,0.0
SL Malinga,1,0,0,0,0,0,0,1,1,1,0,0.0
A Nehra,2,0,1,0,0,0,0,3,1,1,2,66.67
P Kumar,2,0,0,0,0,0,0,2,0,1,0,0.0
DW Steyn,3,0,0,0,0,0,0,3,0,1,0,0.0
B Lee,1,1,0,0,0,0,0,2,0,1,1,50.0
IK Pathan,3,1,0,0,0,0,0,4,0,1,1,25.0
SP Narine,2,0,0,0,0,0,0,2,1,1,0,0.0
MA Starc,0,1,0,0,0,0,0,1,0,1,1,100.0
RG Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
A Symonds,0,3,0,0,0,0,1,4,0,1,9,225.0
RP Singh,2,1,0,0,1,0,0,4,1,1,5,125.0
AB Agarkar,0,0,0,1,0,0,0,1,0,1,3,300.0
