,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
WPUJC Vaas,7,0,0,1,1,0,0,9,1,1,7,77.78
RP Singh,6,2,0,0,2,0,0,10,0,2,10,100.0
JH Kallis,1,0,0,0,1,0,0,2,0,1,4,200.0
A Kumble,3,1,0,0,0,0,0,4,0,1,1,25.0
D du Preez,0,1,0,1,0,0,0,2,0,1,4,200.0
L Balaji,2,1,0,0,1,0,0,4,0,1,5,125.0
SB Jakati,0,2,0,0,0,0,0,2,0,1,2,100.0
SK Raina,0,2,0,0,0,0,0,2,0,1,2,100.0
IK Pathan,0,4,1,0,2,0,0,7,0,1,14,200.0
S Sreesanth,0,2,0,0,0,0,0,2,0,1,2,100.0
FH Edwards,7,0,2,0,0,0,0,9,0,1,4,44.44
DR Smith,2,1,0,0,3,0,0,6,0,1,13,216.67
RG Sharma,1,4,1,0,1,0,0,7,0,1,10,142.86
PP Ojha,1,2,0,0,0,0,0,3,0,1,2,66.67
Y Venugopal Rao,1,1,0,0,0,0,0,2,1,1,1,50.0
