,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AN Ahmed,1,2,0,0,0,0,0,3,0,1,2,66.67
MM Patel,1,0,1,0,0,0,0,2,1,1,2,100.0
A Symonds,1,1,0,0,0,0,0,2,0,1,1,50.0
JA Morkel,2,1,1,0,0,0,0,4,0,1,3,75.0
MM Sharma,4,0,0,0,1,0,0,5,1,1,4,80.0
R Vinay Kumar,1,1,0,0,0,0,0,2,0,1,1,50.0
A Kumble,8,4,0,0,1,0,2,15,0,1,20,133.33
DW Steyn,5,3,1,0,0,0,0,9,0,2,5,55.56
V Kohli,0,2,0,0,1,0,0,3,0,1,6,200.0
Z Khan,0,1,0,0,1,0,0,2,0,1,5,250.0
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
JD Unadkat,0,1,0,0,1,0,0,2,0,1,5,250.0
B Lee,5,2,1,0,0,0,0,8,0,1,4,50.0
JH Kallis,2,1,1,0,1,0,0,5,1,1,7,140.0
MF Maharoof,6,2,0,0,2,0,1,11,1,2,16,145.45
SK Raina,2,2,0,0,0,0,0,4,0,2,2,50.0
SB Jakati,3,3,1,0,0,0,1,8,1,2,11,137.5
DJ Bravo,2,0,1,0,2,0,1,6,0,1,16,266.67
R Ashwin,3,5,1,0,0,0,0,9,0,2,7,77.78
DE Bollinger,2,1,0,0,0,0,0,3,1,1,1,33.33
T Thushara,3,3,1,0,1,0,1,9,0,1,15,166.67
MS Gony,2,1,0,0,0,0,0,3,0,1,1,33.33
M Muralitharan,7,4,0,0,0,0,0,11,1,1,4,36.36
SM Pollock,3,1,1,0,1,0,0,6,0,1,7,116.67
A Nehra,5,2,0,0,3,0,2,12,0,2,26,216.67
VS Yeligati,4,4,0,0,4,0,0,12,0,1,20,166.67
SD Chitnis,3,6,0,0,0,0,1,10,0,1,12,120.0
CRD Fernando,5,3,1,0,2,0,0,11,0,1,13,118.18
DR Smith,0,2,0,0,0,0,0,2,0,1,2,100.0
SR Watson,0,1,0,0,0,0,0,1,0,1,1,100.0
JP Duminy,1,2,0,0,0,0,0,3,0,1,2,66.67
Harbhajan Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
AM Rahane,2,0,1,0,0,0,0,3,1,1,2,66.67
DJG Sammy,2,5,2,0,0,0,1,10,0,1,15,150.0
GH Vihari,5,0,0,0,0,0,0,5,0,1,0,0.0
KV Sharma,2,0,0,1,0,0,0,3,0,1,3,100.0
A Mishra,4,5,0,0,0,0,1,10,0,2,11,110.0
NLTC Perera,5,3,1,0,1,0,0,10,0,1,9,90.0
PP Ojha,1,4,0,0,0,0,1,6,1,1,10,166.67
RG Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
SB Styris,1,1,0,0,0,0,0,2,0,1,1,50.0
IK Pathan,1,1,0,0,2,0,0,4,0,1,9,225.0
J Botha,1,0,2,0,0,0,0,3,0,1,4,133.33
RE van der Merwe,1,0,0,0,1,0,0,2,1,1,4,200.0
V Sehwag,0,0,1,0,0,0,1,2,0,1,8,400.0
R Bhatia,1,1,0,0,0,0,0,2,0,1,1,50.0
