,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R Rampaul,1,1,0,0,0,0,1,3,0,1,7,233.33
JD Unadkat,1,0,0,0,0,0,0,1,1,1,0,0.0
S Nadeem,3,3,0,0,1,0,0,7,0,2,7,100.0
IK Pathan,2,1,0,0,0,0,0,3,0,2,1,33.33
UT Yadav,6,5,0,0,4,0,1,16,1,2,27,168.75
A Nehra,0,2,0,0,1,0,0,3,0,1,6,200.0
M Morkel,2,5,0,0,4,0,0,11,0,2,21,190.91
S Kaul,1,1,0,0,0,0,0,2,1,1,1,50.0
Azhar Mahmood,1,0,0,0,4,0,0,5,1,1,16,320.0
P Kumar,1,0,2,0,2,0,1,6,0,1,18,300.0
MM Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
CH Morris,3,1,0,0,0,0,0,4,0,1,1,25.0
