,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Sandeep Sharma,10,8,4,0,9,0,1,32,0,3,58,181.25
Anureet Singh,8,1,1,0,2,0,0,12,1,1,11,91.67
MG Johnson,5,2,1,0,0,0,0,8,0,1,4,50.0
AR Patel,8,8,2,0,4,0,3,25,0,3,46,184.0
Karanveer Singh,5,3,0,1,3,0,0,12,0,1,18,150.0
M Vijay,0,1,1,0,1,0,0,3,0,1,7,233.33
GJ Maxwell,5,2,0,0,0,0,0,7,1,2,2,28.57
B Kumar,19,7,1,0,1,0,0,28,1,4,13,46.43
Mohammad Nabi,2,0,0,0,0,0,0,2,1,1,0,0.0
DW Steyn,10,10,4,0,6,0,0,30,1,3,42,140.0
IK Pathan,4,1,0,0,1,0,2,8,0,1,17,212.5
A Mishra,5,8,1,0,1,0,1,16,0,2,20,125.0
KV Sharma,7,10,2,0,3,0,4,26,1,3,50,192.31
MC Henriques,7,6,0,0,0,0,0,13,0,2,6,46.15
NM Coulter-Nile,8,1,0,0,2,0,0,11,0,1,9,81.82
DJ Muthuswami,2,1,0,0,0,0,0,3,1,1,1,33.33
JP Duminy,1,3,1,0,1,0,0,6,0,2,9,150.0
BE Hendricks,6,5,0,0,3,0,0,14,0,1,17,121.43
R Dhawan,2,6,1,0,2,0,0,11,0,1,16,145.45
Shivam Sharma,4,7,1,0,1,0,1,14,0,1,19,135.71
UT Yadav,3,3,1,0,0,0,0,7,0,3,5,71.43
PP Chawla,3,0,0,0,0,0,0,3,1,1,0,0.0
Z Khan,5,6,0,0,0,0,1,12,1,2,12,100.0
K Rabada,3,3,1,0,1,0,1,9,0,1,15,166.67
PJ Cummins,3,0,2,0,1,0,1,7,0,1,14,200.0
Mohammed Shami,3,3,0,0,3,0,0,9,0,1,15,166.67
CJ Anderson,1,0,0,0,0,0,1,2,1,1,6,300.0
MJ Henry,0,1,0,0,0,0,0,1,0,1,1,100.0
I Sharma,5,1,1,0,3,0,0,10,1,2,15,150.0
MM Sharma,10,10,4,0,4,0,4,32,0,6,58,181.25
MA Starc,1,5,0,0,1,0,0,7,0,1,9,128.57
S Aravind,8,4,1,0,1,0,0,14,0,1,10,71.43
D Wiese,7,7,0,0,3,0,1,18,0,2,25,138.89
HV Patel,4,6,1,0,0,0,1,12,0,1,14,116.67
YS Chahal,4,6,1,0,1,0,1,13,1,2,18,138.46
JD Unadkat,7,7,0,0,0,0,0,14,1,3,7,50.0
Washington Sundar,3,2,0,0,0,0,0,5,0,2,2,40.0
LH Ferguson,5,1,0,0,0,0,0,6,0,1,1,16.67
JP Faulkner,4,1,0,0,5,0,0,10,0,2,21,210.0
DS Kulkarni,12,5,1,0,3,0,0,21,1,3,19,90.48
RP Singh,4,2,0,0,0,0,1,7,0,1,8,114.29
M Morkel,12,3,0,0,0,0,1,16,1,2,9,56.25
Shakib Al Hasan,5,2,0,0,3,0,0,10,1,2,14,140.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
Ankit Sharma,11,5,1,0,1,0,0,18,2,2,11,61.11
KK Cooper,4,2,1,0,1,0,1,9,0,1,14,155.56
STR Binny,1,3,0,0,1,0,0,5,0,2,7,140.0
R Bhatia,1,6,3,0,0,0,1,11,0,1,18,163.64
P Kumar,9,8,0,0,1,0,0,18,0,2,12,66.67
TA Boult,11,2,1,0,2,0,0,16,1,2,12,75.0
A Nehra,25,10,4,0,6,0,3,48,0,5,60,125.0
IC Pandey,17,4,0,0,4,0,0,25,1,3,20,80.0
R Ashwin,27,15,1,1,2,0,5,51,2,5,58,113.73
P Negi,4,9,1,0,1,0,1,16,0,3,21,131.25
RA Jadeja,19,13,3,0,6,0,3,44,2,5,61,138.64
DJ Bravo,2,3,0,0,0,0,0,5,0,2,3,60.0
DR Smith,1,0,0,0,0,0,0,1,1,1,0,0.0
SK Raina,0,1,0,0,0,0,0,1,0,1,1,100.0
TG Southee,4,2,1,0,1,0,0,8,0,1,8,100.0
J Theron,1,2,0,0,0,0,0,3,0,1,2,66.67
SR Watson,3,2,0,0,1,0,1,7,0,1,12,171.43
S Badree,4,3,0,0,0,0,2,9,0,1,15,166.67
WD Parnell,3,1,1,0,1,0,0,6,0,1,7,116.67
S Kaul,3,2,0,0,1,0,0,6,0,1,6,100.0
S Nadeem,1,2,0,0,0,0,0,3,0,1,2,66.67
Imran Tahir,2,0,1,0,3,0,0,6,1,1,14,233.33
Iqbal Abdulla,7,4,1,0,0,0,1,13,0,1,12,92.31
VR Aaron,11,0,0,0,6,0,1,18,0,1,30,166.67
AN Ahmed,1,1,0,0,2,0,0,4,0,1,9,225.0
