,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
J Botha,7,6,0,0,1,0,1,15,0,2,16,106.67
SK Warne,9,9,2,0,0,0,1,21,0,3,19,90.48
RA Jadeja,5,4,3,0,1,0,0,13,1,3,14,107.69
T Henderson,4,2,1,0,1,0,0,8,0,1,8,100.0
A Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
SK Raina,1,2,0,0,0,0,2,5,0,2,14,280.0
TG Southee,3,2,1,0,1,0,0,7,1,1,8,114.29
S Randiv,0,1,0,0,1,0,0,2,0,1,5,250.0
AM Nayar,3,0,0,0,0,0,0,3,0,1,0,0.0
DJ Bravo,9,5,0,0,3,0,1,18,1,5,23,127.78
Z Khan,4,2,1,0,0,0,0,7,2,2,4,57.14
PJ Sangwan,0,1,0,0,1,0,0,2,0,1,5,250.0
GD McGrath,0,3,0,0,0,0,0,3,0,1,3,100.0
MF Maharoof,1,2,0,0,0,0,0,3,1,1,2,66.67
YK Pathan,2,3,0,0,1,0,0,6,0,2,7,116.67
Kamran Khan,1,2,0,0,0,0,0,3,1,1,2,66.67
Joginder Sharma,6,5,1,0,2,0,1,15,0,1,21,140.0
M Muralitharan,10,6,0,0,0,0,0,16,1,4,6,37.5
P Amarnath,0,3,0,0,0,0,0,3,0,1,3,100.0
JDP Oram,1,4,1,0,2,0,0,8,0,1,14,175.0
MS Gony,0,2,0,0,0,0,0,2,0,1,2,100.0
BW Hilfenhaus,1,0,0,0,0,0,1,2,1,1,6,300.0
PP Ojha,3,3,1,0,0,0,0,7,1,2,5,71.43
SB Styris,3,1,0,0,0,0,1,5,0,2,7,140.0
R Vinay Kumar,5,2,1,0,0,0,0,8,0,2,4,50.0
HV Patel,1,0,0,0,0,0,0,1,1,1,0,0.0
A Mishra,2,2,0,0,0,0,1,5,0,1,8,160.0
KV Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
IK Pathan,1,6,0,0,0,0,0,7,0,2,6,85.71
DW Steyn,5,1,0,0,2,0,0,8,1,2,9,112.5
B Kumar,1,1,0,0,0,0,0,2,1,2,1,50.0
MC Henriques,3,0,0,0,1,0,0,4,1,1,4,100.0
SB Jakati,1,2,1,0,0,0,0,4,0,2,4,100.0
DE Bollinger,1,0,0,0,0,0,0,1,1,1,0,0.0
R Ashwin,5,3,0,0,2,0,0,10,1,2,11,110.0
M Ntini,3,0,0,0,1,0,0,4,0,1,4,100.0
L Balaji,2,2,0,0,1,0,0,5,0,1,6,120.0
JA Morkel,1,2,1,0,0,0,0,4,0,2,4,100.0
SK Trivedi,10,1,0,0,0,0,1,12,1,3,7,58.33
MM Patel,2,2,0,0,0,0,0,4,0,1,2,50.0
SR Watson,0,2,0,0,0,0,0,2,0,1,2,100.0
Sohail Tanvir,1,1,0,0,1,0,0,3,1,1,5,166.67
A Kumble,3,2,0,0,0,0,0,5,0,2,2,40.0
RE van der Merwe,3,1,2,0,1,0,1,8,1,2,15,187.5
S Sreesanth,2,2,0,0,0,0,0,4,0,2,2,50.0
VRV Singh,2,2,1,0,0,0,0,5,2,2,4,80.0
Gagandeep Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
KK Cooper,1,1,0,0,0,0,0,2,0,1,1,50.0
M Morkel,1,3,0,0,1,0,1,6,0,2,13,216.67
UT Yadav,6,5,0,0,2,0,0,13,1,3,13,100.0
VR Aaron,0,1,1,0,1,0,0,3,0,1,7,233.33
SP Narine,3,1,0,0,0,0,0,4,1,1,1,25.0
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
A Nehra,2,0,0,0,0,0,0,2,0,1,0,0.0
RR Raje,1,0,0,0,0,0,0,1,1,1,0,0.0
AA Chavan,1,1,0,0,0,0,1,3,1,1,7,233.33
RP Singh,0,0,0,0,2,0,1,3,0,1,14,466.67
SL Malinga,1,2,1,0,0,0,0,4,0,1,4,100.0
JM Kemp,1,4,0,0,1,0,0,6,0,1,8,133.33
S Nadeem,1,4,1,0,0,0,1,7,0,1,12,171.43
ST Jayasuriya,0,3,0,0,0,0,0,3,0,1,3,100.0
CRD Fernando,3,3,0,0,2,0,1,9,0,1,17,188.89
DS Kulkarni,0,3,0,0,0,0,0,3,0,1,3,100.0
PP Chawla,1,0,0,0,1,0,0,2,0,1,4,200.0
