,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
M Muralitharan,11,9,1,0,3,0,2,26,0,3,35,134.62
SK Raina,1,0,0,0,0,0,1,2,0,1,6,300.0
JDP Oram,4,5,1,0,1,0,2,13,1,3,23,176.92
AA Kazi,0,1,1,0,0,0,0,2,0,1,3,150.0
V Kohli,1,1,0,0,0,0,0,2,0,1,1,50.0
CK Langeveldt,2,3,1,0,0,0,0,6,1,1,5,83.33
S Aravind,0,2,1,0,0,0,0,3,0,1,4,133.33
AD Mascarenhas,1,0,0,0,0,0,0,1,1,1,0,0.0
P Awana,4,2,0,0,1,0,0,7,1,2,6,85.71
PP Chawla,15,4,2,0,0,0,1,22,1,3,14,63.64
P Kumar,2,1,0,0,0,0,0,3,1,2,1,33.33
R Bhatia,8,6,2,0,0,0,0,16,2,3,10,62.5
A Mishra,11,11,3,0,1,0,4,30,1,4,45,150.0
DR Smith,3,2,0,0,0,0,0,5,0,1,2,40.0
BW Hilfenhaus,1,2,0,0,1,0,0,4,1,2,6,150.0
DW Steyn,2,2,0,1,0,0,0,5,0,2,5,100.0
DT Christian,2,1,1,0,0,0,0,4,0,2,3,75.0
I Sharma,4,4,0,0,2,0,1,11,0,3,18,163.64
PP Ojha,10,3,1,0,1,0,1,16,2,5,15,93.75
Harmeet Singh,2,4,0,0,2,0,0,8,0,1,12,150.0
RG Sharma,0,2,1,0,0,0,0,3,0,1,4,133.33
A Symonds,2,1,0,0,0,0,0,3,1,2,1,33.33
RP Singh,2,1,0,0,0,0,0,3,1,1,1,33.33
SL Malinga,10,5,0,0,0,0,0,15,2,4,5,33.33
AG Murtaza,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,11,13,0,1,0,0,5,30,0,6,46,153.33
MM Patel,3,3,0,0,4,0,1,11,1,3,25,227.27
KA Pollard,10,11,0,0,0,0,0,21,0,4,11,52.38
R Sathish,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,1,3,0,0,0,0,0,4,0,2,3,75.0
Shakib Al Hasan,8,5,1,0,1,0,0,15,0,3,11,73.33
YK Pathan,4,1,0,0,0,0,0,5,1,2,1,20.0
JA Morkel,14,13,2,0,3,0,1,33,2,6,35,106.06
A Flintoff,2,0,0,0,0,0,0,2,1,1,0,0.0
SM Pollock,0,2,0,0,0,0,0,2,0,1,2,100.0
DS Kulkarni,1,1,0,0,0,0,0,2,0,2,1,50.0
ST Jayasuriya,1,3,0,0,1,0,0,5,1,1,7,140.0
V Pratap Singh,2,2,0,0,1,0,0,5,0,1,6,120.0
JP Duminy,1,1,1,0,0,0,0,3,0,1,3,100.0
Ankit Sharma,0,0,0,1,0,0,0,1,0,1,3,300.0
RJ Peterson,0,2,0,0,0,0,0,2,0,1,2,100.0
DP Nannes,4,1,0,0,0,0,0,5,0,1,1,20.0
A Nehra,3,3,1,0,1,0,0,8,0,2,9,112.5
PJ Sangwan,6,6,0,0,1,0,0,13,1,2,10,76.92
DL Vettori,2,2,1,0,1,0,0,6,0,1,8,133.33
RA Jadeja,2,1,1,0,0,0,0,4,0,2,3,75.0
AB Agarkar,2,2,1,0,2,1,2,10,0,1,29,290.0
M Kartik,11,12,1,0,3,0,3,30,0,4,44,146.67
BAW Mendis,0,7,1,0,0,0,1,9,0,2,15,166.67
AD Mathews,0,2,1,0,3,0,1,7,0,2,22,314.29
SC Ganguly,1,4,0,0,1,0,0,6,0,1,8,133.33
AC Thomas,3,4,2,0,0,0,1,10,1,2,14,140.0
Y Nagar,3,2,0,0,0,0,2,7,1,1,14,200.0
AM Salvi,2,1,0,0,1,0,1,5,0,1,11,220.0
MS Gony,1,1,1,0,0,0,1,4,0,1,9,225.0
P Amarnath,2,5,1,0,0,0,0,8,1,1,7,87.5
Joginder Sharma,1,6,1,0,0,0,0,8,0,1,8,100.0
P Parameswaran,2,2,0,0,2,1,0,7,0,1,15,214.29
HV Patel,1,3,0,0,2,0,0,6,0,1,11,183.33
R Vinay Kumar,3,1,0,0,0,0,0,4,1,2,1,25.0
Z Khan,2,5,2,0,1,0,0,10,0,2,13,130.0
CRD Fernando,1,3,0,0,0,0,0,4,1,2,3,75.0
SR Watson,4,2,0,0,2,0,0,8,0,2,10,125.0
GB Hogg,4,6,1,0,0,0,0,11,1,2,8,72.73
R Sharma,9,6,0,0,0,0,0,15,0,2,6,40.0
NL McCullum,1,2,1,0,1,0,0,5,0,1,8,160.0
JE Taylor,3,1,1,0,0,0,0,5,0,1,3,60.0
Yuvraj Singh,1,4,1,0,0,0,0,6,0,2,6,100.0
RS Bopara,0,2,0,0,0,0,0,2,0,1,2,100.0
VRV Singh,2,1,0,0,3,0,0,6,0,1,13,216.67
IK Pathan,0,1,0,0,1,0,0,2,0,1,5,250.0
YA Abdulla,3,1,0,0,0,0,1,5,1,1,7,140.0
SB Jakati,5,10,4,0,0,0,2,21,0,4,30,142.86
R Ashwin,4,4,0,0,1,0,0,9,0,3,8,88.89
DJ Bravo,4,2,2,0,0,0,0,8,1,3,6,75.0
Pankaj Singh,3,3,0,0,0,0,0,6,1,1,3,50.0
A Singh,2,4,0,0,0,0,0,6,0,1,4,66.67
KK Cooper,7,4,2,0,0,0,0,13,0,2,8,61.54
AA Chavan,0,4,1,0,0,0,0,5,0,1,6,120.0
JH Kallis,9,6,2,0,0,0,0,17,2,4,10,58.82
JP Faulkner,1,2,0,0,0,0,0,3,0,1,2,66.67
SK Trivedi,2,6,0,0,0,0,1,9,0,3,12,133.33
Harmeet Singh (2),7,1,1,0,0,0,1,10,1,1,9,90.0
AB Dinda,3,6,2,0,4,0,1,16,0,3,32,200.0
CH Morris,2,0,1,0,0,0,0,3,1,1,2,66.67
PV Tambe,1,3,0,0,0,0,0,4,0,1,3,75.0
SP Narine,2,2,1,0,0,0,1,6,0,2,10,166.67
GD McGrath,1,3,0,0,1,0,1,6,1,1,13,216.67
Mohammad Asif,4,2,0,0,2,0,1,9,0,1,16,177.78
L Balaji,5,8,1,0,1,0,3,18,0,2,32,177.78
B Lee,2,2,1,0,1,0,0,6,0,1,8,133.33
S Tyagi,3,1,1,0,2,0,0,7,0,1,11,157.14
MG Johnson,5,0,0,0,1,0,0,6,0,1,4,66.67
CL White,1,1,0,0,0,0,0,2,0,1,1,50.0
A Ashish Reddy,1,2,2,0,0,0,0,5,1,1,6,120.0
M Morkel,2,3,0,0,0,0,0,5,0,1,3,60.0
S Nadeem,0,1,2,0,0,0,0,3,0,1,5,166.67
SK Warne,5,2,0,0,0,0,0,7,0,1,2,28.57
S Randiv,1,2,0,0,0,0,0,3,0,1,2,66.67
DE Bollinger,0,2,0,0,1,0,0,3,0,1,6,200.0
YS Chahal,6,7,0,0,0,0,0,13,0,1,7,53.85
VR Aaron,0,2,0,0,0,0,0,2,0,1,2,100.0
MA Starc,3,2,1,0,2,0,0,8,0,1,12,150.0
C Nanda,1,4,1,0,0,0,1,7,0,1,12,171.43
Sohail Tanvir,6,0,0,0,3,0,2,11,0,1,24,218.18
