,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Mishra,6,5,0,0,0,0,1,12,2,2,11,91.67
VY Mahesh,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammad Asif,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Trivedi,1,5,0,0,0,0,0,6,0,1,5,83.33
J Botha,4,3,0,0,0,0,0,7,1,1,3,42.86
GB Hogg,0,2,0,0,1,0,0,3,0,1,6,200.0
Z Khan,5,0,0,0,1,0,0,6,0,1,4,66.67
JA Morkel,1,1,0,0,1,0,0,3,1,1,5,166.67
L Balaji,4,3,2,0,0,0,0,9,0,3,7,77.78
GD McGrath,5,2,0,0,0,0,0,7,0,2,2,28.57
MF Maharoof,5,4,0,0,0,0,0,9,0,2,4,44.44
R Bhatia,5,2,1,0,0,0,0,8,1,1,4,50.0
JH Kallis,1,1,1,0,0,0,0,3,0,1,3,100.0
Iqbal Abdulla,1,1,2,0,0,0,0,4,0,1,5,125.0
JD Unadkat,2,0,1,0,1,0,0,4,1,1,6,150.0
SJ Srivastava,3,0,0,0,3,0,0,6,0,1,12,200.0
PC Valthaty,1,1,0,0,0,0,0,2,0,1,1,50.0
PP Chawla,2,0,1,0,0,0,0,3,1,1,2,66.67
AC Thomas,1,0,1,0,1,0,0,3,0,1,6,200.0
JE Taylor,1,0,1,0,0,0,0,2,0,1,2,100.0
IK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
S Sreesanth,4,0,0,0,0,0,0,4,2,2,0,0.0
AB Dinda,6,3,1,0,5,0,0,15,0,2,25,166.67
I Sharma,6,1,2,0,1,0,0,10,0,2,9,90.0
Umar Gul,7,4,1,0,0,0,0,12,0,2,6,50.0
AB Agarkar,4,3,0,0,0,0,1,8,1,2,9,112.5
DJ Bravo,1,0,0,0,0,0,0,1,0,1,0,0.0
ST Jayasuriya,3,3,2,0,0,0,0,8,0,2,7,87.5
RR Raje,3,4,1,0,0,0,0,8,1,2,6,75.0
SC Ganguly,1,2,0,0,1,0,0,4,0,1,6,150.0
LR Shukla,2,0,0,0,0,0,0,2,0,1,0,0.0
A Symonds,2,3,0,0,1,0,3,9,0,1,25,277.78
Shahid Afridi,1,2,0,0,0,0,0,3,1,1,2,66.67
D Kalyankrishna,0,1,0,0,1,0,0,2,0,1,5,250.0
WPUJC Vaas,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Ojha,4,1,1,0,2,0,0,8,0,1,11,137.5
RP Singh,4,1,1,1,0,0,0,7,0,1,6,85.71
R McLaren,1,1,1,0,0,0,0,3,0,1,3,100.0
RJ Harris,1,0,0,0,0,0,0,1,1,1,0,0.0
CRD Fernando,3,1,0,0,0,0,0,4,0,1,1,25.0
AM Nayar,0,2,0,0,0,0,0,2,0,1,2,100.0
AC Voges,2,2,0,0,1,0,0,5,0,1,6,120.0
YK Pathan,1,2,0,0,0,0,0,3,1,1,2,66.67
TM Dilshan,1,1,0,0,1,0,0,3,0,1,5,166.67
M Muralitharan,3,3,1,0,0,0,1,8,1,1,11,137.5
B Lee,5,1,0,0,1,0,0,7,0,1,5,71.43
