,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AB McDonald,1,1,0,0,0,0,0,2,0,1,1,50.0
DE Bollinger,1,1,0,0,0,0,0,2,0,1,1,50.0
MS Gony,0,1,1,0,0,0,0,2,0,1,3,150.0
JDP Oram,1,0,0,0,0,0,0,1,1,1,0,0.0
L Balaji,1,0,0,0,0,0,0,1,1,1,0,0.0
DJ Bravo,1,4,1,0,0,0,0,6,0,2,6,100.0
SB Styris,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,0,3,0,0,0,0,0,3,0,1,3,100.0
Harmeet Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
FH Edwards,1,2,1,0,0,0,0,4,0,1,4,100.0
DP Nannes,0,1,0,0,0,0,0,1,0,1,1,100.0
R Bhatia,0,2,1,0,0,0,0,3,0,1,4,133.33
A Nehra,0,2,1,0,0,0,0,3,0,1,4,133.33
PJ Sangwan,1,2,0,0,0,0,0,3,0,1,2,66.67
PP Ojha,1,1,0,0,1,0,1,4,0,1,11,275.0
SL Malinga,3,4,0,0,0,0,0,7,1,2,4,57.14
MM Patel,2,1,0,0,0,0,0,3,0,1,1,33.33
DW Steyn,1,3,1,0,0,0,0,5,0,1,5,100.0
R Vinay Kumar,2,1,0,0,1,0,0,4,0,1,5,125.0
Z Khan,0,1,1,0,1,0,0,3,0,1,7,233.33
P Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
M Muralitharan,6,4,1,0,1,0,0,12,0,1,10,83.33
R Ashwin,2,3,0,0,1,0,0,6,0,1,7,116.67
SK Raina,0,1,0,1,0,0,0,2,0,1,4,200.0
SW Tait,1,4,0,0,0,0,0,5,0,1,4,80.0
SR Watson,0,2,0,0,0,0,0,2,0,1,2,100.0
STR Binny,0,2,0,0,0,0,0,2,0,1,2,100.0
AG Murtaza,1,1,0,0,0,0,0,2,0,1,1,50.0
AN Ahmed,0,2,0,0,1,0,0,3,0,1,6,200.0
JEC Franklin,1,2,0,0,0,0,0,3,0,1,2,66.67
ST Jayasuriya,0,1,0,0,0,0,0,1,0,1,1,100.0
CRD Fernando,1,2,0,0,1,0,0,4,1,1,6,150.0
DS Kulkarni,3,1,0,0,0,0,0,4,0,1,1,25.0
