,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IK Pathan,11,2,0,0,3,0,0,16,0,2,14,87.5
UT Yadav,1,1,0,0,0,0,0,2,0,1,1,50.0
M Morkel,2,2,0,0,0,0,0,4,1,2,2,50.0
AB Agarkar,2,1,1,0,0,0,0,4,0,1,3,75.0
RE van der Merwe,1,0,0,0,0,0,0,1,1,1,0,0.0
JD Unadkat,2,3,0,1,1,0,0,7,0,1,10,142.86
B Lee,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,2,2,0,0,1,0,0,5,0,1,6,120.0
JH Kallis,2,3,0,0,1,0,0,6,0,1,7,116.67
S Ladda,1,2,0,0,0,0,0,3,0,1,2,66.67
R Bhatia,0,2,0,0,0,0,0,2,0,1,2,100.0
YK Pathan,1,1,0,0,0,0,0,2,1,1,1,50.0
Z Khan,3,4,0,0,2,0,0,9,0,1,12,133.33
S Aravind,3,2,1,0,1,0,0,7,0,1,8,114.29
CH Gayle,3,0,0,0,0,0,0,3,1,1,0,0.0
DL Vettori,1,2,0,0,0,0,0,3,0,1,2,66.67
A Mithun,1,2,0,0,0,0,0,3,0,1,2,66.67
