,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RG Sharma,2,1,0,0,0,0,0,3,1,1,1,33.33
RP Singh,3,1,1,0,1,0,0,6,0,1,7,116.67
DT Christian,1,0,1,0,0,0,1,3,0,1,8,266.67
SL Malinga,2,4,0,0,1,0,0,7,1,3,8,114.29
RJ Harris,0,2,1,0,0,0,0,3,0,2,4,133.33
SJ Srivastava,0,1,1,0,1,0,1,4,0,1,13,325.0
CH Morris,0,2,1,0,0,0,0,3,0,1,4,133.33
B Lee,0,1,0,0,0,0,0,1,0,1,1,100.0
L Balaji,2,1,0,0,1,0,0,4,0,1,5,125.0
RA Jadeja,0,2,0,0,0,0,0,2,0,1,2,100.0
R Ashwin,2,0,0,0,0,0,0,2,1,1,0,0.0
PP Chawla,1,1,0,0,0,0,2,4,1,1,13,325.0
PP Ojha,0,2,0,0,0,0,0,2,0,1,2,100.0
MG Johnson,1,2,0,0,3,0,0,6,0,2,14,233.33
KA Pollard,1,0,1,0,0,0,1,3,1,2,8,266.67
AD Mathews,1,0,0,0,0,0,0,1,1,1,0,0.0
AC Thomas,0,1,0,0,0,0,0,1,0,1,1,100.0
P Kumar,6,0,1,0,0,0,0,7,0,1,2,28.57
R Vinay Kumar,2,3,0,1,2,0,0,8,0,3,14,175.0
A Kumble,1,0,0,0,0,0,0,1,1,1,0,0.0
Harmeet Singh,3,0,0,0,1,0,0,4,0,1,4,100.0
DR Smith,0,2,0,0,0,0,0,2,0,1,2,100.0
SP Narine,1,0,0,0,0,0,0,1,1,1,0,0.0
DJ Bravo,0,1,0,0,0,0,0,1,0,1,1,100.0
NLTC Perera,1,0,0,0,0,0,0,1,1,1,0,0.0
Sandeep Sharma,0,1,1,0,0,0,0,2,0,1,3,150.0
DS Kulkarni,2,2,0,0,0,0,0,4,0,1,2,50.0
JD Unadkat,2,2,0,0,1,0,0,5,1,1,6,120.0
R Rampaul,1,1,0,0,0,0,0,2,0,1,1,50.0
