,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
GB Hogg,1,1,0,0,0,0,0,2,0,1,1,50.0
Pankaj Singh,3,0,1,1,0,0,0,5,0,1,5,100.0
A Singh,1,1,0,0,0,0,0,2,1,2,1,50.0
A Ashish Reddy,1,0,0,0,0,0,0,1,1,1,0,0.0
SR Watson,2,2,1,0,0,0,0,5,0,1,4,80.0
SK Trivedi,2,0,0,0,0,0,0,2,0,1,0,0.0
DP Nannes,2,2,0,0,0,0,0,4,0,2,2,50.0
Sohail Tanvir,3,0,0,0,0,0,0,3,1,1,0,0.0
A Nehra,0,1,0,0,0,0,0,1,0,1,1,100.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
R Vinay Kumar,0,0,0,0,1,0,0,1,0,1,4,400.0
P Kumar,1,0,0,0,0,0,0,1,0,1,0,0.0
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
A Symonds,1,0,0,0,0,0,0,1,1,1,0,0.0
