,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
GD McGrath,1,1,0,0,0,0,0,2,0,1,1,50.0
Mohammad Asif,1,1,0,0,0,0,0,2,1,1,1,50.0
P Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
R Bhatia,1,1,0,0,0,0,0,2,1,1,1,50.0
DL Vettori,1,1,0,0,0,0,0,2,0,1,1,50.0
L Balaji,1,2,0,0,1,0,0,4,0,1,6,150.0
JDP Oram,1,2,0,0,0,0,0,3,0,1,2,66.67
PP Chawla,2,1,0,0,0,0,1,4,0,1,7,175.0
VRV Singh,4,2,2,0,2,0,0,10,0,1,14,140.0
JR Hopes,3,1,0,0,0,0,0,4,0,1,1,25.0
IK Pathan,1,3,0,0,0,0,0,4,0,2,3,75.0
Umar Gul,0,1,0,0,0,0,0,1,0,1,1,100.0
RR Raje,1,1,0,0,0,0,0,2,0,1,1,50.0
A Nehra,3,0,0,0,0,0,0,3,1,1,0,0.0
SP Narine,5,2,0,0,0,0,0,7,0,1,2,28.57
JH Kallis,1,3,0,0,0,0,0,4,1,1,3,75.0
YA Abdulla,1,2,0,0,0,0,0,3,0,1,2,66.67
MF Maharoof,2,1,0,0,0,0,0,3,0,1,1,33.33
VY Mahesh,0,0,0,0,1,0,0,1,0,1,4,400.0
JD Ryder,1,3,0,0,0,0,0,4,0,1,3,75.0
A Kumble,2,1,0,0,0,0,0,3,0,1,1,33.33
