,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,0,2,0,0,0,0,0,2,0,1,2,100.0
A Chandila,3,1,0,0,0,0,0,4,0,1,1,25.0
BB Sran,6,2,3,0,4,0,2,17,0,2,36,211.76
B Kumar,16,8,0,0,4,0,0,28,1,6,24,85.71
S Kaul,1,5,2,0,0,0,1,9,0,1,15,166.67
Mohammad Nabi,4,3,1,1,2,0,0,11,0,1,16,145.45
Rashid Khan,5,3,0,0,4,0,3,15,0,1,37,246.67
MC Henriques,2,4,1,0,4,0,0,11,0,2,22,200.0
UT Yadav,15,8,4,0,2,0,1,30,1,6,30,100.0
AD Russell,10,2,3,0,1,0,1,17,1,2,18,105.88
SP Narine,16,9,0,0,5,0,0,30,1,6,29,96.67
J Botha,4,2,0,0,1,0,1,8,1,2,12,150.0
GB Hogg,5,3,0,0,0,0,0,8,0,1,3,37.5
PP Chawla,6,5,1,0,0,0,2,14,2,3,19,135.71
BAW Mendis,1,1,0,1,1,0,0,4,0,1,8,200.0
AB Dinda,5,2,0,1,5,0,1,14,1,3,31,221.43
R Sharma,3,3,1,0,2,0,0,9,0,2,13,144.44
Yuvraj Singh,1,0,1,0,0,0,0,2,1,1,2,100.0
Z Khan,13,2,0,0,0,0,0,15,1,3,2,13.33
P Negi,4,4,3,0,1,0,1,13,0,3,20,153.85
CH Morris,2,1,1,1,3,0,0,8,0,2,18,225.0
CR Brathwaite,1,1,0,0,3,0,0,5,0,1,13,260.0
A Mishra,4,2,1,0,1,0,0,8,2,3,8,100.0
J Yadav,1,1,1,0,0,0,0,3,0,1,3,100.0
I Sharma,5,4,1,0,3,0,1,14,0,2,24,171.43
Ankit Sharma,3,3,3,0,0,0,0,9,1,1,9,100.0
R Ashwin,4,6,1,0,0,0,0,11,0,2,8,72.73
M Ashwin,2,4,1,0,1,0,0,8,0,1,10,125.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
NLTC Perera,0,2,0,0,3,0,0,5,0,1,14,280.0
WD Parnell,8,1,0,0,2,0,1,12,0,1,15,125.0
Mohammed Shami,5,4,1,0,2,0,2,14,0,2,26,185.71
JD Unadkat,6,0,1,0,0,1,0,8,0,2,7,87.5
Imran Tahir,7,4,0,0,1,0,0,12,2,2,8,66.67
SMSM Senanayake,0,2,0,0,0,0,0,2,0,1,2,100.0
JH Kallis,3,8,0,0,2,0,0,13,0,2,16,123.08
R Bhatia,0,6,1,0,1,0,0,8,0,2,12,150.0
L Balaji,3,0,0,0,1,0,1,5,2,2,10,200.0
C de Grandhomme,1,2,0,0,0,0,0,3,0,1,2,66.67
M Morkel,18,3,8,0,3,0,2,34,2,3,43,126.47
Shakib Al Hasan,8,10,1,0,1,0,2,22,0,3,28,127.27
SS Agarwal,0,2,0,0,0,0,0,2,0,1,2,100.0
NB Singh,2,0,0,0,0,0,0,2,1,1,0,0.0
S Ladda,0,4,1,0,1,0,1,7,0,2,16,228.57
SR Watson,11,5,0,1,5,0,1,23,0,3,34,147.83
JP Faulkner,2,1,1,0,3,0,0,7,0,2,15,214.29
VS Malik,0,1,0,0,0,0,0,1,0,1,1,100.0
KK Cooper,0,1,1,0,1,0,0,3,0,1,7,233.33
R Tewatia,2,1,0,0,0,0,0,3,0,1,1,33.33
TG Southee,3,2,0,0,0,0,0,5,0,1,2,40.0
MJ McClenaghan,0,3,0,0,0,0,0,3,0,1,3,100.0
JJ Bumrah,4,3,0,0,2,0,0,9,1,2,11,122.22
MA Starc,3,1,1,0,0,0,0,5,1,2,3,60.0
K Santokie,1,2,0,0,1,0,0,4,0,1,6,150.0
P Kumar,10,5,0,0,0,0,0,15,0,2,5,33.33
PP Ojha,2,3,0,0,0,0,1,6,0,1,9,150.0
S Gopal,5,2,2,0,1,0,0,10,1,1,10,100.0
JDS Neesham,3,0,0,0,2,0,1,6,0,1,14,233.33
JP Duminy,3,4,0,0,1,0,0,8,0,2,8,100.0
S Nadeem,4,1,2,1,0,0,1,9,1,2,14,155.56
TA Boult,5,2,0,0,2,0,0,9,1,3,10,111.11
IC Pandey,9,2,1,1,0,0,2,15,2,2,19,126.67
DT Christian,3,2,0,0,1,0,0,6,0,1,6,100.0
MG Johnson,1,1,0,0,0,0,0,2,1,1,1,50.0
SL Malinga,2,1,0,0,2,0,1,6,0,1,15,250.0
KA Pollard,0,1,0,0,1,0,0,2,0,1,5,250.0
A Nehra,2,2,0,0,1,0,0,5,1,2,6,120.0
AD Mathews,1,3,0,0,1,0,0,5,0,1,7,140.0
MR Marsh,1,3,2,0,1,0,0,7,0,1,11,157.14
DJ Hooda,4,0,0,0,0,0,0,4,0,1,0,0.0
Mustafizur Rahman,5,0,0,0,0,0,0,5,0,1,0,0.0
CR Woakes,2,1,0,0,2,0,0,5,0,1,9,180.0
DW Steyn,2,1,2,1,0,0,2,8,0,1,20,250.0
KV Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
MM Sharma,3,2,1,0,0,0,0,6,0,1,4,66.67
RA Jadeja,10,3,2,0,1,0,1,17,2,3,17,100.0
RE van der Merwe,2,1,0,0,0,0,0,3,0,1,1,33.33
AB Agarkar,1,2,0,0,0,0,0,3,0,1,2,66.67
B Stanlake,4,6,0,0,0,0,1,11,0,1,12,109.09
Iqbal Abdulla,1,1,0,0,0,0,0,2,0,1,1,50.0
TS Mills,2,1,0,0,1,0,0,4,1,1,5,125.0
D Wiese,1,0,0,1,0,0,0,2,0,1,3,150.0
S Aravind,2,1,0,0,0,0,1,4,0,2,7,175.0
HV Patel,1,0,0,0,0,0,0,1,1,1,0,0.0
Bipul Sharma,3,1,0,0,1,0,0,5,1,1,5,100.0
DP Nannes,2,1,0,0,0,0,0,3,0,1,1,33.33
S Badree,6,2,1,0,1,0,0,10,0,1,8,80.0
YS Chahal,2,1,0,0,0,0,0,3,1,1,1,33.33
PJ Sangwan,0,1,0,0,0,0,0,1,0,1,1,100.0
