,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
P Kumar,6,2,2,0,4,0,1,15,1,5,28,186.67
Z Khan,2,5,1,0,2,0,1,11,0,2,21,190.91
J Yadav,7,4,1,0,0,0,0,12,0,2,6,50.0
JP Duminy,3,2,4,0,1,0,0,10,1,2,14,140.0
A Mishra,14,7,7,0,1,0,2,31,1,6,37,119.35
NM Coulter-Nile,1,3,0,0,1,0,0,5,0,1,7,140.0
JA Morkel,1,3,3,0,0,0,2,9,0,1,21,233.33
R Sharma,0,1,1,0,3,0,0,5,0,2,15,300.0
PP Ojha,2,1,1,1,1,0,0,6,0,2,10,166.67
A Symonds,1,0,0,0,0,0,0,1,1,1,0,0.0
R Ashwin,2,1,0,0,0,0,0,3,0,1,1,33.33
MR Marsh,1,0,0,0,0,0,0,1,1,1,0,0.0
P Awana,1,0,0,0,0,0,0,1,0,1,0,0.0
D Wiese,2,1,0,0,0,0,0,3,1,1,1,33.33
AB Dinda,2,6,0,0,2,0,2,12,0,2,26,216.67
YS Chahal,6,10,3,0,2,0,2,23,1,4,36,156.52
HV Patel,6,3,1,0,4,0,1,15,0,2,27,180.0
MA Starc,0,1,1,0,0,0,0,2,0,1,3,150.0
S Sreesanth,7,2,1,0,2,0,0,12,0,1,12,100.0
SK Trivedi,1,0,0,0,0,0,0,1,0,1,0,0.0
SR Watson,7,9,1,0,0,0,1,18,1,6,17,94.44
JP Faulkner,3,4,2,0,4,0,0,13,0,3,24,184.62
MM Sharma,6,3,1,0,3,0,0,13,0,4,17,130.77
AR Patel,6,10,2,0,2,0,0,20,1,4,22,110.0
T Shamsi,1,2,1,0,1,0,1,6,0,1,14,233.33
KW Richardson,2,1,0,0,0,0,2,5,0,2,13,260.0
BA Stokes,0,1,1,0,0,0,0,2,0,1,3,150.0
Imran Tahir,3,3,2,0,0,0,0,8,1,2,7,87.5
GJ Maxwell,3,4,1,0,1,0,0,9,0,2,10,111.11
Mohammed Shami,1,4,0,0,0,0,0,5,1,2,4,80.0
Parvez Rasool,4,3,0,0,0,0,0,7,0,1,3,42.86
AF Milne,1,0,0,0,0,0,0,1,1,1,0,0.0
AD Russell,5,0,1,0,1,0,0,7,0,2,6,85.71
J Botha,0,4,0,0,0,0,0,4,0,1,4,100.0
GB Hogg,2,3,0,0,0,0,0,5,1,1,3,60.0
YK Pathan,3,3,1,0,1,0,3,11,0,3,27,245.45
PP Chawla,2,7,0,0,0,0,0,9,0,1,7,77.78
RN ten Doeschate,1,2,0,0,0,0,0,3,0,1,2,66.67
UT Yadav,3,8,1,0,2,0,0,14,1,4,18,128.57
S Kaul,0,2,0,0,1,0,0,3,0,1,6,200.0
S Nadeem,5,2,0,0,2,0,0,9,1,1,10,111.11
IK Pathan,1,2,0,0,0,0,0,3,0,1,2,66.67
M Morkel,6,2,1,0,0,0,0,9,0,3,4,44.44
CR Brathwaite,3,2,0,0,1,0,0,6,0,1,6,100.0
SP Narine,3,6,3,0,1,0,0,13,1,4,16,123.08
R Bhatia,1,7,1,0,0,0,0,9,0,3,9,100.0
L Balaji,0,1,1,0,0,0,0,2,0,1,3,150.0
JH Kallis,1,0,0,0,0,0,0,1,1,1,0,0.0
Sandeep Sharma,5,2,0,0,0,0,0,7,2,3,2,28.57
PV Tambe,11,5,0,0,0,0,0,16,1,2,5,31.25
A Nehra,3,1,2,0,1,0,0,7,0,1,9,128.57
DP Nannes,0,4,1,0,1,0,1,7,0,1,16,228.57
DW Steyn,3,2,0,0,0,0,0,5,0,1,2,40.0
NLTC Perera,1,1,1,0,1,0,0,4,0,2,7,175.0
SK Raina,2,1,0,0,0,0,2,5,0,1,13,260.0
P Negi,1,2,0,0,1,0,0,4,1,1,6,150.0
Shakib Al Hasan,4,2,1,0,0,0,0,7,0,2,4,57.14
DT Christian,2,2,1,0,0,0,0,5,0,1,4,80.0
SN Thakur,3,5,1,0,5,0,0,14,0,1,27,192.86
JD Unadkat,1,2,0,0,1,0,2,6,0,1,18,300.0
Kuldeep Yadav,3,5,2,0,1,0,1,12,1,3,19,158.33
CR Woakes,1,1,0,0,1,0,0,3,1,1,5,166.67
TG Southee,4,1,0,0,0,0,0,5,1,1,1,20.0
MJ McClenaghan,7,7,0,0,2,0,0,16,0,4,15,93.75
JJ Bumrah,4,5,1,0,1,0,0,11,1,2,11,100.0
Harbhajan Singh,7,8,1,0,1,0,1,18,0,2,20,111.11
HH Pandya,2,2,0,0,2,0,0,6,0,2,10,166.67
SB Styris,2,1,0,0,0,0,0,3,1,1,1,33.33
Harmeet Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
I Sharma,4,0,1,0,0,0,0,5,0,1,2,40.0
KC Cariappa,1,3,0,1,0,0,0,5,0,1,6,120.0
DS Kulkarni,3,6,0,0,4,0,0,13,0,3,22,169.23
S Kaushik,14,8,4,0,4,0,0,30,0,2,32,106.67
Tejas Baroka,0,5,1,0,0,0,0,6,0,1,7,116.67
Basil Thampi,1,2,0,0,0,0,0,3,0,1,2,66.67
TM Dilshan,2,2,0,0,0,0,0,4,0,1,2,50.0
SL Malinga,6,3,2,0,2,0,0,13,0,2,15,115.38
R Vinay Kumar,2,3,0,0,0,0,0,5,0,1,3,60.0
J Suchith,2,1,0,0,0,0,0,3,1,1,1,33.33
KV Sharma,2,0,0,0,0,0,0,2,0,1,0,0.0
Gurkeerat Singh,3,2,0,0,1,0,0,6,1,1,6,100.0
BE Hendricks,0,2,0,0,2,0,0,4,0,1,10,250.0
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,1,0,0,0,0,0,0,1,1,1,0,0.0
Iqbal Abdulla,0,2,0,0,0,0,0,2,0,1,2,100.0
CJ Jordan,1,0,0,0,0,0,0,1,1,1,0,0.0
DR Smith,1,0,0,0,0,0,0,1,1,1,0,0.0
CH Morris,0,6,1,0,0,0,0,7,0,2,8,114.29
A Choudhary,1,2,0,0,1,0,0,4,0,1,6,150.0
TS Mills,2,1,0,1,0,0,0,4,0,1,4,100.0
S Aravind,1,5,1,0,2,0,1,10,0,1,21,210.0
TM Head,0,2,0,0,0,0,1,3,0,1,8,266.67
STR Binny,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,3,0,0,0,1,0,0,4,0,1,4,100.0
A Zampa,2,3,0,0,0,0,0,5,1,1,3,60.0
JO Holder,0,4,0,0,1,0,0,5,0,1,8,160.0
MG Neser,0,1,0,0,1,0,0,2,0,1,5,250.0
M Vijay,0,7,0,0,0,0,0,7,0,1,7,100.0
Anureet Singh,1,5,0,0,0,0,0,6,0,1,5,83.33
R Dhawan,1,1,0,0,0,0,0,2,0,1,1,50.0
MG Johnson,0,3,0,0,0,0,0,3,0,1,3,100.0
K Rabada,0,2,0,0,2,0,0,4,0,1,10,250.0
