,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KA Pollard,4,3,1,0,0,0,0,8,1,2,5,62.5
R McLaren,6,3,0,0,1,0,1,11,0,2,13,118.18
JA Morkel,7,1,2,0,1,0,0,11,1,2,9,81.82
DE Bollinger,7,4,1,0,2,0,1,15,1,3,20,133.33
A Mishra,4,4,0,0,0,0,0,8,1,2,4,50.0
P Kumar,6,0,0,0,1,0,0,7,2,2,4,57.14
R Ashwin,8,1,1,0,0,0,0,10,1,1,3,30.0
VS Malik,6,0,0,0,2,0,0,8,1,1,8,100.0
IK Pathan,2,2,0,0,1,0,0,5,0,2,6,120.0
SJ Srivastava,5,2,0,0,0,0,0,7,0,1,2,28.57
J Theron,2,2,0,0,1,0,0,5,0,1,6,120.0
KMDN Kulasekara,3,1,0,0,0,0,0,4,0,1,1,25.0
DW Steyn,4,2,0,0,0,0,0,6,0,1,2,33.33
R Vinay Kumar,0,3,0,0,0,0,0,3,0,2,3,100.0
JH Kallis,2,2,1,0,1,0,0,6,0,1,8,133.33
A Kumble,4,5,0,0,1,0,1,11,0,2,15,136.36
V Kohli,3,3,2,0,0,0,1,9,0,1,13,144.44
KP Appanna,1,1,0,0,0,0,1,3,0,1,7,233.33
Z Khan,4,1,0,0,1,0,0,6,1,2,5,83.33
SL Malinga,1,0,0,0,0,0,0,1,1,1,0,0.0
BJ Hodge,0,1,0,0,0,0,0,1,0,1,1,100.0
RA Jadeja,1,6,1,0,1,0,0,9,0,1,12,133.33
RP Singh,0,1,2,0,0,0,0,3,0,1,5,166.67
M Muralitharan,2,1,0,0,1,0,2,6,0,1,17,283.33
SB Jakati,1,1,0,0,0,0,0,2,1,1,1,50.0
S Nadeem,1,1,0,0,0,0,0,2,0,1,1,50.0
UT Yadav,2,3,0,0,1,0,0,6,0,2,7,116.67
JR Hopes,1,3,0,0,0,0,0,4,0,1,3,75.0
AB Dinda,2,0,0,0,0,0,0,2,1,1,0,0.0
DP Nannes,2,3,0,0,0,0,0,5,0,1,3,60.0
A Nehra,1,1,1,0,1,0,1,5,0,1,13,260.0
AB Agarkar,3,0,0,0,1,0,0,4,0,1,4,100.0
SE Bond,0,1,1,0,1,0,0,3,0,1,7,233.33
M Kartik,1,1,0,0,2,0,0,4,0,1,9,225.0
AD Mathews,2,1,0,0,2,0,0,5,1,1,9,180.0
MM Patel,1,1,1,0,1,0,0,4,0,1,7,175.0
AN Ahmed,1,0,0,0,0,0,0,1,0,1,0,0.0
AG Murtaza,2,0,0,0,1,0,0,3,1,1,4,133.33
