,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
P Kumar,8,9,0,0,2,0,1,20,1,3,23,115.0
Z Khan,20,11,1,0,3,0,1,36,4,6,31,86.11
JH Kallis,11,17,4,1,4,0,3,40,1,5,62,155.0
B Akhil,4,6,0,0,0,0,2,12,0,1,18,150.0
A Nehra,13,6,0,1,0,0,0,20,0,4,9,45.0
TM Dilshan,4,7,0,0,3,0,0,14,0,2,19,135.71
V Sehwag,5,3,0,0,2,0,0,10,1,2,11,110.0
S Aravind,3,10,2,0,1,0,0,16,0,3,18,112.5
CH Gayle,4,2,0,0,0,0,0,6,0,1,2,33.33
J Syed Mohammad,2,4,2,0,1,0,2,11,1,1,24,218.18
DL Vettori,7,7,1,0,2,0,1,18,0,2,23,127.78
A Mithun,0,2,3,0,1,0,0,6,0,1,12,200.0
M Morkel,22,4,3,0,5,0,0,34,0,3,30,88.24
UT Yadav,12,8,0,0,1,0,0,21,1,4,12,57.14
VR Aaron,4,1,0,1,1,0,1,8,1,2,14,175.0
RE van der Merwe,2,2,0,0,1,0,0,5,0,1,6,120.0
IK Pathan,13,12,2,1,7,0,2,37,2,5,59,159.46
R Sharma,7,6,3,0,2,0,0,18,0,2,20,111.11
KW Richardson,3,0,0,0,0,0,0,3,1,1,0,0.0
R Sathish,2,2,3,0,3,0,0,10,0,3,20,200.0
KA Pollard,4,16,1,0,2,0,1,24,0,4,32,133.33
Harbhajan Singh,21,21,0,0,3,0,1,46,1,6,39,84.78
SL Malinga,16,15,0,0,5,0,1,37,2,8,41,110.81
R McLaren,1,0,2,0,0,0,0,3,0,1,4,133.33
B Lee,14,9,3,0,3,0,2,31,0,4,39,125.81
Shakib Al Hasan,4,3,1,0,1,0,1,10,0,1,15,150.0
SP Narine,20,17,4,0,3,0,0,44,3,6,37,84.09
Iqbal Abdulla,7,3,0,0,0,0,0,10,0,3,3,30.0
R Bhatia,8,27,3,0,5,0,1,44,0,6,59,134.09
YK Pathan,5,14,3,1,2,0,1,26,0,6,37,142.31
BE Hendricks,3,1,0,0,0,0,0,4,0,1,1,25.0
Sandeep Sharma,4,2,0,0,0,0,0,6,1,2,2,33.33
AR Patel,3,2,0,0,0,0,0,5,1,1,2,40.0
R Dhawan,1,2,0,0,0,0,0,3,0,1,2,66.67
AC Thomas,10,5,1,0,2,0,0,18,0,2,15,83.33
JE Taylor,8,4,0,0,2,0,0,14,1,2,12,85.71
M Kartik,6,7,0,0,2,0,0,15,1,2,15,100.0
S Sreesanth,8,7,0,0,2,0,1,18,0,2,21,116.67
JR Hopes,5,2,1,0,0,0,2,10,0,1,16,160.0
K Goel,2,3,2,0,1,0,1,9,0,1,17,188.89
PP Chawla,5,11,2,0,1,0,1,20,1,3,25,125.0
WA Mota,0,3,0,0,2,0,1,6,0,1,17,283.33
MM Patel,9,8,1,0,5,0,0,23,0,3,30,130.43
AN Ahmed,1,2,0,0,0,0,0,3,0,1,2,66.67
RG Sharma,2,3,1,0,0,0,0,6,0,2,5,83.33
R Rampaul,4,4,0,0,1,0,0,9,0,2,8,88.89
MJ McClenaghan,5,2,0,0,1,0,0,8,1,2,6,75.0
R Vinay Kumar,14,4,3,0,1,0,1,23,2,6,20,86.96
Sunny Gupta,0,4,0,0,1,0,0,5,0,1,8,160.0
AD Russell,4,1,0,1,0,0,0,6,0,1,4,66.67
P Negi,0,1,0,0,0,0,0,1,0,1,1,100.0
L Balaji,22,9,3,0,8,0,2,44,2,4,59,134.09
SMSM Senanayake,8,3,0,0,1,0,0,12,0,1,7,58.33
JJ van der Wath,2,5,1,1,3,0,0,12,0,1,22,183.33
R Ninan,1,3,1,0,0,0,0,5,0,1,5,100.0
V Kohli,3,6,0,0,2,0,0,11,0,1,14,127.27
S Kaul,4,4,1,0,3,0,0,12,0,2,18,150.0
J Botha,13,17,0,0,3,0,0,33,1,4,29,87.88
RJ Harris,10,5,0,0,4,0,0,19,0,2,21,110.53
MG Johnson,13,8,1,0,5,0,0,27,0,3,30,111.11
PP Ojha,7,9,2,0,1,0,0,19,1,5,17,89.47
MA Starc,6,7,2,0,2,0,0,17,0,2,19,111.76
JA Morkel,4,2,0,0,0,0,0,6,1,1,2,33.33
VS Malik,6,3,1,0,2,0,0,12,0,1,13,108.33
