,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JR Hopes,1,0,0,0,0,0,0,1,1,1,0,0.0
DJ Bravo,1,1,0,0,0,0,0,2,0,1,1,50.0
KA Pollard,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,2,3,0,0,1,0,2,8,0,1,19,237.5
ST Jayasuriya,3,3,1,0,1,0,0,8,1,2,9,112.5
P Kumar,0,4,4,0,0,0,0,8,0,1,12,150.0
RE van der Merwe,1,2,2,0,0,0,0,5,0,1,6,120.0
Iqbal Abdulla,2,3,1,0,0,0,0,6,1,2,5,83.33
SC Ganguly,1,3,0,0,0,0,0,4,0,1,3,75.0
AB Dinda,1,2,0,0,0,0,0,3,0,1,2,66.67
IK Pathan,1,5,1,0,0,0,0,7,0,2,7,100.0
VRV Singh,1,1,1,0,0,0,0,3,0,1,3,100.0
B Lee,6,1,0,0,2,0,0,9,1,2,9,100.0
SK Trivedi,5,1,1,0,1,0,0,8,0,2,7,87.5
MM Patel,2,1,1,0,1,0,0,5,0,1,7,140.0
SK Warne,1,1,1,0,0,0,4,7,1,2,27,385.71
SR Watson,1,0,0,0,1,0,0,2,1,1,4,200.0
A Nehra,3,2,0,0,2,0,0,7,0,1,10,142.86
DS Kulkarni,2,0,0,0,2,0,0,4,0,1,8,200.0
PP Ojha,3,2,0,0,0,0,1,6,1,1,8,133.33
RP Singh,1,1,2,0,0,0,1,5,0,1,11,220.0
L Ablish,2,0,0,0,0,0,0,2,1,1,0,0.0
WA Mota,0,1,1,0,0,0,0,2,0,1,3,150.0
A Kumble,1,1,0,0,0,0,0,2,0,1,1,50.0
DW Steyn,2,1,0,0,0,0,1,4,0,1,7,175.0
Z Khan,0,1,0,0,1,0,0,2,0,1,5,250.0
BAW Mendis,0,2,0,0,0,0,0,2,0,1,2,100.0
