,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R Vinay Kumar,2,3,0,0,0,0,1,6,0,2,9,150.0
J Yadav,4,0,1,0,0,0,0,5,0,1,2,40.0
CH Morris,8,6,2,1,2,0,0,19,1,5,21,110.53
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
STR Binny,1,0,0,0,0,0,0,1,0,1,0,0.0
SK Trivedi,2,1,0,0,1,0,0,4,0,1,5,125.0
KK Cooper,4,3,0,0,1,0,0,8,0,2,7,87.5
JP Faulkner,3,2,2,0,0,0,0,7,3,4,6,85.71
SP Narine,11,3,1,0,1,0,1,17,2,4,15,88.24
R McLaren,1,1,1,0,0,0,1,4,0,1,9,225.0
DJ Bravo,2,2,0,0,0,0,0,4,2,2,2,50.0
R Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
RA Jadeja,1,0,0,0,0,0,0,1,1,1,0,0.0
SN Thakur,3,1,0,0,0,0,0,4,0,1,1,25.0
DT Christian,3,3,0,0,0,0,1,7,0,1,9,128.57
JD Unadkat,0,3,0,0,0,0,0,3,0,1,3,100.0
SL Malinga,3,1,0,0,0,0,0,4,0,2,1,25.0
P Suyal,1,1,0,0,0,0,0,2,0,1,1,50.0
MJ McClenaghan,1,1,0,0,0,0,0,2,1,1,1,50.0
S Aravind,1,1,0,0,0,0,0,2,0,1,1,50.0
MA Starc,4,0,0,0,1,0,0,5,1,2,4,80.0
DW Steyn,3,0,0,0,0,0,0,3,0,1,0,0.0
B Kumar,3,1,2,0,0,0,0,6,1,2,5,83.33
M Morkel,1,1,0,0,0,0,0,2,1,1,1,50.0
P Kumar,1,3,0,0,0,0,0,4,0,1,3,75.0
MM Sharma,1,3,0,0,2,0,0,6,0,2,11,183.33
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,6,1,1,0,0,0,0,8,0,2,3,37.5
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
R Rampaul,1,2,0,0,0,0,1,4,0,1,8,200.0
Shakib Al Hasan,0,1,0,0,0,0,1,2,0,1,7,350.0
VR Aaron,3,3,0,0,0,0,0,6,0,1,3,50.0
HV Patel,1,1,1,0,0,0,1,4,0,1,9,225.0
TG Southee,3,0,0,0,0,0,0,3,0,1,0,0.0
