,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IK Pathan,5,0,0,0,6,0,0,11,0,2,24,218.18
SJ Srivastava,1,3,2,0,3,0,0,9,0,1,19,211.11
S Sreesanth,11,5,0,0,5,0,0,21,0,2,25,119.05
J Theron,3,2,1,0,4,0,1,11,0,2,26,236.36
PP Chawla,6,2,0,0,1,0,1,10,1,2,12,120.0
WPUJC Vaas,4,2,0,0,2,0,0,8,0,1,10,125.0
RP Singh,3,1,0,0,5,0,0,9,1,2,21,233.33
RG Sharma,1,3,1,0,0,0,0,5,0,1,5,100.0
R Sharma,3,5,1,0,0,0,0,9,0,1,7,77.78
PP Ojha,1,2,0,0,0,0,0,3,0,1,2,66.67
RR Powar,5,0,0,0,2,0,0,7,0,1,8,114.29
Bipul Sharma,0,2,0,0,2,0,0,4,0,1,10,250.0
RS Bopara,2,0,0,0,0,0,0,2,1,1,0,0.0
P Kumar,3,2,0,0,1,0,0,6,0,1,6,100.0
DW Steyn,5,2,0,0,0,0,0,7,0,2,2,28.57
R Vinay Kumar,1,1,0,1,0,0,0,3,0,2,4,133.33
JH Kallis,1,2,0,0,0,0,0,3,0,1,2,66.67
A Kumble,5,1,0,0,1,0,0,7,1,2,5,71.43
RJ Harris,5,0,0,0,0,0,1,6,0,1,6,100.0
DR Smith,0,1,0,0,2,0,0,3,0,1,9,300.0
JA Morkel,5,2,3,0,4,0,2,16,2,2,36,225.0
DE Bollinger,5,1,0,0,0,0,0,6,0,1,1,16.67
S Tyagi,4,1,1,0,2,0,1,9,0,1,17,188.89
M Muralitharan,4,1,0,0,2,0,0,7,0,2,9,128.57
MF Maharoof,2,0,0,0,0,0,0,2,1,1,0,0.0
AB Dinda,1,0,0,0,0,0,0,1,1,1,0,0.0
T Thushara,4,0,0,0,1,0,0,5,0,1,4,80.0
SL Malinga,2,0,0,0,0,0,0,2,1,1,0,0.0
Z Khan,2,0,0,0,0,0,0,2,0,1,0,0.0
DS Kulkarni,2,0,0,0,2,0,0,4,1,1,8,200.0
