,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
T Thushara,3,1,0,0,0,0,0,4,1,1,1,25.0
MS Gony,8,1,0,0,4,0,0,13,0,3,17,130.77
Ankit Sharma,4,2,0,0,0,0,0,6,1,2,2,33.33
R Bhatia,4,8,2,0,0,0,1,15,0,2,18,120.0
PV Tambe,3,2,0,0,1,0,1,7,2,2,12,171.43
JP Faulkner,1,8,0,0,1,0,1,11,0,4,18,163.64
MA Starc,3,2,0,0,1,0,0,6,0,2,6,100.0
JA Morkel,9,6,2,0,7,0,0,24,2,5,38,158.33
KV Sharma,17,19,1,0,3,0,3,43,2,6,51,118.6
DJG Sammy,1,1,0,0,1,0,0,3,0,1,5,166.67
A Mishra,20,19,2,0,4,0,4,49,2,9,63,128.57
IK Pathan,14,8,2,0,3,0,4,31,0,4,48,154.84
DW Steyn,12,9,0,0,3,0,0,24,0,6,21,87.5
P Kumar,10,5,1,0,0,0,0,16,3,5,7,43.75
MC Henriques,3,20,2,0,1,0,1,27,0,5,34,125.93
Bipul Sharma,13,18,4,0,0,0,4,39,0,7,50,128.21
RS Bopara,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,5,10,3,0,1,0,0,19,4,6,20,105.26
SB Jakati,3,3,2,0,1,0,0,9,1,1,11,122.22
SK Raina,1,5,1,0,0,0,0,7,0,2,7,100.0
M Muralitharan,6,5,0,0,0,0,0,11,1,2,5,45.45
L Balaji,8,9,2,0,4,0,0,23,0,4,29,126.09
MG Johnson,8,10,1,0,3,0,0,22,0,5,24,109.09
AR Patel,20,17,1,0,1,0,0,39,2,7,23,58.97
P Awana,4,6,2,0,2,1,2,17,0,3,35,205.88
R Dhawan,3,9,2,0,2,0,0,16,0,2,21,131.25
Karanveer Singh,7,7,0,0,3,0,4,21,1,2,43,204.76
R Ashwin,11,10,1,1,0,0,1,24,1,7,21,87.5
AB Dinda,7,0,2,0,3,0,0,12,2,3,16,133.33
M Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
A Zampa,2,2,0,0,0,0,0,4,0,1,2,50.0
RJ Harris,26,8,4,0,4,0,0,42,2,5,32,76.19
SJ Srivastava,1,1,1,0,1,0,0,4,0,2,7,175.0
BA Bhatt,3,6,0,0,0,0,0,9,0,1,6,66.67
PC Valthaty,1,2,1,0,0,0,0,4,0,1,4,100.0
B Lee,4,4,3,0,4,0,0,15,0,2,26,173.33
S Sreesanth,6,4,1,0,1,0,0,12,0,2,10,83.33
PP Chawla,3,4,1,0,1,0,0,9,1,3,10,111.11
Z Khan,19,13,3,0,3,0,0,38,1,6,31,81.58
Imran Tahir,5,8,1,0,0,0,2,16,0,2,22,137.5
AD Mathews,2,4,0,0,0,0,1,7,1,3,10,142.86
Yuvraj Singh,3,1,1,0,0,0,1,6,1,2,9,150.0
S Tyagi,10,5,1,0,2,0,0,18,0,1,15,83.33
AN Ahmed,6,2,1,0,1,0,0,10,0,2,8,80.0
SL Malinga,21,16,1,0,0,0,3,41,4,7,36,87.8
PP Ojha,22,24,4,0,4,0,3,57,2,8,66,115.79
Harbhajan Singh,25,34,1,0,4,0,2,66,4,10,64,96.97
Anureet Singh,1,2,0,0,1,0,0,4,0,2,6,150.0
Sandeep Sharma,11,7,3,1,7,0,0,29,2,6,44,151.72
Gurkeerat Singh,3,2,0,0,0,0,0,5,0,1,2,40.0
GJ Maxwell,2,3,0,0,0,0,0,5,1,3,3,60.0
YA Abdulla,1,1,0,0,0,0,0,2,0,1,1,50.0
Harmeet Singh,3,1,0,0,1,0,0,5,1,3,5,100.0
Washington Sundar,0,2,0,0,0,0,0,2,0,1,2,100.0
SN Thakur,3,5,0,0,3,0,0,11,0,1,17,154.55
DT Christian,6,2,0,0,2,0,0,10,1,2,10,100.0
BA Stokes,1,2,0,0,0,0,0,3,0,1,2,66.67
BB Sran,7,7,0,0,2,0,1,17,0,4,21,123.53
DS Kulkarni,5,9,0,0,0,0,0,14,1,3,9,64.29
CH Morris,7,7,2,0,2,0,0,18,0,3,19,105.56
SR Watson,8,6,1,0,3,0,1,19,1,5,26,136.84
RP Singh,1,5,1,0,2,0,1,10,0,2,21,210.0
A Symonds,7,10,1,0,0,0,1,19,0,3,18,94.74
P Negi,4,9,1,0,0,0,0,14,1,3,11,78.57
I Sharma,25,6,1,1,2,0,0,35,0,5,19,54.29
JP Duminy,7,6,1,0,5,0,2,21,0,4,40,190.48
IC Pandey,5,3,0,0,1,0,0,9,0,2,7,77.78
A Nehra,7,3,0,0,2,0,0,12,0,3,11,91.67
MM Sharma,7,12,0,0,2,0,0,21,0,5,20,95.24
RA Jadeja,5,9,1,0,0,0,0,15,1,4,11,73.33
SMSM Senanayake,1,4,0,0,0,0,0,5,0,1,4,80.0
JH Kallis,7,5,0,0,5,0,0,17,0,1,25,147.06
RN ten Doeschate,0,3,1,0,0,0,0,4,0,1,5,125.0
SP Narine,1,4,0,0,1,0,0,6,0,1,8,133.33
Mohammed Shami,13,8,4,0,2,0,0,27,0,3,24,88.89
NM Coulter-Nile,5,3,0,0,2,0,0,10,0,2,11,110.0
JD Unadkat,2,7,2,0,0,0,0,11,0,1,11,100.0
JDS Neesham,3,2,0,0,2,0,0,7,0,1,10,142.86
S Nadeem,8,15,1,1,3,0,0,28,2,4,32,114.29
P Sahu,1,5,0,0,0,0,0,6,0,1,5,83.33
M de Lange,3,5,0,0,1,0,0,9,0,1,9,100.0
