,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SL Malinga,17,10,2,0,0,0,1,30,1,7,20,66.67
JJ Bumrah,10,12,1,0,4,0,0,27,1,4,30,111.11
KV Sharma,5,4,0,0,0,0,1,10,0,1,10,100.0
KH Pandya,6,4,1,0,1,0,0,12,0,1,10,83.33
HH Pandya,0,1,1,0,1,0,0,3,0,1,7,233.33
MJ McClenaghan,1,5,0,0,1,0,1,8,0,2,15,187.5
Z Khan,4,8,1,0,0,0,0,13,1,4,10,76.92
Mohammed Shami,2,5,0,0,2,0,0,9,0,1,13,144.44
A Mishra,11,15,2,0,4,0,2,34,0,7,47,138.24
S Nadeem,6,7,1,0,1,0,0,15,1,2,13,86.67
PJ Cummins,8,4,0,0,1,0,2,15,1,1,20,133.33
MN Samuels,0,1,0,0,1,0,0,2,0,1,5,250.0
CJ Anderson,2,1,0,0,0,0,0,3,0,1,1,33.33
AB McDonald,1,0,0,0,0,0,0,1,1,1,0,0.0
S Randiv,3,4,1,0,1,0,2,11,1,2,22,200.0
SB Jakati,10,14,0,0,4,0,0,28,0,5,30,107.14
JA Morkel,7,10,0,0,1,0,0,18,1,5,14,77.78
R Ashwin,3,8,1,0,0,0,0,12,1,4,10,83.33
SK Raina,2,8,1,0,1,0,0,12,1,4,14,116.67
TG Southee,0,1,0,0,0,0,0,1,0,1,1,100.0
Sandeep Sharma,0,2,0,0,1,0,0,3,0,2,6,200.0
BE Hendricks,1,2,0,0,0,0,0,3,0,1,2,66.67
AR Patel,2,5,1,0,0,0,0,8,0,2,7,87.5
DL Vettori,1,4,0,1,0,0,0,6,0,1,7,116.67
R Bhatia,5,10,1,0,0,0,1,17,0,2,18,105.88
PJ Sangwan,0,0,0,0,0,0,1,1,0,1,6,600.0
MF Maharoof,0,1,1,0,0,0,0,2,0,1,3,150.0
RJ Harris,6,2,0,0,1,0,0,9,0,1,6,66.67
PP Chawla,19,32,0,0,3,0,2,56,1,7,56,100.0
DJ Hussey,1,2,0,0,0,0,0,3,0,1,2,66.67
BA Bhatt,6,5,1,0,1,0,0,13,1,2,11,84.62
Bipul Sharma,6,3,0,0,0,0,0,9,0,1,3,33.33
PC Valthaty,4,2,0,0,1,0,0,7,0,1,6,85.71
MG Johnson,3,2,2,0,3,0,0,10,1,3,18,180.0
P Kumar,4,6,2,0,0,0,0,12,0,4,10,83.33
JH Kallis,3,3,0,0,4,0,1,11,1,3,25,227.27
DW Steyn,6,10,0,0,5,0,1,22,1,5,36,163.64
A Kumble,2,3,0,0,3,0,0,8,0,1,15,187.5
RE van der Merwe,3,4,1,0,0,0,0,8,1,1,6,75.0
Shoaib Akhtar,1,1,0,0,0,0,0,2,1,1,1,50.0
AB Dinda,3,0,0,0,2,0,0,5,0,1,8,160.0
MM Sharma,3,5,0,0,1,0,1,10,0,2,15,150.0
DJ Bravo,3,5,0,0,2,0,0,10,0,3,13,130.0
RA Jadeja,11,14,3,0,0,0,2,30,2,4,32,106.67
IC Pandey,2,0,0,0,0,0,0,2,1,1,0,0.0
Swapnil Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
T Natarajan,1,4,0,0,1,0,1,7,0,1,14,200.0
MP Stoinis,0,1,0,0,1,0,0,2,0,1,5,250.0
PP Ojha,13,11,1,0,1,0,1,27,1,6,23,85.19
MM Patel,10,5,0,0,0,0,0,15,2,4,5,33.33
Harbhajan Singh,10,12,3,0,3,0,1,29,0,6,36,124.14
KA Pollard,8,12,0,1,6,0,0,27,1,5,39,144.44
DR Smith,10,8,0,0,1,0,0,19,0,4,12,63.16
VRV Singh,3,2,0,0,2,0,0,7,1,1,10,142.86
Yuvraj Singh,5,4,0,0,0,0,0,9,0,2,4,44.44
B Lee,1,6,1,0,2,0,0,10,0,2,16,160.0
