,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
DW Steyn,22,5,3,0,1,0,0,31,0,4,15,48.39
Z Khan,15,4,0,0,8,0,0,27,1,4,36,133.33
DP Nannes,12,6,3,0,6,0,0,27,0,4,36,133.33
A Nehra,11,7,1,0,4,0,1,24,1,4,31,129.17
Harbhajan Singh,24,16,1,0,1,0,3,45,1,6,40,88.89
SL Malinga,20,9,1,0,2,0,1,33,0,4,25,75.76
AN Ahmed,2,2,0,0,0,0,0,4,0,1,2,50.0
R McLaren,2,5,1,0,0,0,0,8,0,2,7,87.5
DJ Bravo,10,9,3,0,5,0,0,27,0,4,35,129.63
KA Pollard,2,4,0,0,0,0,0,6,2,2,4,66.67
A Kumble,21,12,2,0,2,0,0,37,2,5,24,64.86
JH Kallis,7,13,2,0,7,0,2,31,0,5,57,183.87
B Lee,7,1,0,0,2,0,0,10,0,1,9,90.0
S Sreesanth,9,5,1,0,2,0,3,20,1,2,33,165.0
JR Hopes,1,1,0,0,1,0,1,4,0,1,11,275.0
IK Pathan,11,4,1,0,5,0,0,21,1,4,26,123.81
YK Pathan,14,10,2,1,3,0,0,30,2,4,29,96.67
S Narwal,0,3,1,0,0,0,1,5,0,2,11,220.0
SW Tait,4,2,0,0,1,0,0,7,0,2,6,85.71
SR Watson,1,1,1,0,1,0,1,5,0,1,13,260.0
SB Wagh,2,0,0,0,3,0,0,5,1,1,12,240.0
AM Salvi,1,4,1,0,1,0,3,10,0,1,28,280.0
PJ Sangwan,5,6,2,0,4,0,1,18,2,3,32,177.78
A Symonds,3,0,0,0,1,0,0,4,0,1,4,100.0
RJ Harris,11,5,0,0,3,0,0,19,1,3,17,89.47
SE Bond,6,1,0,0,0,0,0,7,0,1,1,14.29
I Sharma,7,3,2,0,0,0,1,13,1,2,13,100.0
DS Kulkarni,3,7,1,0,3,0,0,14,0,2,21,150.0
JP Duminy,1,4,1,0,0,0,0,6,0,1,6,100.0
C Nanda,4,3,4,0,1,0,0,12,0,1,15,125.0
P Kumar,7,7,1,1,3,0,2,21,0,4,36,171.43
R Vinay Kumar,4,6,2,0,6,0,1,19,1,3,40,210.53
V Kohli,3,1,0,0,2,0,0,6,0,1,9,150.0
CRD Fernando,5,2,0,0,0,0,0,7,0,1,2,28.57
RP Singh,13,6,1,0,6,0,2,28,0,4,44,157.14
FH Edwards,3,0,1,0,2,0,0,6,0,1,10,166.67
DR Smith,2,2,0,0,2,0,1,7,0,2,16,228.57
Y Venugopal Rao,2,5,0,0,0,0,0,7,0,1,5,71.43
RG Sharma,10,5,1,0,2,0,2,20,0,4,27,135.0
PP Ojha,1,3,0,0,0,0,0,4,1,1,3,75.0
Shoaib Ahmed,3,1,0,0,2,0,0,6,1,2,9,150.0
UT Yadav,4,4,0,0,3,0,0,11,0,1,16,145.45
R Bhatia,2,1,0,0,3,0,2,8,0,1,25,312.5
TM Dilshan,0,2,0,0,0,0,3,5,0,1,20,400.0
A Mishra,4,2,0,0,0,0,1,7,1,1,8,114.29
AD Mascarenhas,0,1,0,0,0,0,0,1,0,1,1,100.0
RR Powar,11,0,0,0,2,0,1,14,2,2,14,100.0
RE van der Merwe,1,4,1,0,0,0,2,8,0,1,18,225.0
CH Gayle,2,0,0,0,0,0,0,2,1,1,0,0.0
SJ Srivastava,2,3,0,0,1,0,0,6,0,1,7,116.67
J Theron,2,0,0,0,0,0,0,2,1,1,0,0.0
PP Chawla,4,2,0,0,1,0,3,10,0,2,24,240.0
SM Pollock,3,2,0,0,3,0,1,9,0,1,20,222.22
VS Yeligati,1,2,0,0,0,0,0,3,0,1,2,66.67
AM Nayar,1,1,0,0,0,0,1,3,0,1,7,233.33
MA Khote,0,3,0,0,1,0,0,4,0,1,7,175.0
WPUJC Vaas,1,1,0,0,0,0,0,2,1,1,1,50.0
RR Raje,0,2,0,0,3,0,0,5,0,1,14,280.0
ST Jayasuriya,2,4,0,0,1,0,0,7,1,1,8,114.29
SK Trivedi,1,5,0,0,0,0,0,6,0,1,5,83.33
SM Harwood,1,0,0,0,0,0,0,1,0,1,0,0.0
SK Warne,6,4,1,0,1,0,1,13,1,1,16,123.08
RA Jadeja,6,1,2,0,1,0,0,10,0,1,9,90.0
AB Dinda,3,2,0,0,2,0,0,7,0,1,10,142.86
AB Agarkar,4,2,1,0,3,0,0,10,0,1,16,160.0
DJ Hussey,0,1,0,0,0,0,1,2,0,1,7,350.0
Mohammad Hafeez,1,4,0,0,0,0,1,6,0,1,10,166.67
M Kartik,2,6,1,0,1,0,0,10,0,1,12,120.0
LR Shukla,1,2,0,0,0,0,0,3,0,1,2,66.67
YA Abdulla,2,3,0,0,1,0,0,6,0,1,7,116.67
VRV Singh,3,0,1,0,1,0,1,6,0,1,12,200.0
K Goel,5,3,1,0,1,0,0,10,0,1,9,90.0
Harmeet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
