,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SS Sarkar,0,2,0,0,0,0,0,2,0,1,2,100.0
CK Langeveldt,1,2,0,0,0,0,0,3,0,1,2,66.67
AB Agarkar,0,1,0,0,0,0,0,1,0,1,1,100.0
BA Bhatt,1,0,0,0,0,0,0,1,1,1,0,0.0
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
RG Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
WPUJC Vaas,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Ojha,1,0,0,0,0,0,0,1,0,1,0,0.0
DP Nannes,2,2,0,0,5,0,0,9,0,1,22,244.44
A Nehra,1,1,0,0,0,0,0,2,0,2,1,50.0
JDP Oram,1,0,0,0,0,0,0,1,1,1,0,0.0
M Morkel,1,0,0,0,0,0,0,1,0,1,0,0.0
UT Yadav,3,1,0,0,0,0,0,4,0,1,1,25.0
A Kumble,4,0,0,0,0,0,0,4,1,2,0,0.0
AB Dinda,1,1,0,0,0,0,0,2,0,1,1,50.0
B Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
SE Bond,0,1,1,0,0,0,0,2,0,1,3,150.0
I Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
