,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
BB Sran,1,1,0,0,0,0,1,3,0,1,7,233.33
Rashid Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
B Kumar,1,2,1,0,0,0,0,4,1,2,4,100.0
J Yadav,3,1,0,0,1,0,1,6,0,1,11,183.33
CH Morris,1,2,1,1,0,0,0,5,0,2,7,140.0
Z Khan,1,3,0,0,1,0,0,5,1,2,7,140.0
DR Smith,0,1,0,0,0,0,0,1,0,1,1,100.0
Basil Thampi,0,1,1,0,0,0,0,2,0,1,3,150.0
NM Coulter-Nile,0,0,1,0,0,0,0,1,0,1,2,200.0
MJ McClenaghan,1,2,0,0,0,0,0,3,0,2,2,66.67
R Vinay Kumar,0,0,2,0,1,0,2,5,0,1,20,400.0
P Kumar,1,1,0,0,0,0,0,2,1,1,1,50.0
AD Russell,1,1,0,0,0,0,0,2,1,2,1,50.0
M Morkel,2,1,0,0,0,0,0,3,1,1,1,33.33
SL Malinga,3,2,0,0,0,0,0,5,1,2,2,40.0
A Nehra,2,0,0,0,0,0,0,2,1,1,0,0.0
UT Yadav,0,1,0,0,0,0,0,1,0,1,1,100.0
TA Boult,2,1,0,0,2,0,0,5,0,1,9,180.0
CR Woakes,2,0,0,0,0,0,0,2,1,1,0,0.0
KA Pollard,2,0,0,0,0,0,0,2,0,1,0,0.0
AR Patel,1,0,0,0,0,0,0,1,0,1,0,0.0
MG Johnson,1,0,0,0,0,0,0,1,0,1,0,0.0
P Awana,0,1,0,0,0,0,0,1,0,1,1,100.0
CH Gayle,1,5,0,0,1,0,0,7,0,1,9,128.57
YS Chahal,1,1,0,0,1,0,0,3,0,1,5,166.67
Sachin Baby,2,0,0,0,0,0,0,2,0,1,0,0.0
SR Watson,0,2,0,0,1,0,0,3,0,1,6,200.0
A Choudhary,1,0,0,0,0,0,0,1,1,1,0,0.0
DT Christian,1,1,0,0,0,0,0,2,0,1,1,50.0
A Zampa,3,2,1,0,0,0,0,6,1,1,4,66.67
BA Stokes,3,1,0,0,0,0,0,4,0,1,1,25.0
D Wiese,0,2,0,0,0,0,0,2,0,1,2,100.0
MA Starc,4,0,0,0,0,0,0,4,1,1,0,0.0
CJ Anderson,2,2,0,0,0,0,0,4,0,1,2,50.0
PJ Cummins,2,1,0,0,0,0,0,3,1,1,1,33.33
