,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
V Pratap Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
P Awana,5,3,0,0,0,0,0,8,0,2,3,37.5
Azhar Mahmood,3,1,0,0,0,0,0,4,0,1,1,25.0
P Kumar,12,2,1,0,1,0,0,16,0,2,8,50.0
AD Mascarenhas,6,2,0,0,1,0,0,9,1,2,6,66.67
Bipul Sharma,1,3,0,0,1,0,1,6,0,1,13,216.67
PP Chawla,2,5,0,0,0,0,1,8,0,1,11,137.5
Harmeet Singh,4,2,0,0,1,0,0,7,1,1,6,85.71
JP Faulkner,2,3,0,0,0,0,0,5,0,2,3,60.0
HV Patel,1,1,0,0,0,0,0,2,1,2,1,50.0
RA Jadeja,4,3,0,0,0,0,0,7,0,2,3,42.86
DJ Bravo,3,1,0,0,0,0,1,5,0,1,7,140.0
SB Jakati,5,3,3,0,2,0,0,13,0,1,17,130.77
R Ashwin,4,0,0,0,0,0,0,4,1,2,0,0.0
DL Vettori,1,4,1,0,1,0,0,7,0,1,10,142.86
KP Appanna,0,2,1,0,0,0,1,4,0,1,10,250.0
Z Khan,0,3,1,0,0,0,0,4,0,1,5,125.0
R Vinay Kumar,1,2,0,0,0,0,1,4,0,1,8,200.0
Harbhajan Singh,3,1,0,0,0,0,0,4,0,1,1,25.0
KV Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
A Zampa,2,2,0,0,0,0,0,4,0,1,2,50.0
Washington Sundar,1,1,0,0,0,0,0,2,0,1,1,50.0
BA Stokes,4,2,0,0,0,0,0,6,0,1,2,33.33
SN Thakur,2,0,2,0,0,0,2,6,0,1,16,266.67
DT Christian,1,2,0,0,1,0,0,4,1,1,6,150.0
KA Pollard,0,2,0,0,0,0,0,2,0,1,2,100.0
SL Malinga,1,0,1,0,0,0,0,2,1,1,2,100.0
SK Raina,1,5,0,0,0,0,0,6,0,1,5,83.33
VY Mahesh,4,1,1,0,0,0,0,6,1,1,3,50.0
MS Gony,1,0,0,0,0,0,0,1,0,1,0,0.0
A Mishra,5,1,0,0,0,0,0,6,0,2,1,16.67
A Ashish Reddy,1,2,0,0,0,0,0,3,1,1,2,66.67
J Theron,2,1,0,0,0,0,0,3,0,1,1,33.33
NLTC Perera,3,0,0,0,1,0,0,4,1,1,4,100.0
