,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
VS Malik,2,1,1,0,1,0,0,5,0,1,7,140.0
IK Pathan,1,2,0,0,0,0,1,4,0,1,8,200.0
YA Abdulla,1,1,1,0,0,0,0,3,0,1,3,100.0
DP Nannes,3,4,1,1,1,0,0,10,1,2,13,130.0
A Nehra,4,4,0,0,1,0,0,9,1,1,8,88.89
A Mishra,3,2,0,0,2,0,0,7,0,1,10,142.86
PJ Sangwan,1,5,0,0,3,0,0,9,0,1,17,188.89
R Bhatia,4,6,2,0,4,0,0,16,0,1,26,162.5
P Kumar,0,2,0,0,2,0,0,4,0,1,10,250.0
RE van der Merwe,2,4,3,0,0,0,0,9,0,1,10,111.11
KP Pietersen,1,4,0,0,0,0,0,5,0,1,4,80.0
KP Appanna,2,6,0,0,2,0,0,10,0,1,14,140.0
A Kumble,2,5,0,0,0,0,0,7,0,1,5,71.43
Z Khan,4,0,0,0,1,0,0,5,0,1,4,80.0
Harbhajan Singh,5,2,3,0,1,0,0,11,0,1,12,109.09
SL Malinga,4,2,1,0,1,0,0,8,0,1,8,100.0
ST Jayasuriya,0,2,0,0,0,0,0,2,0,1,2,100.0
AM Nayar,2,3,0,0,0,0,0,5,0,1,3,60.0
GR Napier,3,3,0,0,0,0,0,6,1,1,3,50.0
