,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,4,4,2,0,2,0,1,13,1,3,22,169.23
AJ Tye,1,3,1,0,0,0,0,5,1,1,5,100.0
Basil Thampi,2,1,0,0,0,0,0,3,0,1,1,33.33
P Kumar,1,4,2,0,1,0,0,8,0,2,12,150.0
DS Kulkarni,3,3,0,0,1,0,0,7,0,1,7,100.0
JJ Bumrah,1,1,0,0,0,0,0,2,0,1,1,50.0
MJ McClenaghan,1,0,0,0,0,0,0,1,1,1,0,0.0
AD Russell,3,0,0,0,0,0,0,3,1,1,0,0.0
PP Chawla,4,0,0,0,1,0,0,5,0,1,4,80.0
UT Yadav,3,2,0,0,0,0,0,5,0,1,2,40.0
SP Narine,1,1,1,0,0,0,0,3,1,1,3,100.0
SR Watson,2,4,0,0,1,0,0,7,0,1,8,114.29
CJ Jordan,2,2,3,0,2,0,1,10,0,1,22,220.0
Iqbal Abdulla,1,1,0,0,0,0,0,2,0,1,1,50.0
VR Aaron,0,1,0,0,0,0,0,1,0,1,1,100.0
YS Chahal,0,2,0,0,0,0,0,2,0,1,2,100.0
S Nadeem,6,5,0,0,1,0,1,13,0,1,15,115.38
Mohammed Shami,3,2,1,0,0,0,0,6,0,1,4,66.67
CH Morris,2,2,0,0,1,0,0,5,0,1,6,120.0
Z Khan,2,2,2,0,0,0,0,6,1,1,6,100.0
CR Brathwaite,1,4,1,0,1,0,1,8,0,1,16,200.0
A Mishra,2,3,1,0,0,0,0,6,0,1,5,83.33
DJ Bravo,3,2,0,0,1,0,0,6,1,1,6,100.0
JP Faulkner,3,2,2,0,2,0,0,9,0,1,14,155.56
