,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SJ Srivastava,1,0,0,0,0,0,0,1,0,1,0,0.0
RJ Harris,4,1,0,0,0,0,0,5,1,2,1,20.0
PC Valthaty,0,1,0,0,0,0,0,1,0,1,1,100.0
P Kumar,2,2,1,0,1,0,1,7,0,1,14,200.0
PP Chawla,1,2,0,0,0,0,0,3,0,2,2,66.67
JP Duminy,1,1,0,0,0,0,0,2,0,1,1,50.0
DT Christian,6,1,1,0,0,0,1,9,0,1,9,100.0
DW Steyn,3,6,0,0,2,0,0,11,1,2,14,127.27
A Mishra,5,10,0,0,0,0,2,17,0,3,22,129.41
PP Ojha,3,2,2,0,0,0,1,8,1,2,12,150.0
J Theron,3,3,0,0,1,0,0,7,0,1,7,100.0
Yuvraj Singh,1,1,0,0,0,0,1,3,1,1,7,233.33
R Ashwin,1,2,0,0,0,0,0,3,0,1,2,66.67
SK Raina,3,1,0,0,0,0,0,4,0,1,1,25.0
DE Bollinger,5,0,1,0,0,0,0,6,1,1,2,33.33
TG Southee,0,2,0,0,1,0,0,3,0,1,6,200.0
R Vinay Kumar,6,4,0,0,0,0,0,10,1,1,4,40.0
JD Unadkat,1,3,0,0,0,0,2,6,0,1,15,250.0
M Kartik,3,3,0,0,0,0,0,6,0,1,3,50.0
R Rampaul,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
I Sharma,1,0,0,0,0,0,0,1,0,1,0,0.0
KV Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,1,2,0,0,0,0,0,3,0,1,2,66.67
R Bhatia,2,3,0,0,0,0,0,5,1,1,3,60.0
CH Morris,2,0,1,0,0,0,0,3,0,1,2,66.67
DJ Bravo,3,2,1,0,0,0,0,6,1,2,4,66.67
RA Jadeja,4,1,1,0,0,0,0,6,1,1,3,50.0
SR Watson,5,3,0,0,1,0,0,9,0,1,7,77.78
JP Faulkner,2,1,1,0,1,0,1,6,0,1,13,216.67
KK Cooper,2,3,0,0,0,0,2,7,0,1,15,214.29
KA Pollard,1,1,0,0,0,0,0,2,0,1,1,50.0
R Dhawan,1,3,0,0,0,0,0,4,0,1,3,75.0
SL Malinga,1,4,1,0,0,0,0,6,0,1,6,100.0
Harbhajan Singh,1,2,0,0,0,0,1,4,0,1,8,200.0
MG Johnson,2,2,0,0,2,0,1,7,1,1,16,228.57
A Ashish Reddy,1,1,0,0,0,0,1,3,0,1,7,233.33
PD Collingwood,0,4,0,0,0,0,0,4,0,1,4,100.0
TM Dilshan,0,1,0,0,0,0,0,1,0,1,1,100.0
DP Nannes,4,1,0,0,0,0,0,5,0,1,1,20.0
A Nehra,2,1,1,0,0,0,0,4,1,1,3,75.0
