,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
STR Binny,1,2,0,0,0,0,0,3,0,1,2,66.67
KW Richardson,5,0,0,0,0,0,0,5,1,1,0,0.0
JP Faulkner,5,1,0,0,1,0,0,7,0,2,5,71.43
P Kumar,25,6,1,0,1,0,2,35,1,5,24,68.57
Azhar Mahmood,1,3,0,0,0,0,1,5,0,1,9,180.0
PP Chawla,12,10,1,0,0,0,0,23,2,3,12,52.17
BA Bhatt,2,5,0,0,1,0,0,8,0,2,9,112.5
Harmeet Singh,9,8,1,0,2,0,1,21,0,3,24,114.29
AP Dole,2,2,0,0,2,0,0,6,0,1,10,166.67
SR Watson,12,2,2,0,4,0,0,20,1,3,22,110.0
YK Pathan,2,0,0,0,0,0,0,2,0,1,0,0.0
DP Nannes,14,4,0,0,3,0,1,22,0,2,22,100.0
MM Sharma,8,5,1,1,3,0,0,18,0,2,22,122.22
CH Morris,1,0,0,0,4,0,0,5,0,1,16,320.0
RA Jadeja,5,4,1,0,1,0,0,11,1,2,10,90.91
R Ashwin,8,10,2,0,3,0,4,27,0,3,50,185.19
DJ Bravo,4,6,2,0,4,0,2,18,0,2,38,211.11
JA Morkel,7,6,2,0,5,0,0,20,1,2,30,150.0
TG Southee,1,2,0,0,0,0,0,3,0,1,2,66.67
S Randiv,3,4,0,0,1,0,0,8,0,1,8,100.0
SB Jakati,6,7,1,0,2,0,0,16,1,2,17,106.25
WPUJC Vaas,3,0,0,0,0,0,0,3,0,1,0,0.0
RP Singh,6,2,0,0,0,0,0,8,0,2,2,25.0
AL Menaria,5,2,0,0,0,0,0,7,1,2,2,28.57
MM Patel,2,1,0,0,3,0,1,7,0,2,19,271.43
PP Ojha,3,2,0,0,1,0,0,6,2,3,6,100.0
AD Mascarenhas,1,2,2,0,1,0,1,7,0,2,16,228.57
AA Chavan,10,6,1,0,2,0,1,20,1,2,22,110.0
GB Hogg,6,4,2,0,0,0,0,12,0,2,8,66.67
Z Khan,1,2,0,0,1,0,0,4,0,1,6,150.0
R McLaren,0,1,1,0,0,0,0,2,0,1,3,150.0
SL Malinga,6,3,2,0,1,0,0,12,1,3,11,91.67
DL Vettori,4,5,2,0,1,0,1,13,0,1,19,146.15
V Kohli,3,4,1,0,3,0,1,12,0,2,24,200.0
M Muralitharan,2,2,0,0,0,0,0,4,1,1,2,50.0
HV Patel,1,1,2,0,0,0,1,5,0,1,11,220.0
R Vinay Kumar,3,9,1,0,2,0,1,16,0,4,25,156.25
DW Steyn,29,9,0,1,6,0,0,45,0,6,36,80.0
GH Vihari,1,0,0,0,2,0,0,3,0,1,8,266.67
I Sharma,5,4,0,0,3,0,0,12,0,2,16,133.33
NLTC Perera,2,1,0,0,3,0,0,6,1,2,13,216.67
A Mishra,8,3,0,0,0,0,0,11,2,3,3,27.27
KV Sharma,1,1,0,0,0,0,0,2,1,1,1,50.0
JH Kallis,12,4,1,0,3,0,2,22,1,2,30,136.36
A Kumble,6,8,2,0,0,0,1,17,1,2,18,105.88
A Singh,1,1,0,0,1,0,0,3,0,1,5,166.67
SK Trivedi,2,3,1,0,1,0,0,7,0,2,9,128.57
J Botha,1,2,0,0,0,0,0,3,0,1,2,66.67
B Kumar,4,2,0,0,1,0,0,7,1,2,6,85.71
WD Parnell,7,2,0,0,1,0,0,10,1,2,6,60.0
MG Johnson,8,1,0,0,1,0,0,10,0,1,5,50.0
Anand Rajan,5,1,0,0,1,0,0,7,0,1,5,71.43
V Pratap Singh,0,1,0,0,1,0,0,2,0,1,5,250.0
IK Pathan,10,0,0,0,1,0,0,11,0,2,4,36.36
A Nehra,6,2,0,0,1,0,0,9,2,2,6,66.67
MC Henriques,5,1,0,0,0,0,0,6,1,1,1,16.67
S Sreesanth,1,0,0,0,0,0,0,1,0,1,0,0.0
SW Tait,10,3,0,0,0,0,0,13,0,2,3,23.08
R Shukla,1,0,0,0,0,0,0,1,1,1,0,0.0
DT Christian,2,1,0,0,1,0,0,4,0,1,5,125.0
SE Bond,5,5,0,0,1,0,0,11,0,2,9,81.82
JD Unadkat,1,2,0,0,1,0,0,4,0,1,6,150.0
M Kartik,1,1,0,0,1,0,0,3,1,1,5,166.67
BW Hilfenhaus,4,4,0,0,1,0,0,9,0,1,8,88.89
IC Pandey,4,0,0,0,2,0,0,6,0,1,8,133.33
R Rampaul,2,0,0,0,0,0,0,2,1,1,0,0.0
MJ McClenaghan,5,0,0,0,2,0,0,7,0,1,8,114.29
Harbhajan Singh,4,0,0,0,1,0,1,6,1,1,10,166.67
SK Warne,8,5,2,0,1,0,1,17,2,2,19,111.76
MF Maharoof,1,0,1,0,0,0,0,2,0,1,2,100.0
K Upadhyay,0,1,0,0,0,0,0,1,0,1,1,100.0
Parvez Rasool,1,0,0,0,0,0,0,1,0,1,0,0.0
AB Dinda,8,0,0,0,2,0,0,10,0,1,8,80.0
CH Gayle,5,2,0,1,1,0,0,9,0,1,9,100.0
AB Agarkar,2,1,1,0,0,0,0,4,1,1,3,75.0
UT Yadav,3,0,0,0,0,0,0,3,1,1,0,0.0
