,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KV Sharma,15,9,0,0,1,0,4,29,0,7,37,127.59
JJ Bumrah,10,12,3,0,1,0,2,28,3,6,34,121.43
KH Pandya,3,5,0,0,1,0,0,9,0,2,9,100.0
MJ McClenaghan,12,11,0,0,2,0,2,27,0,6,31,114.81
B Akhil,3,1,1,0,0,0,0,5,0,1,3,60.0
JH Kallis,12,20,1,1,4,0,1,39,1,10,47,120.51
DW Steyn,21,13,9,0,9,0,6,58,2,7,103,177.59
P Kumar,12,10,2,0,5,0,2,31,1,9,46,148.39
Z Khan,16,10,7,0,5,0,5,43,7,11,74,172.09
DP Nannes,3,0,0,0,0,0,0,3,2,2,0,0.0
CJ Anderson,1,4,1,0,1,0,0,7,0,3,10,142.86
PJ Cummins,1,2,1,0,0,0,0,4,0,3,4,100.0
AD Russell,7,4,0,0,1,0,1,13,1,3,14,107.69
PP Chawla,13,18,7,0,4,0,4,46,1,10,72,156.52
Shakib Al Hasan,2,2,0,0,0,0,0,4,0,2,2,50.0
R Vinay Kumar,7,15,3,0,0,0,2,27,1,9,33,122.22
SP Narine,22,18,1,0,0,0,0,41,0,9,20,48.78
HV Patel,13,9,2,0,2,0,0,26,2,4,21,80.77
KW Richardson,2,2,1,0,0,0,0,5,0,2,4,80.0
SR Watson,18,11,4,0,3,0,2,38,3,8,43,113.16
T Shamsi,1,6,2,0,2,0,0,11,0,1,18,163.64
STR Binny,4,6,2,0,1,0,0,13,0,4,14,107.69
Iqbal Abdulla,9,18,1,0,2,0,1,31,0,5,34,109.68
JDS Neesham,0,0,1,0,0,0,0,1,0,1,2,200.0
S Nadeem,7,14,1,0,0,0,1,23,0,5,22,95.65
JD Unadkat,2,2,3,0,3,0,2,12,1,3,32,266.67
Mohammed Shami,1,3,2,0,1,0,2,9,0,2,23,255.56
DJ Bravo,8,13,3,0,6,0,2,32,0,7,55,171.88
RA Jadeja,16,4,2,0,1,0,3,26,2,6,30,115.38
S Kaushik,1,2,0,0,0,0,0,3,0,1,2,66.67
J Syed Mohammad,2,3,1,0,0,0,0,6,0,2,5,83.33
DL Vettori,12,13,1,0,2,0,0,28,1,6,23,82.14
CH Gayle,7,10,3,0,1,0,4,25,0,3,44,176.0
S Aravind,3,8,1,0,0,0,2,14,1,5,22,157.14
Parvez Rasool,3,4,1,0,0,0,0,8,0,1,6,75.0
IK Pathan,6,24,2,0,4,0,6,42,0,9,80,190.48
DJG Sammy,4,2,1,0,2,0,0,9,0,2,12,133.33
B Kumar,11,16,6,1,5,0,5,44,0,7,81,184.09
LJ Wright,0,0,0,0,1,0,1,2,0,1,10,500.0
AB Dinda,7,9,2,0,4,0,2,24,2,4,41,170.83
SL Malinga,20,25,6,0,5,0,3,59,2,14,75,127.12
AN Ahmed,1,1,2,0,2,0,0,6,1,2,13,216.67
KA Pollard,19,20,2,0,10,0,6,57,3,10,100,175.44
DJ Hussey,1,3,0,0,0,0,1,5,0,2,9,180.0
BAW Mendis,4,4,1,0,1,0,0,10,0,1,10,100.0
M Kartik,11,17,5,1,1,0,2,37,0,7,46,124.32
AB Agarkar,11,12,2,0,6,0,1,32,0,4,46,143.75
Gurkeerat Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
AR Patel,17,10,3,1,2,0,6,39,0,4,63,161.54
R Dhawan,3,3,0,0,0,0,0,6,0,2,3,50.0
MM Sharma,3,3,1,0,2,0,0,9,1,2,13,144.44
Sandeep Sharma,5,6,0,0,1,0,1,13,0,4,16,123.08
R Sharma,6,10,0,1,2,0,0,19,1,4,21,110.53
MR Marsh,0,4,0,0,0,0,0,4,0,1,4,100.0
MP Stoinis,5,3,0,0,0,0,0,8,0,1,3,37.5
Swapnil Singh,3,2,0,0,0,0,0,5,1,1,2,40.0
A Nehra,7,16,7,0,7,0,3,40,1,8,76,190.0
