,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SMSM Senanayake,1,1,0,0,2,0,0,4,0,1,9,225.0
SP Narine,1,3,0,0,1,0,2,7,0,1,19,271.43
L Balaji,3,0,2,0,1,0,1,7,0,1,14,200.0
JH Kallis,3,0,0,0,0,0,0,3,1,2,0,0.0
DJ Bravo,1,0,0,0,0,0,0,1,0,1,0,0.0
DL Vettori,1,0,0,0,0,0,1,2,0,1,6,300.0
MM Patel,1,0,0,0,0,0,0,1,0,1,0,0.0
SR Watson,1,0,0,0,0,0,0,1,0,1,0,0.0
Sohail Tanvir,3,3,0,0,0,0,0,6,0,2,3,50.0
RP Singh,2,0,0,0,0,0,0,2,0,1,0,0.0
SB Bangar,0,1,1,0,0,0,2,4,0,1,15,375.0
R McLaren,1,0,0,0,0,0,0,1,1,1,0,0.0
P Kumar,2,0,0,0,1,0,0,3,1,1,4,133.33
Harbhajan Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
RA Jadeja,3,1,0,0,0,0,0,4,1,1,1,25.0
SB Jakati,1,3,0,0,0,0,0,4,0,1,3,75.0
WA Mota,1,1,0,0,0,0,0,2,0,1,1,50.0
PP Chawla,4,1,0,0,0,0,1,6,1,2,7,116.67
J Theron,3,1,0,0,0,0,0,4,1,1,1,25.0
NLTC Perera,1,0,0,0,0,0,0,1,0,1,0,0.0
VY Mahesh,0,2,0,0,0,0,0,2,0,1,2,100.0
Shoaib Malik,1,1,0,0,1,0,1,4,0,1,11,275.0
KK Cooper,0,1,0,0,0,0,0,1,0,1,1,100.0
JP Faulkner,2,0,1,0,0,0,0,3,1,1,2,66.67
