,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
PP Chawla,3,5,0,0,1,0,0,9,0,2,9,100.0
Yuvraj Singh,3,2,0,0,0,0,0,5,1,2,2,40.0
M Muralitharan,4,1,0,0,0,0,0,5,1,2,1,20.0
L Balaji,2,4,0,0,1,0,0,7,0,3,8,114.29
JA Morkel,5,2,0,0,3,0,0,10,1,2,14,140.0
R Ashwin,0,4,0,0,0,0,1,5,0,1,10,200.0
SM Pollock,2,5,0,1,2,0,0,10,0,2,16,160.0
A Nehra,9,3,2,0,4,0,1,19,0,3,29,152.63
CRD Fernando,2,0,0,0,0,0,0,2,1,1,0,0.0
A Symonds,0,1,0,0,0,0,0,1,0,1,1,100.0
Harmeet Singh,4,0,0,0,1,0,0,5,1,1,4,80.0
CK Langeveldt,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,1,6,1,0,2,0,0,10,0,2,16,160.0
ST Jayasuriya,1,2,0,0,0,0,1,4,0,1,8,200.0
DS Kulkarni,1,2,3,0,0,0,0,6,0,2,8,133.33
JR Hopes,4,2,0,0,2,0,1,9,0,1,16,177.78
IK Pathan,2,5,0,0,1,0,0,8,0,1,9,112.5
VRV Singh,1,3,0,0,0,0,0,4,0,1,3,75.0
S Sreesanth,0,2,0,0,0,0,0,2,0,1,2,100.0
PJ Sangwan,6,4,0,0,0,0,2,12,2,2,16,133.33
A Mishra,1,2,0,0,0,0,0,3,0,1,2,66.67
DL Vettori,3,8,2,0,1,0,0,14,0,3,16,114.29
DP Nannes,4,2,1,0,1,0,0,8,0,1,8,100.0
BAW Mendis,2,0,0,0,0,0,0,2,0,1,0,0.0
AB Agarkar,4,2,1,0,1,0,0,8,0,2,8,100.0
I Sharma,4,7,3,0,1,0,1,16,0,3,23,143.75
AD Mathews,1,0,0,0,0,0,0,1,0,1,0,0.0
Shahid Afridi,0,4,0,0,0,0,0,4,0,1,4,100.0
PP Ojha,1,2,0,0,1,0,0,4,0,1,6,150.0
SB Styris,2,2,0,0,0,0,0,4,0,1,2,50.0
RP Singh,2,1,2,0,1,0,0,6,2,2,9,150.0
Joginder Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
P Amarnath,0,1,0,0,0,0,0,1,0,1,1,100.0
MS Gony,1,0,1,0,0,0,0,2,1,1,2,100.0
AB Dinda,3,3,0,0,1,0,0,7,0,2,7,100.0
SC Ganguly,9,4,1,0,0,0,0,14,1,2,6,42.86
Umar Gul,1,3,0,0,0,0,0,4,0,1,3,75.0
M Kartik,2,2,1,0,3,0,1,9,0,1,22,244.44
LR Shukla,0,2,0,0,0,0,0,2,0,1,2,100.0
BJ Hodge,0,3,1,0,0,0,1,5,0,1,11,220.0
CH Gayle,1,1,2,0,2,0,0,6,0,1,13,216.67
AB McDonald,0,1,0,0,0,0,0,1,0,1,1,100.0
RA Jadeja,2,3,0,0,0,0,0,5,1,1,3,60.0
SK Warne,5,1,1,0,0,0,0,7,1,2,3,42.86
GD McGrath,1,0,0,0,1,0,0,2,0,1,4,200.0
VY Mahesh,2,1,1,0,0,0,0,4,0,1,3,75.0
Mohammad Asif,1,1,1,0,0,0,0,3,0,1,3,100.0
V Sehwag,0,2,0,0,1,0,2,5,0,1,18,360.0
C Nanda,2,3,1,0,0,0,1,7,0,1,11,157.14
SL Malinga,4,4,2,0,1,0,1,12,0,1,18,150.0
DJ Bravo,3,3,2,0,0,0,0,8,0,1,7,87.5
MM Patel,1,2,0,0,0,0,0,3,0,1,2,66.67
SK Trivedi,0,1,0,0,0,0,0,1,0,1,1,100.0
Sohail Tanvir,1,1,0,0,0,0,0,2,0,1,1,50.0
