,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Chandila,7,1,0,0,0,0,0,8,1,2,1,12.5
S Sreesanth,3,2,0,0,0,0,0,5,1,2,2,40.0
NM Coulter-Nile,0,2,0,0,0,0,0,2,0,2,2,100.0
UT Yadav,6,3,0,0,3,0,0,12,2,4,15,125.0
AA Jhunjhunwala,3,3,1,0,2,0,0,9,0,2,13,144.44
V Pratap Singh,7,3,2,0,4,0,2,18,0,1,35,194.44
J Theron,3,1,1,0,0,0,0,5,0,1,3,60.0
S Dhawan,2,2,0,0,0,0,0,4,0,1,2,50.0
A Ashish Reddy,3,3,0,0,0,0,1,7,1,1,9,128.57
A Mishra,8,2,2,0,2,0,0,14,2,3,14,100.0
DJ Harris,0,0,0,0,1,0,0,1,0,1,4,400.0
RS Bopara,1,0,0,0,0,0,0,1,1,1,0,0.0
Sandeep Sharma,11,4,1,0,1,0,0,17,0,3,10,58.82
R Dhawan,4,1,3,0,0,0,0,8,1,2,7,87.5
AR Patel,8,10,1,0,1,0,0,20,1,3,16,80.0
BE Hendricks,1,2,0,0,0,0,0,3,0,1,2,66.67
BAW Mendis,3,5,1,0,2,0,0,11,0,1,15,136.36
B Kumar,8,7,4,0,4,0,0,23,0,4,31,134.78
AB Dinda,5,7,2,0,3,0,0,17,0,3,23,135.29
R Sharma,11,11,3,0,3,0,0,28,2,5,29,103.57
Yuvraj Singh,3,3,0,0,0,0,0,6,0,1,3,50.0
LJ Wright,0,5,1,0,0,0,0,6,0,1,7,116.67
DP Nannes,5,2,1,0,1,0,0,9,1,2,8,88.89
DW Steyn,3,2,0,0,0,0,0,5,1,3,2,40.0
TP Sudhindra,3,2,0,0,2,0,0,7,0,1,10,142.86
DT Christian,5,3,0,1,3,0,0,12,0,2,18,150.0
MS Gony,1,0,0,0,0,0,0,1,1,1,0,0.0
JH Kallis,10,7,0,0,2,0,0,19,2,4,15,78.95
SP Narine,9,7,2,0,3,0,0,21,1,4,23,109.52
L Balaji,8,4,2,0,6,0,0,20,1,3,32,160.0
YK Pathan,5,2,0,0,1,0,1,9,1,3,12,133.33
IK Pathan,7,1,0,0,5,0,0,13,1,3,21,161.54
M Morkel,6,2,0,0,4,0,0,12,1,3,18,150.0
VR Aaron,11,5,1,0,3,0,0,20,2,4,19,95.0
SMSM Senanayake,5,6,0,0,1,0,0,12,0,2,10,83.33
R Bhatia,2,5,3,0,1,0,0,11,0,2,15,136.36
JA Morkel,8,9,2,0,5,0,0,24,1,4,33,137.5
MM Sharma,16,9,1,0,2,0,1,29,2,5,25,86.21
A Nehra,4,3,1,0,6,0,0,14,0,3,29,207.14
Rashid Khan,3,0,0,0,1,0,0,4,1,1,4,100.0
CR Woakes,3,1,1,0,1,0,1,7,0,1,13,185.71
AS Rajpoot,3,8,0,0,0,0,0,11,0,2,8,72.73
PP Chawla,1,7,1,0,2,0,0,11,0,2,17,154.55
C de Grandhomme,2,4,1,0,1,0,0,8,0,1,10,125.0
T Natarajan,2,2,0,0,3,0,2,9,0,2,26,288.89
GJ Maxwell,1,0,0,0,0,0,0,1,1,1,0,0.0
AA Chavan,3,6,1,0,2,0,1,13,1,2,22,169.23
SR Watson,5,4,0,0,0,0,0,9,1,2,4,44.44
SK Trivedi,4,3,0,0,1,0,0,8,0,1,7,87.5
J Botha,3,2,1,0,2,0,0,8,0,2,12,150.0
KK Cooper,1,1,0,0,0,0,0,2,0,1,1,50.0
JD Unadkat,3,4,1,0,1,0,1,10,0,2,16,160.0
SN Thakur,1,0,0,0,0,0,0,1,1,1,0,0.0
BW Hilfenhaus,6,3,0,0,2,0,0,11,0,2,11,100.0
R Ashwin,12,9,2,0,1,0,1,25,1,3,23,92.0
Z Khan,8,1,2,1,3,0,1,16,0,2,26,162.5
R Vinay Kumar,5,7,3,0,4,0,0,19,2,4,29,152.63
AB McDonald,1,4,0,0,1,0,0,6,0,1,8,133.33
DL Vettori,1,4,1,0,0,0,0,6,0,2,6,100.0
KP Appanna,1,0,0,0,0,0,0,1,1,1,0,0.0
GB Hogg,1,2,0,0,0,0,1,4,0,1,8,200.0
AD Russell,0,2,1,0,0,0,2,5,0,1,16,320.0
RJ Peterson,1,1,0,0,0,0,0,2,0,1,1,50.0
RP Singh,7,5,0,0,1,0,0,13,1,3,9,69.23
CJ McKay,2,0,1,0,3,0,0,6,0,1,14,233.33
MM Patel,2,2,0,0,3,0,0,7,0,2,14,200.0
GH Vihari,3,1,0,0,0,0,0,4,0,1,1,25.0
I Sharma,3,0,2,0,1,0,0,6,1,1,8,133.33
R Rampaul,3,2,0,0,1,0,0,6,0,1,6,100.0
MC Henriques,1,1,0,0,1,0,0,3,0,2,5,166.67
SJ Srivastava,3,0,0,0,0,0,0,3,1,1,0,0.0
B Lee,3,0,0,0,1,0,0,4,0,1,4,100.0
KV Sharma,1,1,0,0,0,0,0,2,1,2,1,50.0
P Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
RA Jadeja,2,9,2,0,0,0,0,13,0,3,13,100.0
Ankit Soni,2,1,0,0,0,0,0,3,0,1,1,33.33
AJ Tye,1,3,0,0,0,0,0,4,1,1,3,75.0
JP Faulkner,4,4,0,0,5,0,1,14,0,2,30,214.29
MG Johnson,3,1,0,0,1,0,0,5,0,1,5,100.0
SL Malinga,6,2,0,0,2,0,0,10,1,3,10,100.0
PP Ojha,1,5,0,0,0,0,0,6,0,2,5,83.33
KA Pollard,1,2,0,0,0,0,0,3,1,1,2,66.67
Harbhajan Singh,2,1,1,0,0,0,0,4,0,1,3,75.0
DS Kulkarni,5,2,0,0,1,0,2,10,0,2,18,180.0
