,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R Bhatia,2,3,1,0,1,0,3,10,0,1,27,270.0
VY Mahesh,1,2,0,0,0,0,0,3,0,1,2,66.67
MF Maharoof,2,4,0,0,0,0,0,6,0,1,4,66.67
PJ Sangwan,1,1,1,0,1,0,1,5,0,1,13,260.0
GD McGrath,0,1,0,0,0,0,0,1,0,1,1,100.0
M Muralitharan,1,1,1,0,0,0,0,3,0,1,3,100.0
L Balaji,2,1,0,0,0,0,0,3,1,1,1,33.33
IK Pathan,0,2,0,0,0,0,0,2,0,2,2,100.0
PP Chawla,4,0,0,0,0,0,0,4,1,1,0,0.0
Gagandeep Singh,0,1,1,0,1,0,0,3,0,1,7,233.33
CRD Fernando,1,0,0,0,0,0,0,1,1,1,0,0.0
S Sreesanth,1,2,0,0,3,0,1,7,1,1,20,285.71
MM Patel,1,0,0,0,0,0,0,1,1,1,0,0.0
PP Ojha,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,2,3,0,0,1,0,0,6,0,2,7,116.67
Shahid Afridi,1,0,0,0,0,0,0,1,1,1,0,0.0
SB Bangar,5,3,1,0,0,0,0,9,0,1,5,55.56
DP Vijaykumar,6,3,0,0,1,0,0,10,0,1,7,70.0
Y Venugopal Rao,0,1,1,0,2,0,1,5,0,1,17,340.0
DB Ravi Teja,1,0,0,0,0,0,0,1,1,1,0,0.0
