,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
P Amarnath,7,3,0,0,1,0,0,11,1,1,7,63.64
M Muralitharan,3,4,0,0,0,0,0,7,0,1,4,57.14
Joginder Sharma,0,4,0,0,0,0,0,4,0,1,4,100.0
JDP Oram,1,1,0,0,0,0,0,2,0,1,1,50.0
A Symonds,2,1,0,0,0,0,1,4,0,1,7,175.0
PP Ojha,3,1,0,0,0,0,0,4,1,1,1,25.0
RP Singh,3,1,0,0,1,0,0,5,0,1,5,100.0
M Ntini,3,1,0,0,1,0,0,5,1,1,5,100.0
MS Gony,0,1,0,0,0,0,0,1,0,1,1,100.0
Sohail Tanvir,3,0,0,0,1,0,0,4,0,1,4,100.0
MM Patel,4,0,0,0,0,0,0,4,1,1,0,0.0
AA Noffke,1,1,0,0,0,0,0,2,0,1,1,50.0
JH Kallis,0,0,0,0,1,0,0,1,0,1,4,400.0
S Sreesanth,1,3,0,0,1,0,0,5,0,1,7,140.0
IK Pathan,6,0,0,0,0,0,1,7,1,1,6,85.71
SM Pollock,5,3,0,0,0,0,0,8,1,2,3,37.5
DJ Bravo,6,0,0,0,1,0,0,7,0,1,4,57.14
ST Jayasuriya,3,0,0,0,0,0,0,3,1,1,0,0.0
