,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AR Patel,2,1,0,0,0,0,0,3,1,2,1,33.33
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,3,0,0,0,0,0,0,3,1,1,0,0.0
Sandeep Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
VR Aaron,2,1,0,0,0,0,0,3,1,1,1,33.33
SM Boland,1,2,0,0,0,0,0,3,0,1,2,66.67
HV Patel,0,0,0,0,2,0,0,2,0,1,8,400.0
P Negi,2,1,0,0,0,0,0,3,1,1,1,33.33
Avesh Khan,0,2,0,0,1,0,1,4,0,1,12,300.0
JP Faulkner,1,0,0,0,1,0,0,2,0,1,4,200.0
MA Starc,0,1,0,0,0,0,0,1,0,1,1,100.0
CR Woakes,1,0,0,0,0,0,0,1,0,1,0,0.0
S Sreesanth,2,0,0,0,0,0,0,2,0,1,0,0.0
KK Cooper,4,2,0,0,0,0,0,6,1,1,2,33.33
SW Tait,0,1,1,0,0,0,0,2,0,1,3,150.0
AD Russell,1,0,0,0,0,0,0,1,0,1,0,0.0
KV Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,2,0,0,0,0,0,1,3,1,1,6,200.0
JD Unadkat,3,0,1,0,0,0,0,4,1,1,2,50.0
