,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MP Stoinis,4,5,0,0,0,0,1,10,1,2,11,110.0
AR Patel,8,5,0,0,0,0,1,14,1,3,11,78.57
Swapnil Singh,1,4,1,0,0,0,2,8,0,1,18,225.0
I Sharma,4,5,0,0,1,0,2,12,0,2,21,175.0
Sandeep Sharma,6,2,0,0,0,0,0,8,0,2,2,25.0
MM Sharma,7,2,1,0,1,0,2,13,0,3,20,153.85
Imran Tahir,0,2,1,0,0,0,0,3,0,1,4,133.33
BA Stokes,7,3,0,0,0,0,1,11,0,2,9,81.82
A Zampa,4,3,1,0,1,0,1,10,1,1,15,150.0
R Bhatia,3,6,0,0,0,0,0,9,0,1,6,66.67
Mohammad Nabi,6,1,0,0,0,0,0,7,0,1,1,14.29
Mohammed Siraj,2,0,0,0,2,0,0,4,0,1,8,200.0
S Kaul,1,0,0,0,0,0,0,1,1,1,0,0.0
S Badree,6,2,0,0,0,0,0,8,1,1,2,25.0
S Aravind,1,2,0,0,1,0,0,4,0,2,6,150.0
TS Mills,1,2,0,0,1,0,0,4,0,1,6,150.0
YS Chahal,7,4,1,0,2,0,0,14,1,3,14,100.0
SK Raina,3,5,0,0,0,0,1,9,0,1,11,122.22
AJ Tye,4,2,1,0,0,0,1,8,1,2,10,125.0
Ankit Soni,3,2,0,0,1,0,0,6,1,1,6,100.0
GJ Maxwell,0,2,0,0,0,0,0,2,0,1,2,100.0
R Tewatia,0,1,0,0,0,0,0,1,0,1,1,100.0
VR Aaron,6,0,0,0,0,0,1,7,0,1,6,85.71
A Choudhary,3,2,0,0,1,0,0,6,0,1,6,100.0
AF Milne,1,1,1,0,0,0,0,3,0,1,3,100.0
SR Watson,3,3,0,0,0,0,0,6,0,1,3,50.0
P Negi,3,1,0,0,0,0,0,4,1,1,1,25.0
DS Kulkarni,0,1,1,0,1,0,1,4,0,1,13,325.0
DR Smith,3,5,0,0,1,0,1,10,0,1,15,150.0
SB Jakati,3,4,0,0,3,0,1,11,0,1,22,200.0
DJ Bravo,4,4,0,0,2,0,0,10,1,1,12,120.0
RA Jadeja,0,6,1,1,1,0,1,10,0,2,21,210.0
Rashid Khan,3,4,1,0,0,0,0,8,0,1,6,75.0
Mustafizur Rahman,3,3,0,0,0,0,1,7,0,1,9,128.57
DJ Hooda,1,5,0,0,1,0,1,8,0,1,15,187.5
BCJ Cutting,3,2,0,0,0,0,0,5,0,1,2,40.0
A Nehra,1,2,0,0,1,0,0,4,0,1,6,150.0
B Kumar,1,3,0,0,1,0,0,5,1,1,7,140.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
CH Morris,1,0,0,0,0,0,0,1,0,1,0,0.0
A Mishra,2,1,1,0,1,0,0,5,0,1,7,140.0
PJ Cummins,2,0,0,0,0,0,0,2,1,1,0,0.0
Kuldeep Yadav,2,3,0,0,2,0,1,8,0,1,17,212.5
AS Rajpoot,5,1,0,0,1,0,1,8,1,1,11,137.5
SP Narine,1,3,0,0,0,0,0,4,0,1,3,75.0
CR Woakes,1,4,0,0,1,0,0,6,0,1,8,133.33
TA Boult,1,1,0,0,1,0,1,4,0,1,11,275.0
KC Cariappa,6,1,0,0,0,0,2,9,0,1,13,144.44
SN Thakur,0,1,0,0,0,0,0,1,0,1,1,100.0
Washington Sundar,1,2,0,0,0,0,0,3,0,1,2,66.67
DT Christian,1,0,0,0,0,0,0,1,1,1,0,0.0
P Kumar,7,2,2,0,1,0,0,12,0,1,10,83.33
Basil Thampi,3,4,0,0,1,0,1,9,0,1,14,155.56
MM Patel,2,4,0,0,1,0,0,7,0,1,8,114.29
