,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Dhawan,0,1,0,0,0,0,0,1,0,1,1,100.0
A Ashish Reddy,2,1,0,0,0,0,0,3,1,1,1,33.33
DW Steyn,4,1,0,0,0,0,0,5,0,1,1,20.0
TP Sudhindra,2,2,0,0,0,0,0,4,0,1,2,50.0
DT Christian,2,0,0,0,0,0,0,2,1,1,0,0.0
VR Aaron,4,2,0,1,1,0,0,8,0,1,9,112.5
P Negi,2,2,0,0,1,0,0,5,0,1,6,120.0
UT Yadav,2,0,0,0,0,0,0,2,1,1,0,0.0
SR Watson,4,0,0,0,0,0,0,4,0,1,0,0.0
SW Tait,2,1,0,0,0,0,0,3,1,1,1,33.33
J Botha,2,1,0,0,0,0,0,3,0,1,1,33.33
JA Morkel,1,0,0,0,0,0,0,1,0,1,0,0.0
R Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,3,0,0,0,1,0,0,4,1,2,4,100.0
AB McDonald,4,4,1,0,2,0,0,11,1,1,14,127.27
R Vinay Kumar,1,1,1,0,1,0,0,4,0,2,7,175.0
DL Vettori,0,5,4,0,1,0,0,10,0,1,17,170.0
KP Appanna,2,4,2,0,1,0,0,9,0,1,12,133.33
Z Khan,5,3,3,0,1,0,0,12,1,2,13,108.33
AUK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
RJ Peterson,2,2,0,0,0,0,0,4,0,1,2,50.0
RP Singh,9,5,0,0,3,0,0,17,0,2,17,100.0
MM Patel,6,2,2,0,2,0,0,12,0,2,14,116.67
CJ McKay,2,1,0,0,0,0,0,3,1,1,1,33.33
PP Ojha,2,2,1,0,1,0,0,6,1,1,8,133.33
KA Pollard,3,1,0,0,1,0,0,5,0,1,5,100.0
KMDN Kulasekara,1,0,1,0,0,0,0,2,1,1,2,100.0
