,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Chandila,3,0,0,0,1,0,0,4,1,1,4,100.0
B Kumar,3,4,1,0,0,0,1,9,0,3,12,133.33
A Nehra,4,1,0,0,0,0,0,5,1,2,1,20.0
T Shamsi,1,0,0,0,0,0,1,2,0,1,6,300.0
HV Patel,0,2,0,0,3,0,1,6,0,1,20,333.33
SR Watson,6,1,1,0,0,0,1,9,2,3,9,100.0
DJ Bravo,1,2,1,0,0,0,1,5,1,2,10,200.0
R Dhawan,0,2,0,0,0,0,0,2,0,1,2,100.0
AR Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
KJ Abbott,2,0,1,0,2,0,1,6,0,1,16,266.67
MM Sharma,2,5,0,0,1,0,0,8,1,3,9,112.5
Sandeep Sharma,1,2,0,0,0,0,0,3,1,2,2,66.67
SP Narine,8,8,5,0,2,0,1,24,0,4,32,133.33
Iqbal Abdulla,3,1,0,0,0,0,0,4,0,1,1,25.0
Mohammed Shami,1,3,0,0,0,0,0,4,1,2,3,75.0
SK Warne,2,0,0,0,0,0,0,2,0,1,0,0.0
SK Trivedi,1,1,0,0,0,0,0,2,1,1,1,50.0
Imran Tahir,1,1,0,0,0,0,2,4,0,1,13,325.0
JP Faulkner,3,3,4,0,1,0,0,11,0,2,15,136.36
KK Cooper,3,5,1,0,0,0,1,10,0,2,13,130.0
M Kartik,3,2,0,0,0,0,1,6,0,1,8,133.33
JD Unadkat,4,5,0,0,1,0,1,11,1,2,15,136.36
M Muralitharan,5,3,0,0,0,0,0,8,0,2,3,37.5
MC Henriques,0,1,0,0,0,0,1,2,0,1,7,350.0
R Vinay Kumar,0,4,1,0,0,0,1,6,0,2,12,200.0
RP Singh,4,0,0,0,1,0,0,5,1,1,4,80.0
R Sharma,2,2,0,0,2,0,0,6,0,2,10,166.67
MR Marsh,1,1,0,0,0,0,0,2,1,1,1,50.0
R Ashwin,1,4,0,0,0,0,0,5,0,1,4,80.0
CH Morris,1,1,0,0,1,0,1,4,0,1,11,275.0
JJ Bumrah,1,2,0,0,0,0,1,4,0,1,8,200.0
MJ McClenaghan,3,2,1,0,0,0,0,6,0,1,4,66.67
M Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,1,1,0,0,0,0,0,2,0,2,1,50.0
IK Pathan,1,0,0,0,0,0,0,1,1,1,0,0.0
PP Chawla,5,3,3,0,0,0,1,12,1,3,15,125.0
AD Russell,3,1,0,0,0,0,1,5,1,1,7,140.0
DW Steyn,4,1,0,0,2,0,0,7,0,1,9,128.57
I Sharma,3,1,0,0,1,0,0,5,0,1,5,100.0
DT Christian,4,0,1,0,0,0,0,5,0,1,2,40.0
MS Gony,4,4,0,0,1,0,0,9,1,2,8,88.89
A Mishra,2,1,0,0,0,0,0,3,0,1,1,33.33
Azhar Mahmood,3,2,0,0,0,0,3,8,0,1,20,250.0
BB Sran,0,2,0,0,0,0,0,2,0,1,2,100.0
Mustafizur Rahman,1,4,1,0,0,0,0,6,0,1,6,100.0
R Sathish,2,2,0,0,0,0,1,5,1,1,8,160.0
P Kumar,2,3,1,0,2,0,1,9,0,2,19,211.11
P Awana,5,5,0,0,0,0,1,11,0,2,11,100.0
R Bhatia,0,2,0,0,0,0,0,2,0,1,2,100.0
L Balaji,1,5,0,1,0,0,0,7,0,1,8,114.29
SMSM Senanayake,1,1,0,0,0,0,0,2,0,1,1,50.0
JH Kallis,1,1,0,0,0,0,0,2,1,1,1,50.0
MN Samuels,1,2,2,0,1,0,1,7,0,1,16,228.57
AB Dinda,2,1,0,0,0,0,0,3,1,1,1,33.33
SL Malinga,0,1,0,0,0,0,0,1,0,1,1,100.0
DS Kulkarni,3,1,0,0,0,0,0,4,0,1,1,25.0
Harmeet Singh,1,1,1,0,0,0,0,3,0,1,3,100.0
GJ Maxwell,2,2,0,0,0,0,0,4,0,1,2,50.0
YS Chahal,0,1,0,0,1,0,1,3,0,1,11,366.67
CJ Jordan,3,0,1,0,0,0,0,4,1,1,2,50.0
JP Duminy,1,2,0,0,0,0,0,3,0,1,2,66.67
NM Coulter-Nile,3,1,0,0,0,0,0,4,1,1,1,25.0
