,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AB Dinda,1,1,0,0,0,0,0,2,0,1,1,50.0
NLTC Perera,0,1,0,0,0,0,0,1,0,1,1,100.0
PP Chawla,5,2,0,0,0,0,0,7,0,1,2,28.57
GB Hogg,2,0,0,0,1,0,0,3,0,1,4,133.33
JW Hastings,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,1,0,0,0,0,0,0,1,0,1,0,0.0
JD Unadkat,1,0,0,0,0,0,1,2,0,1,6,300.0
BA Stokes,2,0,0,0,0,0,0,2,1,1,0,0.0
R Vinay Kumar,0,1,1,0,0,0,0,2,0,1,3,150.0
DS Kulkarni,3,0,0,0,0,0,1,4,1,1,6,150.0
TS Mills,0,1,0,0,0,0,0,1,0,1,1,100.0
P Negi,2,1,0,0,0,0,0,3,1,1,1,33.33
IC Pandey,1,0,0,0,1,0,0,2,0,1,4,200.0
DJ Bravo,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,1,0,0,0,0,0,0,1,1,1,0,0.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,5,0,0,0,0,0,0,5,0,1,0,0.0
D Wiese,2,0,0,0,1,0,0,3,1,1,4,133.33
Azhar Mahmood,1,1,0,0,0,0,0,2,1,1,1,50.0
Sandeep Sharma,1,2,0,0,0,0,1,4,0,1,8,200.0
MG Johnson,3,0,0,0,0,0,1,4,1,1,6,150.0
