,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,16,8,0,1,3,0,0,28,2,5,23,82.14
SJ Srivastava,7,3,0,0,2,0,3,15,1,3,29,193.33
BJ Hodge,0,1,1,0,0,0,3,5,0,1,21,420.0
AB Dinda,14,6,1,0,3,0,0,24,1,6,20,83.33
CK Langeveldt,3,0,0,0,0,0,0,3,1,1,0,0.0
M Muralitharan,10,13,1,0,0,0,3,27,1,5,33,122.22
YS Chahal,4,2,0,0,0,0,1,7,1,2,8,114.29
MA Starc,2,3,1,0,1,0,0,7,0,2,9,128.57
Yuvraj Singh,4,6,1,0,1,0,0,12,1,3,12,100.0
VR Aaron,7,3,0,0,0,0,2,12,2,2,15,125.0
Z Khan,20,6,3,0,2,0,2,33,2,6,32,96.97
R McLaren,2,2,0,0,2,0,0,6,0,1,10,166.67
SL Malinga,7,8,2,0,2,0,0,19,0,5,20,105.26
AG Murtaza,7,2,0,0,0,0,0,9,2,2,2,22.22
WPUJC Vaas,1,2,0,0,1,0,0,4,0,1,6,150.0
A Symonds,3,3,0,0,1,0,0,7,0,1,7,100.0
PP Ojha,3,1,1,0,0,0,0,5,1,2,3,60.0
RP Singh,24,3,0,1,1,0,0,29,4,6,10,34.48
RG Sharma,3,2,0,0,1,0,1,7,0,1,12,171.43
R Sharma,3,1,0,0,0,0,0,4,0,1,1,25.0
P Kumar,15,10,3,0,3,0,1,32,0,6,34,106.25
JH Kallis,9,8,1,0,1,0,0,19,1,4,14,73.68
D du Preez,2,4,1,0,0,0,0,7,0,1,6,85.71
A Kumble,2,3,1,0,1,0,0,7,0,2,9,128.57
RE van der Merwe,1,1,0,0,0,0,1,3,0,1,7,233.33
R Vinay Kumar,12,8,0,0,2,0,2,24,0,6,28,116.67
Harmeet Singh,4,3,0,0,2,0,0,9,0,2,11,122.22
DT Christian,3,2,1,0,0,0,0,6,1,2,4,66.67
MM Patel,8,3,1,0,1,0,1,14,1,3,15,107.14
Harbhajan Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
KA Pollard,6,6,1,0,0,0,1,14,0,2,14,100.0
JEC Franklin,0,2,0,0,1,0,0,3,0,1,6,200.0
R Bhatia,11,16,0,0,3,0,1,31,3,4,34,109.68
A Nehra,4,1,1,0,0,0,1,7,1,3,9,128.57
DP Nannes,3,2,0,0,0,0,0,5,0,2,2,40.0
AM Salvi,5,1,0,0,0,0,0,6,1,1,1,16.67
MF Maharoof,10,3,0,0,4,0,1,18,0,3,25,138.89
MR Marsh,1,2,0,0,0,0,0,3,0,1,2,66.67
R Ashwin,10,7,1,0,0,0,1,19,1,4,15,78.95
M Ashwin,0,2,0,0,0,0,0,2,0,1,2,100.0
RJ Harris,10,3,0,0,2,0,1,16,0,2,17,106.25
PP Chawla,18,10,3,1,3,0,4,39,2,5,55,141.03
RR Powar,4,4,1,0,3,0,2,14,0,2,30,214.29
J Theron,2,2,0,0,0,0,0,4,0,1,2,50.0
Bipul Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
IK Pathan,7,2,0,0,0,0,1,10,0,2,8,80.0
RS Bopara,3,3,0,0,1,0,0,7,0,1,7,100.0
AD Mathews,3,6,1,0,5,0,0,15,0,2,28,186.67
NM Coulter-Nile,5,6,1,0,1,0,0,13,1,4,12,92.31
Imran Tahir,4,2,0,0,0,0,0,6,1,2,2,33.33
IC Pandey,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,10,4,1,0,0,0,0,15,1,6,6,40.0
DL Vettori,3,3,1,0,0,0,1,8,0,2,11,137.5
CH Gayle,0,2,0,0,0,0,0,2,0,1,2,100.0
S Aravind,1,0,0,0,0,0,0,1,1,1,0,0.0
ST Jayasuriya,1,1,0,0,0,0,0,2,1,1,1,50.0
AR Patel,7,12,3,0,3,0,1,26,1,4,36,138.46
SR Watson,2,2,0,0,0,0,0,4,0,3,2,50.0
KW Richardson,2,0,0,0,0,0,0,2,1,1,0,0.0
JD Unadkat,3,2,0,0,1,0,1,7,2,2,12,171.43
CH Morris,7,4,0,0,1,0,0,12,0,3,8,66.67
JA Morkel,19,10,0,0,10,0,3,42,2,6,68,161.9
DE Bollinger,9,7,0,0,3,0,0,19,0,3,19,100.0
Iqbal Abdulla,3,3,0,0,0,0,0,6,1,2,3,50.0
KK Cooper,2,2,0,0,0,0,0,4,0,2,2,50.0
V Pratap Singh,3,1,0,0,0,0,0,4,1,1,1,25.0
DW Steyn,12,4,0,2,1,0,0,19,0,3,14,73.68
I Sharma,4,5,0,1,2,0,0,12,1,3,16,133.33
A Mishra,5,6,2,0,5,0,3,21,2,3,48,228.57
UT Yadav,12,4,0,0,2,0,2,20,2,5,24,120.0
CR Brathwaite,1,2,0,0,0,0,0,3,0,1,2,66.67
Shivam Sharma,3,3,1,0,0,0,3,10,0,1,23,230.0
R Dhawan,4,9,0,0,1,0,2,16,0,2,25,156.25
MG Johnson,1,4,1,0,0,0,0,6,0,2,6,100.0
Sandeep Sharma,0,0,1,2,2,0,2,7,0,2,28,400.0
P Awana,5,1,0,0,0,0,0,6,0,1,1,16.67
Azhar Mahmood,5,1,0,0,1,0,0,7,0,2,5,71.43
JP Faulkner,5,2,0,0,3,0,0,10,0,2,14,140.0
P Parameswaran,6,1,0,0,1,0,1,9,0,1,11,122.22
AC Thomas,1,2,1,0,0,0,0,4,0,1,4,100.0
SE Bond,3,3,0,0,0,0,0,6,0,2,3,50.0
M Kartik,4,1,0,0,0,0,0,5,0,2,1,20.0
LR Shukla,1,0,0,0,0,0,1,2,0,2,6,300.0
M Morkel,12,5,1,0,3,0,1,22,1,4,25,113.64
SP Narine,34,12,3,0,2,0,1,52,2,9,32,61.54
Shakib Al Hasan,5,3,0,0,1,0,2,11,1,4,19,172.73
RN ten Doeschate,7,1,0,0,0,0,2,10,1,2,13,130.0
DR Smith,2,2,0,0,0,0,1,5,0,2,8,160.0
MM Sharma,0,2,0,1,2,0,0,5,0,2,13,260.0
RG More,2,1,0,0,1,0,1,5,0,1,11,220.0
AD Russell,3,0,2,0,1,0,0,6,0,1,8,133.33
CR Woakes,1,3,2,0,0,0,0,6,0,1,7,116.67
TA Boult,4,4,2,0,0,0,1,11,1,2,14,127.27
HV Patel,1,3,1,0,1,0,0,6,0,1,9,150.0
BW Hilfenhaus,6,1,0,0,0,0,0,7,1,1,1,14.29
S Tyagi,2,4,0,0,2,0,1,9,0,1,18,200.0
SB Jakati,5,10,0,0,1,0,6,22,1,3,50,227.27
SK Raina,5,8,0,0,1,0,1,15,1,3,18,120.0
GB Hogg,2,2,0,0,0,0,1,5,0,2,8,160.0
AL Menaria,0,0,0,0,1,0,1,2,0,1,10,500.0
JD Ryder,2,2,0,0,0,0,0,4,0,1,2,50.0
AA Jhunjhunwala,1,2,0,0,0,0,1,4,0,1,8,200.0
Pankaj Singh,2,1,0,0,0,0,0,3,1,2,1,33.33
A Singh,2,1,0,0,0,0,0,3,1,1,1,33.33
KC Cariappa,2,2,0,0,1,0,0,5,1,1,6,120.0
YA Abdulla,3,2,0,0,1,0,1,7,0,1,12,171.43
K Goel,0,1,0,0,1,0,0,2,0,1,5,250.0
