,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AB Dinda,10,1,1,0,1,0,0,13,0,1,7,53.85
AB Agarkar,2,2,1,0,0,0,0,5,0,1,4,80.0
SS Sarkar,0,3,0,0,0,0,0,3,0,1,3,100.0
CK Langeveldt,1,0,0,0,0,0,0,1,1,1,0,0.0
IK Pathan,7,2,0,0,1,0,0,10,0,1,6,60.0
S Sreesanth,2,2,0,0,4,0,0,8,0,1,18,225.0
JR Hopes,3,1,0,0,2,0,0,6,0,1,9,150.0
RR Powar,0,2,0,0,1,0,0,3,0,1,6,200.0
VRV Singh,1,2,1,0,2,0,0,6,0,1,12,200.0
PP Chawla,3,2,2,0,0,0,0,7,1,1,6,85.71
MF Maharoof,1,0,0,0,1,0,0,2,0,1,4,200.0
ST Jayasuriya,0,2,0,0,0,0,0,2,0,1,2,100.0
DR Smith,1,2,0,0,0,0,0,3,0,1,2,66.67
SM Pollock,1,3,0,0,0,0,0,4,0,1,3,75.0
CRD Fernando,2,4,1,0,1,0,1,9,0,1,16,177.78
RR Raje,1,3,3,1,0,0,0,8,0,1,12,150.0
A Nehra,2,1,0,0,1,0,0,4,0,1,5,125.0
DW Steyn,10,2,0,0,0,0,0,12,0,1,2,16.67
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
R Vinay Kumar,3,1,0,0,0,0,0,4,0,1,1,25.0
JD Ryder,2,0,0,0,0,0,0,2,1,1,0,0.0
M Ntini,8,1,0,0,0,0,0,9,0,1,1,11.11
MS Gony,1,1,0,0,0,0,0,2,1,1,1,50.0
