,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
M Kartik,2,1,0,0,0,0,0,3,0,1,1,33.33
MJ Clarke,1,2,0,0,0,0,0,3,0,1,2,66.67
SPD Smith,0,1,0,0,0,0,0,1,0,1,1,100.0
Shakib Al Hasan,1,4,1,0,1,0,0,7,0,1,10,142.86
YK Pathan,7,3,0,0,1,0,0,11,0,2,7,63.64
SP Narine,5,10,1,0,1,0,0,17,1,2,16,94.12
R Bhatia,5,11,0,0,2,0,0,18,0,2,19,105.56
L Balaji,4,1,0,0,0,0,0,5,1,2,1,20.0
RJ Harris,1,1,1,0,1,0,0,4,0,1,7,175.0
BA Bhatt,0,2,0,0,0,0,1,3,0,1,8,266.67
Bipul Sharma,3,1,0,0,0,0,1,5,0,1,7,140.0
SJ Srivastava,0,1,0,0,0,0,0,1,0,1,1,100.0
P Kumar,4,2,1,0,2,0,0,9,0,2,12,133.33
V Kohli,1,1,0,0,0,0,0,2,0,1,1,50.0
P Negi,1,0,0,0,0,0,0,1,0,1,0,0.0
UT Yadav,1,2,0,0,0,0,0,3,1,2,2,66.67
KP Appanna,5,2,0,0,0,0,0,7,1,1,2,28.57
HV Patel,5,2,0,0,0,0,1,8,0,1,8,100.0
JP Faulkner,0,3,0,0,0,0,0,3,0,1,3,100.0
A Mishra,5,4,0,0,0,0,0,9,1,2,4,44.44
A Ashish Reddy,2,3,0,0,0,0,0,5,0,1,3,60.0
MS Gony,5,5,0,0,1,0,0,11,0,2,9,81.82
JP Duminy,1,2,1,0,0,0,0,4,0,1,4,100.0
DW Steyn,3,2,2,0,0,0,0,7,0,1,6,85.71
V Pratap Singh,1,3,1,0,1,0,0,6,0,1,9,150.0
MM Patel,2,3,0,0,0,0,1,6,0,2,9,150.0
SL Malinga,2,9,3,0,1,0,0,15,1,3,19,126.67
JEC Franklin,5,4,0,1,1,0,1,12,0,2,17,141.67
PP Ojha,10,9,2,0,1,0,1,23,0,2,23,100.0
Harbhajan Singh,3,6,2,0,2,0,1,14,0,3,24,171.43
KA Pollard,9,8,1,0,3,0,3,24,0,2,40,166.67
R McLaren,1,2,1,0,0,0,0,4,0,1,4,100.0
DJ Bravo,2,8,2,0,1,0,0,13,0,3,16,123.08
Z Khan,5,1,0,0,2,0,0,8,2,2,9,112.5
SMSM Senanayake,0,1,0,0,0,0,0,1,0,1,1,100.0
JH Kallis,3,1,1,0,1,0,0,6,1,2,7,116.67
SW Tait,4,3,0,0,0,0,0,7,0,1,3,42.86
SK Trivedi,1,1,0,0,0,0,1,3,0,1,7,233.33
R Vinay Kumar,2,2,0,0,1,0,3,8,0,2,24,300.0
R Ashwin,6,2,1,0,1,0,0,10,0,1,8,80.0
DE Bollinger,3,3,0,0,2,0,1,9,0,2,17,188.89
SB Jakati,2,2,0,0,0,0,1,5,0,1,8,160.0
RA Jadeja,6,3,1,0,1,0,1,12,0,1,15,125.0
KMDN Kulasekara,4,2,0,0,0,0,0,6,1,1,2,33.33
RP Singh,2,4,0,0,0,0,0,6,0,2,4,66.67
A Symonds,3,8,1,0,0,0,1,13,0,1,16,123.08
Jaskaran Singh,2,2,1,0,0,0,1,6,0,1,10,166.67
WPUJC Vaas,1,1,0,0,1,0,1,4,0,1,11,275.0
TL Suman,1,1,1,0,1,0,0,4,0,1,7,175.0
DL Vettori,2,3,0,0,1,0,0,6,0,1,7,116.67
M Muralitharan,0,3,0,0,1,0,0,4,0,1,7,175.0
CH Gayle,1,1,1,0,1,0,2,6,0,1,19,316.67
Ankit Sharma,2,2,2,0,1,0,0,7,0,1,10,142.86
DS Kulkarni,0,1,0,0,0,0,0,1,0,1,1,100.0
B Lee,1,2,1,0,1,0,1,6,0,1,14,233.33
Iqbal Abdulla,1,1,0,1,0,0,0,3,0,1,4,133.33
