,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,2,3,1,0,0,0,0,6,0,1,5,83.33
AG Murtaza,1,3,1,0,0,0,0,5,0,1,5,100.0
R Sathish,1,2,0,0,2,0,2,7,0,1,22,314.29
R McLaren,0,2,0,0,0,0,0,2,0,1,2,100.0
Z Khan,4,5,0,0,0,0,0,9,0,2,5,55.56
ST Jayasuriya,0,2,0,0,0,0,0,2,0,1,2,100.0
R Bhatia,8,6,0,0,0,0,0,14,1,2,6,42.86
B Lee,0,2,0,0,0,0,0,2,0,1,2,100.0
SP Narine,1,0,0,0,0,0,0,1,1,1,0,0.0
PJ Sangwan,4,2,1,0,1,0,0,8,0,1,8,100.0
S Ladda,9,3,2,0,0,0,2,16,1,2,19,118.75
A Mishra,11,7,1,0,0,0,1,20,0,3,15,75.0
MF Maharoof,2,1,0,0,0,0,0,3,0,1,1,33.33
SE Bond,4,0,0,0,0,0,0,4,0,1,0,0.0
JD Unadkat,1,3,1,0,0,0,0,5,0,2,5,100.0
LR Shukla,0,2,0,1,0,0,0,3,0,1,5,166.67
M Kartik,1,1,0,0,0,0,0,2,1,1,1,50.0
A Kumble,1,2,0,0,0,0,0,3,0,1,2,66.67
R Vinay Kumar,6,2,1,0,0,0,0,9,0,2,4,44.44
P Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
NLTC Perera,2,1,1,0,0,0,0,4,0,1,3,75.0
DW Steyn,1,0,0,0,0,0,0,1,1,1,0,0.0
AB McDonald,1,1,0,0,0,0,0,2,0,1,1,50.0
PD Collingwood,0,3,1,0,0,0,0,4,0,1,5,125.0
UT Yadav,0,2,0,0,0,0,0,2,0,1,2,100.0
I Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
JA Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
T Thushara,1,0,0,0,1,0,0,2,0,1,4,200.0
Shakib Al Hasan,0,1,0,0,0,0,0,1,0,1,1,100.0
