,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KK Cooper,3,2,0,0,0,0,2,7,0,2,14,200.0
JP Faulkner,2,0,0,0,2,0,0,4,0,1,8,200.0
MM Sharma,4,2,1,0,1,0,0,8,2,2,8,100.0
Sandeep Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
MP Stoinis,0,2,0,0,1,0,0,3,0,1,6,200.0
IK Pathan,3,1,0,0,0,0,0,4,1,2,1,25.0
YA Abdulla,1,2,3,0,1,0,1,8,0,2,18,225.0
MF Maharoof,0,1,0,0,0,0,0,1,0,1,1,100.0
GD McGrath,6,1,1,0,1,0,0,9,2,2,7,77.78
SK Warne,11,3,1,0,1,0,3,19,1,3,27,142.11
T Henderson,1,1,0,0,0,0,0,2,0,1,1,50.0
MM Patel,4,2,0,0,0,0,0,6,1,3,2,33.33
A Nehra,0,2,0,0,0,0,0,2,0,1,2,100.0
BCJ Cutting,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,1,5,0,0,1,0,0,7,1,4,9,128.57
JA Morkel,2,4,1,0,0,0,0,7,1,2,6,85.71
M Ntini,0,2,0,0,1,0,0,3,0,1,6,200.0
L Balaji,0,3,2,0,1,0,2,8,0,2,23,287.5
PP Chawla,2,0,0,0,0,0,0,2,1,1,0,0.0
UT Yadav,5,2,4,0,1,0,0,12,1,4,14,116.67
NM Coulter-Nile,0,1,0,0,0,0,0,1,0,1,1,100.0
JH Kallis,1,1,0,0,0,0,0,2,1,1,1,50.0
DR Smith,2,2,0,0,0,0,0,4,0,1,2,50.0
CRD Fernando,3,1,0,0,0,0,0,4,0,1,1,25.0
DS Kulkarni,6,1,2,0,1,0,1,11,1,2,15,136.36
SB Wagh,1,2,0,0,0,0,0,3,0,1,2,66.67
AC Thomas,1,1,0,0,0,0,0,2,0,1,1,50.0
WD Parnell,3,2,0,0,0,0,0,5,1,2,2,40.0
Harmeet Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
PP Ojha,1,1,0,0,0,0,0,2,1,1,1,50.0
SB Styris,2,0,0,0,0,0,1,3,0,2,6,200.0
FH Edwards,1,0,0,0,0,0,1,2,0,1,6,300.0
RP Singh,1,2,0,0,2,0,0,5,0,2,10,200.0
MS Gony,3,1,0,0,0,0,0,4,1,2,1,25.0
JR Hopes,0,1,0,0,0,0,0,1,0,1,1,100.0
VRV Singh,1,3,2,0,0,0,0,6,0,2,7,116.67
S Sreesanth,2,0,0,0,0,0,0,2,1,1,0,0.0
SW Tait,1,1,0,0,0,0,0,2,0,1,1,50.0
SR Watson,6,2,0,0,1,0,0,9,0,3,6,66.67
GB Hogg,2,3,0,0,1,0,0,6,0,1,7,116.67
J Botha,1,2,0,0,0,0,0,3,0,1,2,66.67
AD Russell,4,0,0,0,0,0,0,4,1,1,0,0.0
A Singh,1,2,1,0,0,0,1,5,0,2,10,200.0
S Aravind,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mithun,4,0,0,0,2,0,1,7,0,1,14,200.0
JDP Oram,0,3,0,0,0,0,0,3,0,2,3,100.0
SC Ganguly,8,1,0,0,0,0,1,10,0,1,7,70.0
AB Agarkar,1,0,0,0,1,0,0,2,0,1,4,200.0
LR Shukla,1,1,0,0,0,0,1,3,0,1,7,233.33
I Sharma,4,0,0,0,1,0,0,5,0,3,4,80.0
M Kartik,1,0,0,0,0,0,0,1,0,1,0,0.0
DW Steyn,8,1,0,0,0,0,0,9,1,3,1,11.11
NLTC Perera,2,3,0,0,0,0,0,5,0,2,3,60.0
M Morkel,2,0,0,0,0,0,0,2,0,1,0,0.0
MJ McClenaghan,2,1,0,0,0,0,0,3,1,2,1,33.33
SL Malinga,7,3,2,0,0,0,1,13,3,5,13,100.0
R Vinay Kumar,1,0,0,0,0,0,0,1,0,1,0,0.0
KA Pollard,0,1,0,0,0,0,0,1,0,1,1,100.0
B Lee,1,0,1,0,0,0,0,2,0,1,2,100.0
MG Johnson,1,1,0,0,1,0,0,3,0,1,5,166.67
S Kaul,0,1,0,0,0,0,0,1,0,1,1,100.0
Mustafizur Rahman,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Bravo,1,1,0,0,0,0,0,2,0,1,1,50.0
KMDN Kulasekara,1,1,2,0,0,0,0,4,0,1,5,125.0
MN Samuels,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,1,1,0,0,0,0,0,2,1,1,1,50.0
CK Langeveldt,1,1,1,0,0,0,0,3,0,1,3,100.0
CJ Jordan,2,1,0,0,0,0,0,3,2,2,1,33.33
YS Chahal,2,1,0,0,0,0,0,3,0,1,1,33.33
CH Morris,2,2,0,0,0,0,0,4,0,1,2,50.0
DP Nannes,0,1,0,0,0,0,0,1,0,1,1,100.0
MR Marsh,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mishra,2,0,0,0,0,0,0,2,1,1,0,0.0
Sohail Tanvir,4,1,0,0,0,0,0,5,0,1,1,20.0
YK Pathan,1,2,0,0,0,0,1,4,0,1,8,200.0
SK Trivedi,5,1,0,0,1,0,0,7,0,1,5,71.43
SP Narine,1,0,0,0,0,0,0,1,1,1,0,0.0
