,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
M Morkel,10,12,2,0,4,0,0,28,0,5,32,114.29
AB Agarkar,10,13,1,0,5,0,0,29,1,5,35,120.69
RE van der Merwe,6,5,2,0,0,0,0,13,0,2,9,69.23
Y Nagar,0,2,0,0,0,0,0,2,0,1,2,100.0
IK Pathan,24,15,1,0,10,0,3,53,1,9,75,141.51
DW Steyn,25,11,3,0,7,0,1,47,1,7,51,108.51
Z Khan,19,16,2,1,5,0,0,43,0,7,43,100.0
P Kumar,35,15,1,0,6,1,1,59,3,11,52,88.14
Sandeep Sharma,32,14,3,0,3,0,0,52,2,7,32,61.54
I Sharma,11,7,1,0,5,0,1,25,1,5,35,140.0
MM Sharma,16,14,3,0,15,0,0,48,2,7,80,166.67
MP Stoinis,2,1,0,0,1,0,1,5,1,1,11,220.0
Anureet Singh,5,1,0,0,2,0,0,8,0,2,9,112.5
MG Johnson,17,6,3,0,15,0,2,43,1,5,84,195.35
AR Patel,4,12,1,0,1,0,0,18,0,3,18,100.0
Karanveer Singh,2,4,2,0,0,0,0,8,1,1,8,100.0
M Vijay,1,1,0,0,1,0,0,3,0,1,5,166.67
GJ Maxwell,2,4,1,0,0,0,1,8,0,3,12,150.0
DS Kulkarni,10,4,0,0,4,0,1,19,2,4,26,136.84
SB Jakati,6,6,1,0,1,0,2,16,0,2,24,150.0
JP Faulkner,6,3,2,0,2,0,0,13,2,4,15,115.38
PV Tambe,2,2,0,0,0,0,0,4,1,1,2,50.0
DJ Bravo,1,4,2,0,0,0,0,7,1,3,8,114.29
AB Dinda,34,8,3,0,10,0,0,55,2,7,54,98.18
BA Stokes,0,1,0,0,0,0,0,1,0,1,1,100.0
Imran Tahir,3,1,2,0,3,0,0,9,1,2,17,188.89
B Kumar,37,12,2,0,7,0,1,59,5,11,50,84.75
Mohammad Nabi,1,3,1,0,1,0,0,6,0,1,9,150.0
Mohammed Siraj,1,1,0,0,0,0,1,3,0,1,7,233.33
S Kaul,6,3,3,0,1,0,0,13,1,3,13,100.0
SJ Srivastava,6,4,0,0,1,0,1,12,1,2,14,116.67
NM Coulter-Nile,3,3,1,0,1,0,0,8,0,2,9,112.5
DJ Muthuswami,4,1,0,1,0,0,0,6,0,1,4,66.67
JP Duminy,10,5,0,0,2,0,0,17,0,3,13,76.47
AD Mathews,5,0,0,0,2,0,1,8,2,2,14,175.0
MN Samuels,3,4,0,0,2,0,0,9,1,3,12,133.33
S Badree,5,3,0,0,0,0,0,8,1,2,3,37.5
