,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Chandila,8,2,1,0,0,0,0,11,1,2,4,36.36
RP Singh,4,1,1,0,1,0,0,7,1,1,7,100.0
R Vinay Kumar,7,4,2,0,1,0,0,14,1,3,12,85.71
PP Chawla,1,3,0,0,0,0,1,5,1,2,9,180.0
RR Powar,0,3,0,0,0,0,0,3,0,1,3,100.0
P Awana,1,2,1,0,0,0,0,4,0,1,4,100.0
Azhar Mahmood,1,2,1,0,2,0,0,6,0,2,12,200.0
Z Khan,3,2,0,0,0,0,0,5,0,1,2,40.0
SR Watson,2,2,1,0,2,0,0,7,0,1,12,171.43
SW Tait,3,2,1,0,0,0,0,6,0,1,4,66.67
J Botha,4,4,2,0,1,0,1,12,0,1,18,150.0
SK Trivedi,3,2,0,0,1,0,0,6,1,1,6,100.0
IK Pathan,6,1,0,0,0,0,0,7,0,1,1,14.29
S Kaul,2,0,0,0,0,0,0,2,0,1,0,0.0
AD Mascarenhas,1,3,0,0,1,0,0,5,0,1,7,140.0
P Kumar,2,1,0,1,0,0,0,4,0,1,4,100.0
MS Gony,3,0,0,0,1,0,0,4,1,1,4,100.0
MG Johnson,6,0,1,0,1,0,0,8,1,1,6,75.0
DS Kulkarni,0,1,0,0,0,0,0,1,0,1,1,100.0
MN Samuels,3,4,0,0,0,0,0,7,0,1,4,57.14
B Kumar,3,3,0,0,1,0,0,7,0,1,7,100.0
AB Dinda,0,1,0,0,0,0,0,1,0,1,1,100.0
AD Mathews,0,4,0,0,1,0,0,5,0,1,8,160.0
R Sharma,3,5,0,0,0,0,0,8,0,1,5,62.5
Yuvraj Singh,1,2,0,0,0,0,0,3,1,1,2,66.67
JD Unadkat,1,3,0,0,0,0,0,4,0,1,3,75.0
MC Henriques,2,3,1,0,1,0,0,7,0,1,9,128.57
M Kartik,1,5,0,0,1,0,0,7,0,1,9,128.57
M Muralitharan,1,0,0,0,0,0,0,1,1,1,0,0.0
