,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SW Tait,2,1,0,0,1,0,1,5,0,1,11,220.0
S Narwal,1,1,0,0,1,0,0,3,0,1,5,166.67
CH Gayle,3,5,1,0,1,0,2,12,0,1,23,191.67
CK Langeveldt,2,0,0,0,0,0,0,2,1,1,0,0.0
DJ Hussey,1,6,1,1,0,0,0,9,0,1,11,122.22
AD Mathews,2,3,0,0,1,0,0,6,0,1,7,116.67
M Kartik,4,6,0,0,0,0,0,10,0,1,6,60.0
AB Agarkar,3,2,0,0,1,0,0,6,0,1,6,100.0
JH Kallis,4,2,1,0,1,0,1,9,0,1,14,155.56
KP Pietersen,2,0,1,0,0,0,0,3,0,1,2,66.67
KP Appanna,5,6,0,0,0,0,0,11,0,1,6,54.55
A Kumble,4,1,0,0,0,0,1,6,0,1,7,116.67
CL White,3,0,1,0,1,0,2,7,0,1,18,257.14
A Mithun,0,4,0,0,1,0,2,7,0,1,20,285.71
R Vinay Kumar,1,2,0,0,0,0,1,4,0,1,8,200.0
PP Ojha,3,6,0,0,1,0,0,10,0,1,10,100.0
A Symonds,1,2,0,0,0,0,0,3,0,1,2,66.67
R Sharma,4,7,2,0,0,0,1,14,0,1,17,121.43
Harmeet Singh,3,4,1,0,0,0,2,10,0,1,18,180.0
MR Marsh,0,2,1,0,0,0,0,3,0,1,4,133.33
WPUJC Vaas,3,0,0,0,0,0,0,3,0,1,0,0.0
AG Murtaza,1,1,0,0,0,0,0,2,0,1,1,50.0
KA Pollard,2,1,0,0,0,0,0,3,0,1,1,33.33
L Ablish,0,0,1,0,0,0,0,1,0,1,2,200.0
PP Chawla,3,1,0,0,0,0,0,4,1,1,1,25.0
RR Powar,2,1,0,0,0,0,0,3,0,1,1,33.33
AB Dinda,0,1,0,0,0,0,0,1,0,1,1,100.0
BAW Mendis,1,1,0,0,0,0,0,2,1,1,1,50.0
