,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
ST Jayasuriya,5,2,0,0,0,0,0,7,0,1,2,28.57
KA Pollard,1,2,0,0,0,0,0,3,0,1,2,66.67
LR Shukla,1,0,0,0,0,0,0,1,1,1,0,0.0
DJ Bravo,2,1,1,0,0,0,0,4,0,2,3,75.0
A Nehra,1,0,0,0,0,0,0,1,1,1,0,0.0
SB Jakati,3,0,0,0,0,0,0,3,1,1,0,0.0
RP Singh,2,0,0,0,1,0,0,3,0,2,4,133.33
Kamran Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
CJ Anderson,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammed Siraj,1,0,0,0,0,0,0,1,1,1,0,0.0
JD Unadkat,1,1,0,0,0,0,0,2,1,1,1,50.0
Harbhajan Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
CRD Fernando,0,2,1,0,0,0,0,3,0,1,4,133.33
B Lee,1,1,0,0,0,0,0,2,0,1,1,50.0
IK Pathan,0,2,1,0,0,0,0,3,0,1,4,133.33
