,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,3,5,2,0,0,0,0,10,1,3,9,90.0
STR Binny,0,2,0,0,0,0,0,2,0,1,2,100.0
KK Cooper,3,1,1,0,0,0,0,5,2,2,3,60.0
JP Faulkner,1,1,0,0,0,0,0,2,0,2,1,50.0
MG Johnson,5,4,1,0,1,0,1,12,1,5,16,133.33
P Awana,1,1,1,0,4,0,0,7,0,2,19,271.43
FY Fazal,0,2,0,0,0,0,0,2,0,1,2,100.0
SR Watson,10,4,1,0,4,0,0,19,2,4,22,115.79
PP Ojha,0,1,0,0,0,0,0,1,0,1,1,100.0
RJ Harris,1,2,0,0,0,0,0,3,0,1,2,66.67
RP Singh,3,5,1,0,2,0,0,11,1,4,15,136.36
SK Warne,3,3,0,0,2,0,0,8,1,2,11,137.5
A Singh,4,3,0,0,0,0,1,8,0,2,9,112.5
SL Malinga,13,5,0,0,0,0,1,19,1,6,11,57.89
DW Steyn,1,6,0,0,3,0,0,10,1,4,18,180.0
Harbhajan Singh,1,3,0,0,1,0,0,5,1,2,7,140.0
L Balaji,8,7,2,0,0,0,0,17,1,5,11,64.71
M Muralitharan,6,2,3,0,0,0,0,11,1,2,8,72.73
MS Gony,0,0,0,0,1,0,1,2,0,1,10,500.0
JA Morkel,10,5,0,0,1,0,0,16,2,5,9,56.25
A Symonds,4,3,0,0,0,0,0,7,0,1,3,42.86
RG Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
WPUJC Vaas,1,1,0,0,1,0,0,3,0,1,5,166.67
Imran Tahir,2,1,2,0,0,0,0,5,0,1,5,100.0
AD Mathews,2,2,0,0,1,0,1,6,0,1,12,200.0
Yuvraj Singh,2,4,0,0,0,0,0,6,0,1,4,66.67
AR Patel,3,3,0,0,0,0,0,6,1,3,3,50.0
BE Hendricks,1,1,0,0,2,0,0,4,0,1,9,225.0
Sandeep Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
Anureet Singh,2,0,0,0,0,0,1,3,1,1,6,200.0
AB Dinda,6,1,1,0,1,0,0,9,0,2,7,77.78
