,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SL Malinga,3,0,1,0,0,0,0,4,1,2,2,50.0
WD Parnell,1,1,0,0,0,0,0,2,0,2,1,50.0
A Nehra,0,1,0,0,0,0,0,1,0,1,1,100.0
KK Cooper,0,1,0,0,0,0,0,1,0,1,1,100.0
R Bhatia,2,0,0,0,0,0,0,2,1,1,0,0.0
A Kumble,2,0,0,0,0,0,0,2,1,1,0,0.0
Sohail Tanvir,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Bravo,0,1,0,0,0,0,0,1,0,1,1,100.0
M Morkel,3,1,0,0,0,0,0,4,0,1,1,25.0
UT Yadav,4,2,0,0,0,0,0,6,0,1,2,33.33
AB Agarkar,2,0,0,0,0,0,0,2,1,1,0,0.0
VR Aaron,1,0,0,0,0,0,0,1,0,1,0,0.0
MA Starc,3,1,0,0,0,0,0,4,0,1,1,25.0
MM Sharma,2,1,0,0,0,0,0,3,1,2,1,33.33
M Muralitharan,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Raina,4,0,0,0,0,0,0,4,2,2,0,0.0
L Balaji,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mishra,1,0,0,0,0,0,0,1,1,1,0,0.0
Imran Tahir,0,2,0,0,0,0,0,2,0,1,2,100.0
