,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RJ Harris,2,1,1,0,0,0,0,4,0,1,3,75.0
Harmeet Singh,4,2,0,0,2,0,0,8,0,1,10,125.0
DR Smith,3,0,0,0,0,0,2,5,0,1,12,240.0
Shoaib Ahmed,0,0,0,0,1,0,0,1,0,1,4,400.0
TL Suman,1,0,0,0,0,0,0,1,1,1,0,0.0
P Parameswaran,0,1,0,0,0,0,0,1,0,1,1,100.0
BJ Hodge,3,0,0,0,1,0,0,4,1,1,4,100.0
RP Singh,1,1,0,0,1,0,0,3,1,2,5,166.67
Yuvraj Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
S Sreesanth,1,0,2,0,0,0,0,3,1,1,4,133.33
AM Salvi,3,2,1,0,0,0,0,6,0,1,4,66.67
R Bhatia,2,2,1,0,1,0,0,6,1,2,8,133.33
DP Nannes,5,1,0,0,0,0,0,6,1,2,1,16.67
DP Vijaykumar,4,2,0,0,1,0,0,7,0,1,6,85.71
VY Mahesh,1,0,0,0,0,0,0,1,1,1,0,0.0
A Nehra,4,2,0,0,0,0,0,6,0,1,2,33.33
PJ Sangwan,3,3,2,0,0,0,0,8,0,1,7,87.5
A Mishra,1,1,0,0,0,0,0,2,0,1,1,50.0
Z Khan,1,0,0,0,0,0,0,1,0,1,0,0.0
R Vinay Kumar,5,2,1,0,0,0,0,8,0,1,4,50.0
B Akhil,3,2,0,0,0,0,0,5,1,1,2,40.0
JH Kallis,1,1,0,0,1,0,0,3,0,1,5,166.67
SB Joshi,1,4,0,0,1,0,0,6,0,1,8,133.33
