,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Mishra,3,3,0,0,0,0,0,6,0,1,3,50.0
V Sehwag,4,3,0,0,0,0,0,7,0,1,3,42.86
GB Hogg,1,0,0,0,0,0,0,1,0,1,0,0.0
UT Yadav,0,2,1,0,2,0,0,5,0,2,12,240.0
SR Watson,2,3,0,0,0,0,0,5,1,3,3,60.0
Mohammed Shami,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,1,2,0,0,0,0,0,3,0,2,2,66.67
AB Dinda,1,1,1,0,2,0,0,5,0,1,11,220.0
SL Malinga,2,7,1,0,2,0,0,12,2,5,17,141.67
R Dhawan,0,1,1,0,2,0,0,4,0,1,11,275.0
A Mithun,0,1,0,0,0,0,0,1,0,1,1,100.0
S Aravind,2,1,0,0,0,0,0,3,1,1,1,33.33
Harbhajan Singh,10,4,0,0,0,0,0,14,3,4,4,28.57
DJ Muthuswami,2,0,0,0,0,0,0,2,0,1,0,0.0
NM Coulter-Nile,0,1,0,0,1,0,0,2,0,1,5,250.0
Imran Tahir,0,1,3,0,0,0,0,4,0,1,7,175.0
MJ McClenaghan,3,2,0,0,0,0,1,6,1,2,8,133.33
RP Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
RJ Harris,3,4,0,0,1,0,0,8,1,3,8,100.0
L Balaji,2,1,0,0,1,0,0,4,0,1,5,125.0
SMSM Senanayake,5,1,0,0,1,0,0,7,0,1,5,71.43
SP Narine,1,1,0,0,0,0,0,2,1,1,1,50.0
MM Patel,2,1,0,0,0,0,0,3,0,1,1,33.33
KA Pollard,4,5,0,0,0,0,0,9,1,2,5,55.56
Azhar Mahmood,0,1,1,0,1,0,0,3,0,1,7,233.33
M Morkel,1,1,0,0,1,0,0,3,0,1,5,166.67
R Bhatia,6,4,0,0,1,0,0,11,1,2,8,72.73
PV Tambe,1,2,1,0,0,0,0,4,0,1,4,100.0
JP Faulkner,1,3,0,0,1,0,0,5,0,2,7,140.0
B Kumar,3,0,0,0,0,0,0,3,0,1,0,0.0
BB Sran,4,2,1,0,1,0,0,8,1,1,8,100.0
MC Henriques,0,6,0,0,1,0,0,7,0,1,10,142.86
Yuvraj Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
Mustafizur Rahman,0,3,1,0,1,0,0,5,0,1,9,180.0
P Suyal,1,0,0,0,0,0,0,1,0,1,0,0.0
PP Chawla,6,0,0,0,0,0,0,6,0,2,0,0.0
WA Mota,2,2,0,0,0,0,0,4,0,1,2,50.0
B Lee,4,1,0,0,0,0,0,5,0,1,1,20.0
IK Pathan,4,1,1,0,1,0,0,7,2,2,7,100.0
PP Ojha,3,2,0,0,0,0,0,5,0,1,2,40.0
MG Johnson,3,3,0,0,0,0,0,6,0,2,3,50.0
R Vinay Kumar,0,3,0,0,1,0,0,4,0,2,7,175.0
J Theron,2,0,0,0,0,0,0,2,0,1,0,0.0
P Awana,0,1,0,0,0,0,0,1,0,1,1,100.0
Sandeep Sharma,1,3,0,0,0,0,0,4,0,1,3,75.0
Karanveer Singh,0,2,1,0,0,0,0,3,0,1,4,133.33
AR Patel,1,1,0,0,0,0,0,2,1,1,1,50.0
RG Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
Iqbal Abdulla,0,1,0,0,0,0,0,1,0,1,1,100.0
D Wiese,2,0,0,0,1,0,0,3,1,1,4,133.33
DS Kulkarni,4,0,0,0,0,0,0,4,0,1,0,0.0
TG Southee,3,2,0,0,0,0,0,5,0,1,2,40.0
Harmeet Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
P Kumar,2,3,0,0,0,0,0,5,0,1,3,60.0
DW Steyn,0,3,0,0,0,0,0,3,0,1,3,100.0
CJ Jordan,1,1,1,0,0,0,1,4,0,1,9,225.0
HV Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
