,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IC Pandey,2,3,0,0,0,0,0,5,0,1,3,60.0
RA Jadeja,5,8,0,0,1,0,1,15,1,5,18,120.0
R Ashwin,10,5,1,0,0,0,0,16,0,3,7,43.75
BW Hilfenhaus,2,1,0,0,0,0,0,3,1,2,1,33.33
MM Sharma,2,0,1,0,1,0,0,4,2,2,6,150.0
TG Southee,1,0,0,0,0,0,0,1,0,1,0,0.0
HV Patel,0,2,0,0,1,0,1,4,0,2,12,300.0
SR Watson,0,5,1,0,1,0,0,7,0,2,11,157.14
KW Richardson,1,0,2,0,0,0,0,3,1,1,4,133.33
JJ Bumrah,1,3,1,0,1,0,0,6,0,2,9,150.0
PP Ojha,1,0,0,0,0,0,0,1,1,1,0,0.0
DW Steyn,4,1,0,0,1,0,0,6,1,2,5,83.33
PP Chawla,1,1,0,0,0,0,0,2,0,1,1,50.0
Yuvraj Singh,3,3,0,0,0,0,0,6,1,2,3,50.0
B Lee,3,1,0,0,0,0,0,4,1,2,1,25.0
S Sreesanth,1,3,0,0,2,0,1,7,0,2,17,242.86
IK Pathan,10,3,0,0,0,0,0,13,1,4,3,23.08
R Vinay Kumar,0,4,1,0,2,0,1,8,0,4,20,250.0
SM Pollock,0,1,0,0,0,0,0,1,0,1,1,100.0
RR Raje,2,1,0,0,0,0,0,3,0,1,1,33.33
DJ Bravo,1,0,0,0,0,0,1,2,0,1,6,300.0
A Nehra,1,3,0,0,0,0,0,4,1,2,3,75.0
Harbhajan Singh,3,2,1,0,0,0,0,6,2,2,4,66.67
JP Duminy,3,1,0,0,0,0,0,4,0,1,1,25.0
M Muralitharan,3,2,0,0,0,0,0,5,0,2,2,40.0
SB Jakati,0,1,0,0,0,0,0,1,0,1,1,100.0
JA Morkel,3,1,0,0,0,0,0,4,1,1,1,25.0
WD Parnell,3,3,1,0,1,0,1,9,0,3,15,166.67
S Rana,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,4,7,0,0,3,0,0,14,2,5,19,135.71
B Kumar,5,1,1,0,0,0,0,7,1,3,3,42.86
AD Mathews,1,1,1,0,1,0,0,4,0,1,7,175.0
JEC Franklin,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,4,8,0,0,1,0,0,13,1,5,12,92.31
AN Ahmed,1,0,0,0,2,0,0,3,0,1,8,266.67
Z Khan,1,0,0,0,1,0,0,2,0,1,4,200.0
P Kumar,0,2,1,0,0,0,0,3,0,1,4,133.33
Joginder Sharma,0,3,0,0,0,0,2,5,0,1,15,300.0
L Balaji,1,0,0,0,1,0,0,2,1,1,4,200.0
PJ Cummins,1,2,0,0,0,0,0,3,0,1,2,66.67
S Nadeem,3,10,0,0,0,0,0,13,0,3,10,76.92
CJ Anderson,2,1,1,0,0,0,1,5,0,1,9,180.0
A Mishra,2,3,0,0,0,0,0,5,1,2,3,60.0
UT Yadav,1,4,1,1,1,0,0,8,0,3,13,162.5
SK Trivedi,3,1,2,0,2,0,0,8,1,2,13,162.5
SW Tait,1,0,0,0,0,0,0,1,1,1,0,0.0
Azhar Mahmood,0,2,0,0,0,0,0,2,0,1,2,100.0
P Awana,1,0,1,0,0,0,2,4,1,1,14,350.0
JD Unadkat,2,3,0,0,0,0,0,5,0,2,3,60.0
R Sharma,1,1,2,0,0,0,1,5,0,1,11,220.0
Mohammed Shami,1,2,0,0,0,0,0,3,1,1,2,66.67
KV Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
J Botha,1,2,0,0,0,0,0,3,0,1,2,66.67
Harmeet Singh,0,1,1,0,0,0,0,2,0,1,3,150.0
Iqbal Abdulla,2,0,1,0,0,0,0,3,0,1,2,66.67
M Morkel,5,2,2,0,1,0,0,10,0,2,10,100.0
RE van der Merwe,1,0,0,0,0,0,0,1,1,1,0,0.0
CJ Jordan,0,1,0,0,0,0,1,2,0,1,7,350.0
