,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
STR Binny,1,0,0,0,0,0,0,1,1,1,0,0.0
Imran Tahir,2,0,0,0,0,0,0,2,0,1,0,0.0
WD Parnell,0,0,2,0,1,0,0,3,0,1,8,266.67
SR Watson,1,0,0,0,1,0,0,2,0,1,4,200.0
CH Morris,1,1,1,0,0,0,0,3,0,1,3,100.0
SL Malinga,1,1,0,0,1,0,0,3,1,1,5,166.67
J Suchith,2,1,0,0,0,0,0,3,0,1,1,33.33
P Kumar,1,2,0,0,1,0,0,4,0,1,6,150.0
JJ Bumrah,0,3,0,0,0,0,0,3,0,1,3,100.0
K Santokie,0,1,0,0,1,0,0,2,0,1,5,250.0
TA Boult,1,1,1,0,0,0,0,3,0,1,3,100.0
B Kumar,2,1,0,0,0,0,0,3,1,1,1,33.33
P Negi,4,0,1,0,1,0,0,6,0,1,6,100.0
SK Raina,2,1,0,0,0,0,0,3,0,1,1,33.33
DJ Bravo,0,4,0,0,0,0,1,5,0,1,10,200.0
RA Jadeja,1,1,0,0,0,0,0,2,0,1,1,50.0
A Nehra,2,1,0,0,0,0,1,4,0,1,7,175.0
UT Yadav,2,3,1,0,0,0,0,6,0,2,5,83.33
PP Chawla,7,5,0,0,0,0,0,12,1,4,5,41.67
NLTC Perera,0,1,2,0,0,0,1,4,0,1,11,275.0
Mustafizur Rahman,0,1,1,0,0,0,0,2,0,1,3,150.0
Shakib Al Hasan,4,3,1,0,0,0,1,9,1,1,11,122.22
SP Narine,2,3,0,0,0,0,0,5,0,2,3,60.0
JH Kallis,1,2,0,0,1,0,0,4,0,1,6,150.0
M Morkel,2,0,0,1,1,0,0,4,0,1,7,175.0
AB Dinda,5,2,0,0,1,0,0,8,0,1,6,75.0
Yuvraj Singh,2,3,1,0,1,0,0,7,0,1,9,128.57
MA Starc,2,2,1,0,0,0,0,5,0,2,4,80.0
VR Aaron,1,1,0,0,1,0,0,3,0,1,5,166.67
P Awana,3,1,1,0,2,0,0,7,0,1,11,157.14
Sandeep Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
Azhar Mahmood,3,1,0,0,0,0,0,4,1,1,1,25.0
