,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
WD Parnell,6,3,0,0,2,0,0,11,1,2,11,100.0
B Kumar,21,4,1,0,6,0,0,32,0,4,30,93.75
A Nehra,18,9,0,0,6,0,0,33,1,6,33,100.0
JA Morkel,17,10,5,0,7,0,0,39,1,6,48,123.08
MS Gony,7,7,0,0,1,0,0,15,2,4,11,73.33
SB Jakati,13,10,2,0,4,0,0,29,1,3,30,103.45
SK Raina,3,3,0,0,0,0,0,6,0,1,3,50.0
M Muralitharan,23,17,3,0,3,0,0,46,2,6,35,76.09
L Balaji,18,13,3,0,10,0,0,44,1,6,59,134.09
S Sreesanth,8,2,0,0,1,0,0,11,1,2,6,54.55
JH Kallis,15,8,3,0,7,0,0,33,0,5,42,127.27
SP Narine,7,3,1,0,0,0,1,12,0,3,11,91.67
Shakib Al Hasan,5,4,1,0,0,0,0,10,1,2,6,60.0
YK Pathan,10,4,3,0,1,0,4,22,1,4,38,172.73
DW Steyn,18,8,0,0,6,0,0,32,1,6,32,100.0
I Sharma,26,9,4,0,10,0,1,50,2,7,63,126.0
NLTC Perera,7,6,0,0,1,0,0,14,1,2,10,71.43
DJG Sammy,6,3,2,0,1,0,0,12,0,2,11,91.67
A Mishra,9,12,4,0,0,0,1,26,1,5,26,100.0
KV Sharma,1,3,0,0,1,0,0,5,0,2,7,140.0
R Rampaul,12,1,0,0,3,0,0,16,0,2,13,81.25
JD Unadkat,1,5,1,0,2,0,0,9,0,1,15,166.67
R Vinay Kumar,13,9,2,0,7,1,0,32,0,5,46,143.75
M Kartik,4,17,1,0,4,0,0,26,1,6,35,134.62
Z Khan,20,7,1,0,7,0,0,35,0,4,37,105.71
CK Langeveldt,5,2,0,0,1,0,0,8,0,1,6,75.0
CH Gayle,2,3,1,0,1,0,0,7,0,1,9,128.57
S Aravind,4,4,0,0,2,0,0,10,1,2,12,120.0
MF Maharoof,1,7,0,0,1,0,0,9,0,3,11,122.22
R Bhatia,4,7,0,0,5,0,0,16,1,5,27,168.75
TM Dilshan,2,1,0,0,0,0,0,3,1,1,1,33.33
AD Mascarenhas,2,1,0,0,2,0,0,5,0,1,9,180.0
Kamran Khan,0,4,0,0,1,0,0,5,0,1,8,160.0
MM Patel,13,6,0,0,2,0,1,22,3,5,20,90.91
T Henderson,5,5,3,0,3,0,0,16,0,1,23,143.75
SK Warne,5,9,1,0,2,0,0,17,0,3,19,111.76
S Tyagi,4,1,0,0,1,0,0,6,1,2,5,83.33
Gagandeep Singh,3,4,1,0,2,0,0,10,0,1,14,140.0
VRV Singh,10,6,1,0,4,0,1,22,1,2,30,136.36
PP Chawla,13,20,5,0,2,0,0,40,1,5,38,95.0
JR Hopes,1,2,0,0,2,0,0,5,0,2,10,200.0
IK Pathan,19,14,2,0,7,0,2,44,2,6,58,131.82
DL Vettori,15,21,3,0,3,0,0,42,1,5,39,92.86
DS Kulkarni,8,8,0,0,2,0,0,18,1,4,16,88.89
SL Malinga,12,10,3,0,1,0,0,26,0,5,20,76.92
Harbhajan Singh,10,13,1,0,2,0,0,26,3,6,23,88.46
KA Pollard,5,8,3,0,4,0,0,20,0,3,30,150.0
JEC Franklin,0,0,0,0,1,0,0,1,0,1,4,400.0
PP Ojha,23,25,3,0,10,0,0,61,2,9,71,116.39
