,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AB Dinda,2,0,0,0,0,0,0,2,0,1,0,0.0
A Uniyal,0,1,0,0,0,0,0,1,0,1,1,100.0
SW Tait,1,2,0,0,2,0,0,5,1,2,10,200.0
SB Jakati,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,2,0,0,0,0,0,0,2,1,1,0,0.0
DW Steyn,4,4,0,0,0,0,0,8,0,1,4,50.0
R Vinay Kumar,3,1,1,0,0,0,0,5,0,2,3,60.0
Pankaj Singh,7,1,1,1,1,0,0,11,0,1,10,90.91
JH Kallis,2,4,0,0,1,0,0,7,0,1,8,114.29
A Kumble,3,7,1,0,2,0,0,13,0,1,17,130.77
KP Pietersen,1,0,0,0,0,0,0,1,1,1,0,0.0
JD Ryder,4,3,1,0,0,0,0,8,0,1,5,62.5
WD Parnell,10,2,0,0,3,0,0,15,0,1,14,93.33
M Manhas,2,4,0,0,1,0,0,7,0,1,8,114.29
R Sharma,2,2,0,0,1,0,0,5,0,1,6,120.0
AC Thomas,1,3,1,0,1,0,1,7,0,1,15,214.29
SB Wagh,1,3,0,0,0,0,0,4,0,1,3,75.0
L Ablish,1,0,0,0,0,0,0,1,1,1,0,0.0
DL Vettori,3,7,0,0,0,0,0,10,0,1,7,70.0
CH Gayle,0,7,1,0,0,0,0,8,0,1,9,112.5
Z Khan,3,4,0,0,1,0,0,8,0,1,8,100.0
V Kohli,0,2,0,0,0,0,0,2,0,1,2,100.0
A Mithun,1,2,0,0,0,0,0,3,0,1,2,66.67
S Aravind,2,0,0,0,0,0,0,2,1,1,0,0.0
AN Ahmed,1,1,0,0,0,0,0,2,0,1,1,50.0
SL Malinga,1,0,0,0,0,0,0,1,0,1,0,0.0
SK Trivedi,5,0,0,0,0,0,0,5,0,1,0,0.0
SR Watson,0,2,0,0,0,0,0,2,0,1,2,100.0
RP Singh,2,1,0,0,1,0,0,4,0,2,5,125.0
Jaskaran Singh,1,2,0,0,0,0,0,3,0,1,2,66.67
KAJ Roach,4,1,0,0,0,0,0,5,0,1,1,20.0
A Symonds,1,2,1,0,0,0,0,4,0,1,4,100.0
RG Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
L Balaji,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,1,2,0,0,0,0,0,3,0,1,2,66.67
A Mishra,3,1,1,0,0,0,0,5,1,1,3,60.0
JP Duminy,1,2,0,0,0,0,0,3,0,1,2,66.67
PP Ojha,1,2,0,0,0,0,0,3,0,1,2,66.67
