,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,1,4,1,0,0,0,0,6,0,2,6,100.0
S Sreesanth,3,1,0,0,1,0,0,5,0,1,5,100.0
JP Faulkner,3,2,1,0,1,0,0,7,1,2,8,114.29
JD Unadkat,1,1,0,0,0,0,0,2,0,1,1,50.0
M Kartik,3,7,1,0,2,0,0,13,0,3,17,130.77
SE Bond,0,4,0,0,2,0,0,6,0,2,12,200.0
MK Tiwary,1,1,0,0,0,0,0,2,1,1,1,50.0
SW Tait,3,1,0,0,1,0,0,5,0,1,5,100.0
A Uniyal,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,0,2,0,0,0,0,0,2,0,1,2,100.0
SB Jakati,4,1,1,0,0,0,0,6,0,2,3,50.0
I Sharma,1,0,0,0,0,0,0,1,0,1,0,0.0
AD Mathews,0,1,1,0,0,0,0,2,0,1,3,150.0
JA Morkel,10,2,1,0,0,0,1,14,2,3,10,71.43
J Botha,1,1,1,0,0,0,0,3,1,1,3,100.0
M Ashwin,1,0,0,0,0,0,0,1,0,1,0,0.0
Ankit Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
NLTC Perera,4,4,0,0,0,0,0,8,0,2,4,50.0
DJ Bravo,3,1,1,0,1,0,0,6,2,2,7,116.67
PP Chawla,2,2,2,0,1,0,0,7,0,1,10,142.86
RR Powar,0,6,0,0,0,0,0,6,0,1,6,100.0
IK Pathan,2,0,2,0,0,0,0,4,1,1,4,100.0
SJ Srivastava,1,1,0,1,0,0,0,3,0,1,4,133.33
RS Bopara,1,1,0,0,2,0,0,4,0,1,9,225.0
B Lee,1,0,2,0,0,0,0,3,0,1,4,133.33
MC Henriques,1,1,0,1,1,0,0,4,0,2,8,200.0
R Rampaul,2,1,0,0,0,0,0,3,0,1,1,33.33
R Vinay Kumar,3,6,2,0,1,0,1,13,0,3,20,153.85
CH Gayle,6,2,0,0,2,0,1,11,0,2,16,145.45
M Muralitharan,1,1,0,0,0,0,0,2,0,2,1,50.0
SR Watson,1,1,0,0,0,0,0,2,0,1,1,50.0
DJG Sammy,1,2,0,0,0,0,0,3,0,1,2,66.67
KV Sharma,1,1,1,0,0,0,0,3,0,1,3,100.0
A Mishra,5,3,0,0,1,0,2,11,0,2,19,172.73
CR Brathwaite,1,1,0,0,1,0,0,3,1,1,5,166.67
PP Ojha,1,1,0,0,0,0,0,2,1,1,1,50.0
A Symonds,1,2,0,0,0,0,0,3,0,1,2,66.67
Mustafizur Rahman,1,2,1,0,0,0,0,4,0,1,4,100.0
B Kumar,2,2,1,0,0,0,0,5,1,1,4,80.0
A Kumble,3,1,0,0,1,0,0,5,0,1,5,100.0
DW Steyn,4,2,0,0,0,0,0,6,1,1,2,33.33
JH Kallis,1,1,2,0,1,0,0,5,0,1,9,180.0
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
M Morkel,1,0,2,0,0,0,1,4,0,1,10,250.0
S Kaul,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,0,2,0,0,2,0,0,4,0,1,10,250.0
A Nehra,3,1,0,0,0,0,0,4,1,1,1,25.0
Z Khan,4,4,0,1,1,0,0,10,0,1,11,110.0
J Syed Mohammad,2,3,1,0,0,0,0,6,0,1,5,83.33
A Mithun,0,1,0,0,0,0,0,1,0,1,1,100.0
CH Morris,0,1,0,0,0,0,0,1,0,1,1,100.0
Joginder Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
