,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R McLaren,1,0,0,0,1,0,0,2,0,1,4,200.0
SL Malinga,6,3,0,0,2,0,0,11,0,3,11,100.0
Harbhajan Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
Azhar Mahmood,0,1,0,0,0,0,0,1,0,1,1,100.0
CH Gayle,1,0,0,0,0,0,0,1,0,1,0,0.0
JP Faulkner,2,0,0,0,0,0,0,2,0,1,0,0.0
JA Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
JH Kallis,6,0,0,0,0,0,0,6,1,1,0,0.0
RA Jadeja,2,1,1,0,0,0,1,5,0,1,9,180.0
R Vinay Kumar,7,1,0,0,0,0,0,8,1,2,1,12.5
A Mishra,1,0,0,0,0,0,0,1,1,1,0,0.0
KA Pollard,3,1,1,0,0,0,0,5,0,2,3,60.0
R Dhawan,1,2,0,0,0,0,0,3,0,1,2,66.67
DW Steyn,1,0,0,0,0,0,0,1,1,1,0,0.0
DJ Bravo,1,0,0,0,0,0,0,1,1,1,0,0.0
Harmeet Singh,2,0,1,0,0,0,0,3,0,1,2,66.67
AD Mascarenhas,1,0,0,0,0,0,0,1,1,1,0,0.0
SR Watson,3,0,0,0,0,0,0,3,1,1,0,0.0
DP Nannes,1,1,0,0,2,0,0,4,0,1,9,225.0
A Nehra,1,1,2,0,0,0,0,4,0,1,5,125.0
S Narwal,2,0,2,0,0,0,1,5,1,1,10,200.0
SK Trivedi,1,0,0,0,0,0,0,1,0,1,0,0.0
AG Murtaza,1,1,0,0,0,0,0,2,0,1,1,50.0
JEC Franklin,1,1,0,0,0,0,1,3,0,1,7,233.33
MM Patel,2,0,0,0,0,0,0,2,1,1,0,0.0
