,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,0,1,0,0,0,0,0,1,0,1,1,100.0
J Botha,1,2,0,0,0,0,0,3,0,1,2,66.67
A Singh,7,2,3,0,2,0,0,14,3,3,16,114.29
JP Faulkner,2,0,2,0,0,0,3,7,1,2,22,314.29
VR Aaron,1,1,0,0,0,0,0,2,0,1,1,50.0
AB Dinda,0,1,0,0,0,0,0,1,0,1,1,100.0
MA Starc,2,0,1,0,0,0,0,3,1,1,2,66.67
RJ Harris,4,2,1,0,1,0,0,8,2,3,8,100.0
DW Steyn,3,0,0,0,0,0,0,3,1,2,0,0.0
A Mishra,3,7,0,0,0,0,0,10,0,2,7,70.0
V Pratap Singh,0,2,0,0,1,0,0,3,0,1,6,200.0
A Ashish Reddy,1,0,0,0,0,0,0,1,1,1,0,0.0
MM Patel,0,0,0,0,2,0,0,2,0,1,8,400.0
JA Morkel,1,0,0,0,0,0,0,1,1,1,0,0.0
MF Maharoof,0,1,1,0,0,0,0,2,0,1,3,150.0
DL Vettori,1,0,0,0,0,0,0,1,1,1,0,0.0
DR Smith,5,4,0,0,3,0,0,12,0,2,16,133.33
CRD Fernando,6,2,1,0,1,0,1,11,1,2,14,127.27
DS Kulkarni,6,3,1,0,0,0,0,10,0,3,5,50.0
PP Ojha,0,0,1,0,0,0,0,1,0,1,2,200.0
RP Singh,6,2,1,0,0,0,0,9,1,4,4,44.44
Harmeet Singh,2,0,0,0,0,0,0,2,0,1,0,0.0
LR Shukla,1,0,0,0,0,0,0,1,0,1,0,0.0
M Muralitharan,2,0,2,0,0,0,0,4,0,1,4,100.0
L Balaji,3,2,2,0,0,0,0,7,1,3,6,85.71
S Sreesanth,2,1,0,0,0,0,0,3,0,1,1,33.33
VRV Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
SP Narine,2,3,0,0,1,0,0,6,0,1,7,116.67
JH Kallis,1,1,1,0,0,0,0,3,0,1,3,100.0
M Morkel,4,4,2,0,0,0,0,10,0,3,8,80.0
RE van der Merwe,1,2,0,0,0,0,0,3,1,1,2,66.67
AB Agarkar,1,2,0,0,0,0,1,4,0,1,8,200.0
MS Gony,2,3,0,0,1,0,0,6,0,1,7,116.67
DT Christian,1,1,0,0,1,0,0,3,0,1,5,166.67
R Ashwin,1,2,0,0,0,0,0,3,0,1,2,66.67
M Ashwin,1,1,0,0,0,0,0,2,0,1,1,50.0
MR Marsh,2,1,1,0,0,0,1,5,0,1,9,180.0
Z Khan,2,2,1,0,0,0,0,5,1,3,4,80.0
R McLaren,3,3,0,0,1,0,0,7,0,1,7,100.0
KA Pollard,2,4,2,0,1,0,0,9,0,2,12,133.33
B Lee,5,3,2,0,0,0,1,11,0,2,13,118.18
Iqbal Abdulla,1,1,0,0,1,0,0,3,0,1,5,166.67
Shakib Al Hasan,5,6,1,0,0,0,0,12,2,2,8,66.67
IK Pathan,1,5,1,0,0,0,0,7,0,3,7,100.0
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
PJ Sangwan,1,1,0,0,0,0,0,2,0,1,1,50.0
DP Nannes,0,1,0,0,0,0,0,1,0,1,1,100.0
SK Warne,1,2,0,0,0,0,1,4,0,1,8,200.0
DJ Bravo,2,1,0,0,0,0,0,3,0,2,1,33.33
S Aravind,1,1,1,0,0,0,0,3,0,1,3,100.0
DE Bollinger,0,0,0,0,0,0,1,1,0,1,6,600.0
SL Malinga,3,7,1,0,0,0,0,11,1,3,9,81.82
RN ten Doeschate,2,7,0,0,0,0,0,9,0,1,7,77.78
R Bhatia,1,2,0,0,0,0,0,3,0,1,2,66.67
MG Johnson,3,1,0,0,1,0,0,5,0,1,5,100.0
JDP Oram,0,0,1,0,1,0,0,2,0,1,6,300.0
GJ Maxwell,1,0,0,0,0,0,0,1,0,1,0,0.0
S Nadeem,1,2,0,0,0,0,0,3,0,1,2,66.67
DAJ Bracewell,1,1,0,0,1,0,0,3,1,1,5,166.67
B Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
JD Ryder,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,3,1,0,0,0,0,0,4,1,1,1,25.0
SR Watson,0,1,0,0,0,0,0,1,0,1,1,100.0
