,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MF Maharoof,7,5,0,1,1,0,0,14,0,4,12,85.71
VY Mahesh,1,0,0,0,0,0,1,2,1,1,6,300.0
AR Patel,5,9,0,0,2,0,0,16,1,5,17,106.25
KC Cariappa,1,3,1,0,0,0,0,5,1,2,5,100.0
Sandeep Sharma,2,5,0,0,0,0,0,7,0,3,5,71.43
Gurkeerat Singh,2,1,1,1,0,0,0,5,0,1,6,120.0
LR Shukla,5,3,2,0,2,0,0,12,1,2,15,125.0
AB Agarkar,7,7,0,0,0,0,0,14,1,3,7,50.0
AB Dinda,4,7,0,0,1,0,0,12,0,4,11,91.67
SS Sarkar,1,1,0,0,0,0,0,2,1,1,1,50.0
PJ Cummins,4,10,1,0,0,0,0,15,0,4,12,80.0
PP Chawla,23,16,5,0,3,0,3,50,2,9,56,112.0
AD Russell,6,6,2,0,1,0,1,16,0,3,20,125.0
GB Hogg,7,6,0,0,1,0,1,15,2,3,16,106.67
Bipul Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
SJ Srivastava,3,1,0,0,1,0,0,5,0,1,5,100.0
BA Bhatt,2,2,0,0,0,0,1,5,0,2,8,160.0
M Ashwin,3,2,0,0,0,0,0,5,0,1,2,40.0
R Bhatia,14,15,1,0,0,0,0,30,1,6,17,56.67
RP Singh,10,7,3,0,2,0,2,24,1,6,33,137.5
VR Aaron,0,1,2,0,0,0,0,3,0,1,5,166.67
T Natarajan,2,1,0,0,0,0,0,3,0,1,1,33.33
PP Ojha,7,7,3,0,0,0,1,18,1,5,19,105.56
DR Smith,2,3,1,0,0,0,0,6,0,2,5,83.33
RG Sharma,3,9,0,0,0,0,0,12,0,2,9,75.0
WPUJC Vaas,1,3,0,0,0,0,0,4,0,1,3,75.0
P Kumar,4,4,0,0,0,0,0,8,0,3,4,50.0
SP Narine,14,7,4,0,0,0,3,28,1,6,33,117.86
JD Unadkat,4,1,1,0,1,0,1,8,1,2,13,162.5
AM Salvi,5,0,1,0,1,0,0,7,1,1,6,85.71
