,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MJ McClenaghan,5,2,0,0,3,0,0,10,1,2,14,140.0
Z Khan,2,2,0,0,1,0,0,5,1,1,6,120.0
Mohammed Shami,0,1,0,0,0,0,0,1,0,1,1,100.0
KH Pandya,2,1,0,0,0,0,0,3,0,1,1,33.33
MG Johnson,4,5,0,0,0,0,0,9,0,2,5,55.56
JJ Bumrah,2,0,0,0,0,0,0,2,1,2,0,0.0
Basil Thampi,2,3,0,0,1,0,0,6,0,2,7,116.67
PJ Sangwan,3,0,0,0,1,0,0,4,0,1,4,100.0
MM Sharma,3,1,0,0,1,0,0,5,0,1,5,100.0
Sandeep Sharma,1,2,0,0,1,0,0,4,0,1,6,150.0
I Sharma,1,1,1,0,2,0,0,5,0,1,11,220.0
R Tewatia,5,0,0,0,0,0,1,6,0,1,6,100.0
AR Patel,1,0,0,0,0,0,0,1,1,1,0,0.0
P Kumar,2,2,1,0,2,0,2,9,0,1,24,266.67
SB Jakati,0,1,0,0,0,0,0,1,0,1,1,100.0
AJ Tye,2,1,1,0,0,0,0,4,1,1,3,75.0
NM Coulter-Nile,8,0,0,0,5,0,2,15,0,1,32,213.33
UT Yadav,6,4,0,0,4,0,1,15,0,2,26,173.33
CR Woakes,7,6,0,0,2,0,0,15,1,2,14,93.33
SP Narine,7,7,0,0,5,0,0,19,0,2,27,142.11
Kuldeep Yadav,2,3,1,0,0,0,4,10,0,1,29,290.0
B Kumar,5,1,1,0,2,0,0,9,0,2,11,122.22
A Nehra,3,0,0,0,0,0,0,3,0,1,0,0.0
AF Milne,8,2,1,0,3,0,0,14,0,2,16,114.29
S Badree,1,5,0,0,1,0,0,7,0,2,9,128.57
S Aravind,7,4,1,0,1,0,2,15,0,2,22,146.67
SR Watson,1,1,0,0,0,0,0,2,0,1,1,50.0
P Negi,2,4,1,0,0,0,0,7,2,2,6,85.71
CH Morris,3,0,1,0,2,0,0,6,1,1,10,166.67
YS Chahal,0,2,0,0,2,0,0,4,0,1,10,250.0
STR Binny,1,2,1,0,0,0,0,4,0,1,4,100.0
KV Sharma,1,4,2,0,0,0,2,9,1,1,20,222.22
Harbhajan Singh,2,5,0,1,0,0,0,8,0,1,8,100.0
Bipul Sharma,5,5,0,0,1,0,0,11,0,1,9,81.82
Mohammed Siraj,4,1,1,0,1,0,1,8,0,1,13,162.5
S Kaul,1,1,0,0,1,0,2,5,0,1,17,340.0
Rashid Khan,2,4,0,0,1,0,0,7,0,1,8,114.29
MC Henriques,0,2,0,0,0,0,0,2,0,1,2,100.0
C de Grandhomme,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Chawla,2,1,0,0,0,0,0,3,1,1,1,33.33
