,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MS Gony,2,0,0,0,0,0,0,2,0,1,0,0.0
JA Morkel,5,2,2,0,0,0,0,9,1,2,6,66.67
AG Murtaza,1,1,0,0,0,0,0,2,0,1,1,50.0
SL Malinga,0,3,0,0,1,0,0,4,0,2,7,175.0
Harbhajan Singh,2,1,0,0,0,0,0,3,1,2,1,33.33
Yuvraj Singh,5,2,0,0,1,0,0,8,0,1,6,75.0
PP Chawla,1,1,0,0,0,0,1,3,0,1,7,233.33
IK Pathan,1,2,0,0,1,0,0,4,0,1,6,150.0
YA Abdulla,1,0,0,0,1,0,2,4,1,1,16,400.0
RP Singh,8,4,1,0,2,0,0,15,0,4,14,93.33
RJ Harris,6,1,0,0,0,0,2,9,0,2,13,144.44
A Symonds,5,3,0,1,0,0,1,10,1,2,12,120.0
PP Ojha,4,2,0,1,2,0,1,10,1,2,19,190.0
CH Gayle,2,1,0,0,0,0,1,4,0,1,7,175.0
BJ Hodge,1,1,0,0,0,0,0,2,0,1,1,50.0
I Sharma,2,1,0,0,0,0,0,3,1,1,1,33.33
RA Jadeja,3,4,0,0,0,0,0,7,0,1,4,57.14
SK Warne,0,2,0,0,0,0,0,2,0,1,2,100.0
M Morkel,1,2,0,0,1,0,0,4,0,1,6,150.0
AS Raut,0,2,0,0,0,0,0,2,0,1,2,100.0
A Singh,1,1,0,0,0,0,0,2,1,1,1,50.0
SW Tait,1,2,0,0,0,0,0,3,0,1,2,66.67
RR Powar,0,1,0,0,0,0,0,1,0,1,1,100.0
Jaskaran Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
AD Mathews,1,1,0,0,0,0,0,2,1,1,1,50.0
P Kumar,0,2,0,0,1,0,0,3,0,1,6,200.0
P Awana,4,2,0,0,0,0,0,6,1,1,2,33.33
DJ Bravo,1,1,0,0,0,0,0,2,0,1,1,50.0
R Ashwin,1,3,1,0,0,0,0,5,1,1,5,100.0
JO Holder,2,0,0,0,1,0,0,3,0,1,4,133.33
M Muralitharan,3,1,0,0,0,0,0,4,0,1,1,25.0
L Balaji,1,2,0,0,0,0,0,3,0,1,2,66.67
C Nanda,0,2,0,0,0,0,0,2,0,1,2,100.0
